6b8be3005c196cadc97adba79618c059a34110ff14276c26b195d5e86dd21070,3eb67a834214b40c7fbe69a6ff743c3e5437039772c5189a27287d580371e5b2,f079cae6bc116f9b7f5871c7a85d397fd01cecf3f04e51a3222dc6596f3961e4,22b6866cd220c465015e61e23eb753fb5a0b5268535c3b0b216f66d8a7471d03,733d3a117570a794e24b84fa0faa44d30d64f7ea1f422f7e6a00a56957f51d9d,99b3ea3ff0563f758ae5d6e9fdbee279e21226dcdc5d2e584b4d45c2f54da64f,21799b918ec99d6f35c7717fee99db96c44f0746bb7283853b885864f8d281b9,792688e6ab36d1026d950ab15aa8b2845b0133cdc3734b4de25815fd4e9c2f3c,6fec9a2b6dcccc2b1e5c8ccb6ddae4cd5d66a154c29715393675859d7ff064c7,a895c891e5b8fad44d678dcf9b23236bd952fa7068a6c89f0cb68fbb9ea88760,68e9dd8d1ce2cdd846981006f16d7947937766dee3dffc2c6a09d3bc116a32e1,870f463beedcf1f18f0205f32953a816f1597c47c8355cd534889652671c13ad
"10201201","0","1","5201322","1","70","0","5201321","5","0","5.5","610201102"
"10201201","600","3","5201323","2","0","3","0","5","15","1.5","610201103"
"10201201","0","1","0","3","0","0","0","5","0","1.5","610201104"
"10201501","0","1","0","1","70","0","0","5","0","5.5","610201105"
"10201501","600","3","0","2","0","3","0","5","15","1.5","610201106"
"10201501","0","1","0","3","0","0","0","5","0","1.5","610201107"
"10201251","600","2","5201332","1","0","3","5201331","5","0","5.5","610201152"
"10201251","0","1","5201333","2","65","0","0","5","0","1.5","610201153"
"10201251","0","1","0","3","0","0","0","5","0","1.5","610201154"
"10201551","600","2","0","1","0","3","0","5","0","5.5","610201155"
"10201551","0","1","0","2","65","0","0","5","0","1.5","610201156"
"10201551","0","1","0","3","0","0","0","5","0","1.5","610201157"
"10202201","600","2","5202322","1","0","3","5202321","5","0","5.5","610202102"
"10202201","0","1","5202323","2","70","0","0","5","0","1.5","610202103"
"10202201","0","1","0","3","0","0","0","5","0","1.5","610202104"
"10202501","600","2","0","1","0","3","0","5","0","5.5","610202105"
"10202501","0","1","0","2","70","0","0","5","0","1.5","610202106"
"10202501","0","1","0","3","0","0","0","5","0","1.5","610202107"
"10203201","600","2","5203322","1","0","3","5203321","5","0","5.5","610203102"
"10203201","0","1","5203323","2","66","0","0","5","0","1.5","610203103"
"10203201","0","1","0","3","0","0","0","5","0","1.5","610203104"
"10203501","600","2","0","1","0","3","0","5","0","5.5","610203105"
"10203501","0","1","0","2","66","0","0","5","0","1.5","610203106"
"10203501","0","1","0","3","0","0","0","5","0","1.5","610203107"
"10204201","600","2","5204322","1","0","3","5204321","5","0","5.5","610204102"
"10204201","0","1","5204323","2","60","0","0","5","0","1.5","610204103"
"10204201","0","1","0","3","0","0","0","5","0","1.5","610204104"
"10204501","600","2","0","1","0","3","0","5","0","5.5","610204105"
"10204501","0","1","0","2","80","0","0","5","0","1.5","610204106"
"10204501","0","1","0","3","0","0","0","5","0","1.5","610204107"
"10205201","600","2","5205322","1","0","3","5205321","5","0","5.5","610205102"
"10205201","0","1","5205323","2","65","0","0","5","0","1.5","610205103"
"10205201","0","1","0","3","0","0","0","5","0","1.5","610205104"
"10205501","600","2","0","1","0","3","0","5","0","5.5","610205105"
"10205501","0","1","0","2","66","0","0","5","0","1.5","610205106"
"10205501","0","1","0","3","0","0","0","5","0","1.5","610205107"
"10206201","600","2","5206322","1","0","3","5206321","5","0","5.5","610206102"
"10206201","600","2","5206323","2","0","3","0","5","0","1.5","610206103"
"10206201","0","1","0","3","0","0","0","5","0","1.5","610206104"
"10206501","600","2","0","1","0","3","0","5","0","5.5","610206105"
"10206501","600","2","0","2","0","3","0","5","0","1.5","610206106"
"10206501","0","1","0","3","0","0","0","5","0","1.5","610206107"
"10207201","600","2","5207322","1","0","3","5207321","5","0","5.5","610207102"
"10207201","0","1","5207323","2","66","0","0","5","0","1.5","610207103"
"10207201","0","1","0","3","0","0","0","5","0","1.5","610207104"
"10207501","600","2","0","1","0","3","0","5","0","5.5","610207105"
"10207501","0","1","0","2","66","0","0","5","0","1.5","610207106"
"10207501","0","1","0","3","0","0","0","5","0","1.5","610207107"
"10208201","600","2","5208322","1","0","3","5208321","5","0","5.5","610208102"
"10208201","0","1","5208323","2","70","0","0","5","0","1.5","610208103"
"10208201","0","1","0","3","0","0","0","5","0","1.5","610208104"
"10208501","600","2","0","1","0","3","0","5","0","5.5","610208105"
"10208501","0","1","0","2","70","0","0","5","0","1.5","610208106"
"10208501","0","1","0","3","0","0","0","5","0","1.5","610208107"
"10209201","600","2","5209322","1","0","3","5209321","5","0","5.5","610209102"
"10209201","0","1","5209323","2","55","0","0","5","0","1.5","610209103"
"10209201","0","1","0","3","0","0","0","5","0","1.5","610209104"
