fb644af768ce11467672f035d0b79c6b34024e454fe81fbb2c1e330f32a387b2,11521c55d1077ed5367bc55e51c920edbe048949532f54fd82d0243ab3c4be77,86f58e62ac6800a441731d8913266f7cfc4e2a5e1386cec4109e2e2f36c752ba,c2588a5a31d9a8ffcd93d661b752ce2abf4214c6b3a3566bec1d98ca4d93df34,f337b3f690538beb0552cdead6e2aacce85c6335720309cf6e0ed9a34c1d663f,711071bfbd613d33003d5435e2feab32b1019e356855195b8087c66c45e8214d,a868d323156302dca4c190ae7d6b03ebf96c539dc644ceb61b0ea6271da7b065,c5d4803bb1176766cb5ed49c9e9024401708d52e91cfc521a9c94dcd5130cbaf,6fc78290e70b800b7f7c2b6ac6908519b2e4c9f81d4d6310bbccf9e0a02e6078,96f06267013dc022ed1b8e4cbd4a938c8fa17023fb4ef8223bf2bb94ac6f54db
"0","Bug","0","Mug","0","2110001","1","Hug","0","Pug"
"0","Technology","0","Technician","0","2110003","1","Techie","0","Technical"
"0","雪崩","0","暴風雪","0","2110005","1","冰瀑","0","樹冰"
"0","磁鐵","0","化石","0","2110006","1","黑曜石","0","大理石"
"0","Ocean","0","River","0","2110007","1","Bay","0","Oceania"
"0","At","0","Hashtag","0","2110008","1","Slash","0","Dash"
"0","會曬到太陽的地方","0","不會曬到太陽的地方","0","2110010","1","總是很涼快的地方","0","建築物裡面"
"0","更新","0","更替","0","2110011","1","更動","0","更正"
"0","暴風雪","0","風吹雪","0","2110012","1","六月雪","0","虹村雪"
"0","Grape","0","Apple","0","2110014","1","Banana","0","Orange"
"0","地平線","0","拋物線","0","2110016","1","電話線","0","新幹線"
"0","黑歷史","0","白歷史","0","2110018","1","紅歷史","0","藍歷史"
"0","醬油","0","味醂","0","2110019","1","醋","0","味噌"
"0","Track","0","Bus","0","2110021","1","Train","0","Truck"
"0","火上加油","0","難上加難","0","2110022","1","加油添醋","0","愈描愈黑"
"0","Liver","0","Brain","0","2110023","1","Stomach","0","Heart"
"0","啟用","0","開演","0","2110024","1","開場","0","啟動"
"0","coin","0","loin","0","2110025","1","cane","0","line"
"0","服裝","0","服侍","0","2110026","1","便服","0","常服"
"0","水印","0","水標","0","2110028","1","水章","0","流水號"
"0","Elephant","0","Spider","0","2110031","1","Cockroach","0","Owl"
"0","狼","0","浪","0","2110032","1","朗","0","啷"
"0","如虎添翼","0","錦上添花","0","2110034","1","雪中送炭","0","雪上加霜"
