c258a48ae8e68fa6238d2f8053fdf670102b22f8ad770baf2074a447465a7a01,af0a5065b328ca0541c22ffb7465a776d436618a1cb0e401f2b477a654350865,53c33e95e21fdc0e383fe86c160e8a8017cca2185a9fac9905526b845f036264,6a495c3ffa1d4637fbb73eb0c1682d791b4da6ac4496fbcc87dd31926cd5b2e0,84dc7233ac9fa7bd8be02fb0f23927bc1cda255727d419a994ebe4933005a940
"1","94002","1001","8000000","12"
"2","90005","1001","40","2"
"3","94002","1002","8000000","12"
"4","90005","1002","50","2"
"5","94002","1003","8000000","12"
"6","90005","1003","60","2"
"7","94002","1004","8000000","12"
"8","90005","1004","70","2"
"9","91002","1005","150","8"
"10","94002","1005","8000000","12"
"11","90005","1005","80","2"
"12","94002","1006","8000000","12"
"13","90005","1006","90","2"
"14","91002","1007","300","8"
"15","94002","1007","8000000","12"
"16","90005","1007","100","2"
"17","94002","2001","8000000","12"
"18","94002","2002","8000000","12"
"19","94002","2003","8000000","12"
"20","94002","2004","8000000","12"
"21","94002","2005","8000000","12"
"22","94002","2006","8000000","12"
"23","94002","2007","8000000","12"
"24","94002","2008","8000000","12"
"25","94002","2009","8000000","12"
"26","94002","2010","8000000","12"
"27","94002","7001","8000000","12"
"28","90005","7001","5","2"
"29","94002","7002","8000000","12"
"30","90005","7002","5","2"
"31","94002","7003","8000000","12"
"32","90005","7003","5","2"
"33","94002","7004","8000000","12"
"34","90005","7004","10","2"
"35","94002","7005","8000000","12"
"36","90005","7005","10","2"
"37","94002","7006","8000000","12"
"38","90005","7006","10","2"
"39","94002","7007","8000000","12"
"40","90005","7007","15","2"
"41","94002","7008","8000000","12"
"42","90005","7008","15","2"
"43","94002","7009","8000000","12"
"44","90005","7009","15","2"
"45","94002","7010","8000000","12"
"46","90005","7010","20","2"
"47","94002","7011","8000000","12"
"48","90005","7011","20","2"
"49","94002","7012","8000000","12"
"50","90005","7012","20","2"
"51","94002","7013","8000000","12"
"52","90005","7013","25","2"
"53","94002","7014","8000000","12"
"54","90005","7014","25","2"
"55","94002","7015","8000000","12"
"56","90005","7015","25","2"
"57","94002","7016","8000000","12"
"58","90005","7016","30","2"
"59","94002","7017","8000000","12"
"60","90005","7017","30","2"
"61","94002","7018","8000000","12"
"62","90005","7018","30","2"
"63","94002","7019","8000000","12"
"64","90005","7019","35","2"
"65","94002","7020","8000000","12"
"66","90005","7020","35","2"
"67","94002","7021","8000000","12"
"68","90005","7021","35","2"
"69","94002","7022","8000000","12"
"70","90005","7022","40","2"
"71","94002","8001","8000000","12"
"72","90008","8001","1000","2"
"73","94002","8002","8000000","12"
"74","90008","8002","1250","2"
"75","94002","8003","8000000","12"
"76","90008","8003","1500","2"
"77","94002","8004","8000000","12"
"78","90008","8004","1750","2"
"79","94002","8005","8000000","12"
"80","90008","8005","2000","2"
"81","94002","8006","8000000","12"
"82","90008","8006","2250","2"
