90f3c53cf4a0d4dda4825e3de53cf6c9b09aba70ebd668cb13cc2915065a04a7,34982b532faf5a15a6d3283c3a83c6857eccd4f4f574147b6969c44482948c1b,146ff2ccd7b77f33b46fdc293f4b07eeb9007615df3b920dabc286f613202d87,b5913b180497034e6040f82aa9c84ab7ba35f9863cbb0b3eb4ea07e698d573c4,9e607056c7be2e52b95df3ec1f18d3d7d29edec1c35c8b7166a8d782e7d57d1e,9f0b280d6351966769c134d26bfdcee3714df9976b928891bfc9be8c84537156,699af9da810a5ff85208ff6eadcfba14f086c2b1714ab1462ccce6557c93a00a,f47a61cf49d91897e081e9fcc4c574f664f6a2215b3ee53c1f59623a1b675000
"srt_kaya_idle","srt_inori_idle","","GAME_START","0","srt_dragon_in,srt_dragon_idle","start_000-start_001,start_002/start_003-boss_emote_064-start_004",""
"srt_kaya_idle","srt_inori_idle","首先由我先來吧！","ENEMY_FIRST","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","「{0}」嗎？\n由「{1}」韻來開頭的有……","ENEMY_TURN1","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","ENEMY_TURN2","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","ENEMY_TURN3","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","ENEMY_TURN_TW1","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","ENEMY_TURN_TW2","2","srt_dragon_idle","",""
"srt_kaya_waiting","srt_inori_idle","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","ENEMY_TURN_TW3","2","srt_dragon_idle","",""
"srt_kaya_help","","","ENEMY_HELP","0","","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_homare_help"
"srt_kaya_flash","","","ENEMY_FLASH","0","","",""
"srt_kaya_select_1,srt_kaya_waiting","srt_inori_react_1,srt_inori_idle","是「{0}」！","ENEMY_SELECT1","2","srt_dragon_react_1,srt_dragon_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",""
"srt_kaya_select_1,srt_kaya_waiting","srt_inori_react_1,srt_inori_idle","是「{0}」呢！","ENEMY_SELECT2","2","srt_dragon_react_1,srt_dragon_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",""
"srt_kaya_select_1,srt_kaya_waiting","srt_inori_react_1,srt_inori_idle","是「{0}」喔！","ENEMY_SELECT3","2","srt_dragon_react_1,srt_dragon_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",""
"srt_kaya_select_1,srt_kaya_waiting","srt_inori_react_1,srt_inori_idle","「{0}」怎麼樣啊！","ENEMY_SELECT_GREAT1","2","srt_dragon_react_1,srt_dragon_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",""
"srt_kaya_select_1,srt_kaya_waiting","srt_inori_react_1,srt_inori_idle","嘿嘿～！是「{0}」！","ENEMY_SELECT_GREAT2","2","srt_dragon_react_1,srt_dragon_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",""
"","","","ENEMY_SELECT_WAIT","-1","","",""
"srt_kaya_shock","","嘉夜夜，最後那是「鼻音」啊……","ENEMY_SELECT_N","1","","out_071",""
"srt_kaya_waiting","srt_inori_thinking","「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","PLAYER_TURN1","1","srt_dragon_thinking","",""
"srt_kaya_waiting","srt_inori_thinking","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","PLAYER_TURN2","1","srt_dragon_thinking","",""
"srt_kaya_waiting","srt_inori_thinking","原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","PLAYER_TURN3","1","srt_dragon_thinking","",""
"srt_kaya_waiting","srt_inori_thinking","哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","PLAYER_TURN_TW1","1","srt_dragon_thinking","",""
"srt_kaya_waiting","srt_inori_thinking","哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","PLAYER_TURN_TW2","1","srt_dragon_thinking","",""
"srt_kaya_waiting","srt_inori_thinking","原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","PLAYER_TURN_TW3","1","srt_dragon_thinking","",""
"","","","PLAYER_CUTIN_GREAT","1","","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053",""
"","","","PLAYER_CUTIN_PRICONNE","1","","sugoyomi_cutin_050,sugoyomi_cutin_052",""
"srt_kaya_react_1,srt_kaya_waiting","srt_inori_select_1,srt_inori_idle","「{0}」！","PLAYER_SELECT1","1","srt_dragon_select_1,srt_dragon_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",""
"srt_kaya_react_2,srt_kaya_waiting","srt_inori_select_2,srt_inori_idle","是「{0}」呀！","PLAYER_SELECT2","1","srt_dragon_select_2,srt_dragon_idle","correct_030-correct_031,correct_035-correct_036",""
