6a88bda51a9f0796d1c7fb24597150d60bb4739284add627fb0ee243da9c8bee,451429ff0c3cda1ac18c5c31e8b9f3d49016d616aa14ffb72013ebf3cbad11ec,815d051f88e8486fa1c03effbc17f74499d930da61e32febfb3eda64b093d30e,1e5caac4f2c3c894b65b0570fb5001575c10ece4998a7e1548a61586eb693292
"1004601","1004601","1","5046601"
"1004801","1004801","1","5048007"
"1004802","1004802","2","1004801"
"1005601","1005601","1","5056601"
"1006101","1006101","1","5061601"
"1006102","1006102","3","5061602"
"1006103","1006103","1","5061601"
"1006601","1006601","4","5027704"
"1007001","1007001","5","0"
"1007301","1007301","1","5046601"
"1007501","1007501","1","5048007"
"1007502","1007502","2","1004801"
"1008201","1008201","6","0"
"1008301","1008301","1","5056601"
"1008901","1008901","1","5061601"
"1008902","1008902","3","5061602"
"1008903","1008903","1","5061601"
"1009201","1009201","3","5092601"
"1010001","1010001","3","5100601"
"1010201","1010201","3","5100601"
"1010901","1010901","6","0"
"1011901","1011901","3","5092601"
"1012701","1012701","3","5100601"
"2003201","2003201","1","5056601"
