b486c8fa185b44bc310423a487e1b92c3de9b8fc026560e3a43ced12fd0571fd,e7e0af9f0a9c17cfb61c5837b3f0ca2d8b6e74f33a449a325298415390ce1edd,a6b13e10aedaf66364bee26022bff66702a11a1bb1cd2a849b51d034b3e4cdcb,924460479590bd289fcd116ccefd82542e8ee9c8e097b98a5311e69f5d6e3c57,058393f3e06cb018d161fc55f6e0ccb0b1d243380ac8a18bf000b209e6ad9e60,494049a9b4ea43a45a9116aaa28e80ac9b0ce7d0df09358327aeab4846d4304a,3f4918204d67e08cf13385b1e2cb7a21511e695424f30334d5c7fd4734021dfd,d921be8f07186053e5f26ff180e396fd0e867e678d85b3b3b12fee4de04083d5,f5bcb98dd65a042d0aa74225d8b7937eb2deffeb4212285115871525a38b8507,02a7def473bd67c4c875200b381f99cf44ef85a41b60cb98eb44811c15615f49,f3430f4fe1d3a9f698aaf6526a13fb4c9ec7307fb25cf2d97f3568949f5ecb8d
"110","1","1.35","101","1","11010001","-421","110931","-209.3","0","nyx_idle_normal"
"110","1","1.35","101","1","11010002","121.8","104831","-182.5","0","nyx_idle_normal"
"110","1","1.35","101","1","11010003","227.7","104631","-182.5","0","nyx_idle_normal"
"110","1","1.35","101","1","11010004","340.3","103231","-182.5","1","nyx_talk_normal"
"110","1","1.35","101","1","11010005","449.6","103431","-182.5","1","nyx_idle_normal"
"120","5","1.35","101","2","11010006","-421","2","-209.3","0","NoItem"
"0","31","1","101","1","11010007","0","1","1","",""
"-300","31","0","101","15","11010008","0","3","1","",""
"-300","31","0","101","15","11010009","0","4","1.5","",""
"","25","","101","bgm_M347","11010010","","bgm_M347","","",""
"","93","","101","2","11010011","","","","",""
"0","3","0.2","101","2","11010012","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"0","3","0.2","101","110931","11010013","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"10","11","","101","110931","11010014","","切嚕～♪\n一開始總而言之\n要有衝擊性！","","",""
"","93","","101","0.4","11010015","","","","",""
"","32","","101","3","11010016","","0","","",""
"","32","","101","3","11010017","","1","","",""
"","91","","101","11010014","11010018","","","","",""
"10","11","","101","110931","11010019","","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","","",""
"","93","","101","1","11010020","","","","",""
"1","3","0.2","101","103231","11010021","","nyx_idle_joy1","","",""
"1","3","0.2","101","104631","11010022","","nyx_cmn_05","","",""
"","91","","101","11010019","11010023","","","","",""
"0","3","0.2","101","2","11010024","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"0","3","0.2","101","110931","11010025","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"7","11","","101","110931","11010026","","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","","",""
"","93","","101","0.4","11010027","","","","",""
"","32","","101","3","11010028","","0","","",""
"","32","","101","3","11010029","","1","","",""
"","93","","101","0.6","11010030","","","","",""
"1","3","0.2","101","103431","11010031","","nyx_talk_bitter","","",""
