ea7685e34aeb5e8a615b5091294a0cd8c16d9e4e967685a738c0777806dc05ee,6ba3726a462eb06d55f6637c59d4c963a8cc5ca6d1656a551fe6a160098ab10a,15169539c0cda374ffc10bfcc8cd7b1abc336b28bac1cd0556ff8df7195144f7,372b2c0f77418592ab24ac4b8779537a283a0ce15ff63567a574854a5fc0e16e,bb380611ec6d4205a6ef177f5b709b5330b5186f4af977e89e7c855bd0ba70b1,b2e332442832409ce181c1377b93aa0a39306e5a1c148557e2d3a30c1a352e7b,e17f03180f725dd7927446eec4864512ea9c6498a1e6dead5e60d364940a9d9d,f42f7f2f11573fede076a73f305368828ced020d0305773b4da3aecc4cb25164,655a91a099e9af7a011bd26dcaa3b74157feed338db5099b8636189c405a19eb,e5459444fb04c61939f9e5f30782268f400aa5e8172dd9b5e60f12467248c698,6e0c622f21e4d1bff4d0ca7292b49f1ce5a3b0119dbf20664a772b2970145bb9
"","4514001","","4514","bgm_M321_2C","","bgm_M321","25","","",""
"0","4514002","250","4514","105811","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","4514003","256","4514","106011","wac_birthday_idle_doya","1","1","-270","2","200"
"1","4514004","258","4514","105911","wac_birthday_idle_wish","1","1","-310","2","320"
"1","4514005","257","4514","106431","wac_birthday_idle_smile","1","1","-290","2","440"
"","4514006","","4514","300","","105811","13","","",""
"","4514007","","4514","300","","106011","13","","",""
"","4514008","0","4514","600","","600","31","1","1","0"
"","4514009","0","4514","602","","602","31","1","0","0"
"","4514010","0","4514","603","","603","31","1","0","0"
"","4514011","30","4514","604","","604","31","1","1","60"
"","4514012","0","4514","611","","611","31","1","1","0"
"","4514013","0","4514","700","","700","31","1","0","0"
"","4514014","0","4514","701","","701","31","1","0","0"
"","4514015","0","4514","702","","702","31","1","0","0"
"","4514016","0","4514","800","","800","31","1","0","0"
"","4514017","30","4514","900","","900","31","1","1","60"
"","4514018","","4514","","","1","93","","",""
"0.2","4514019","0","4514","wac_birthday_reaction_01","","105911","3","1","0.2","wac_birthday_reaction_03"
"","4514020","","4514","","","0.1","93","","",""
"0.2","4514021","0","4514","wac_birthday_reaction_05","","106011","3","1","0.2","wac_birthday_reaction_04"
"0.2","4514022","0","4514","wac_birthday_reaction_02","","106431","3","1","0.2","wac_birthday_reaction_03"
"","4514023","","4514","","","0.3","93","","",""
"","4514024","1","4514","wac_birthday_run_01","","105811","3","","0.2",""
"","4514025","-70","4514","0","","105811","2","","","3"
"","4514026","","4514","","","2.5","93","","",""
"","4514027","","4514","1","","602","32","","",""
"","4514028","","4514","","","0.6","93","","",""
"","4514029","","4514","0","","600","32","","",""
"","4514030","","4514","0","","611","32","","",""
"","4514031","","4514","0","","604","32","","",""
"","4514032","","4514","1","","701","32","","",""
"","4514033","0","4514","0","","900","33","","","0.01"
"0.2","4514034","0","4514","wac_birthday_blowout_02","","105811","3","1","0.2","wac_birthday_wish_02"
"","4514035","-330","4514","-200","","105811","2","","","0.01"
"","4514036","1","4514","wac_birthday_idle_doya","","106011","3","","0.2",""
"","4514037","-320","4514","180","","106011","2","","","0.01"
"","4514038","1","4514","wac_birthday_idle_wish","","105911","3","","0.2",""
"","4514039","-360","4514","300","","105911","2","","","0.01"
"","4514040","1","4514","wac_birthday_idle_smile","","106431","3","","0.2",""
"","4514041","-340","4514","420","","106431","2","","","0.01"
"","4514042","","4514","","","0","93","","",""
"","4514043","","4514","1","","800","32","","",""
"","4514044","","4514","","","0.7","93","","",""
"","4514045","","4514","1","","702","32","","",""
"","4514046","","4514","","","0.5","93","","",""
"","4514047","0","4514","se_sys_login_birthday_blow_candle","","se_common","23","","",""
"","4514048","","4514","0","","701","32","","",""
"","4514049","","4514","","","0.4","93","","",""
"","4514050","0","4514","se_sys_login_birthday_cracker","","se_common","23","","",""
"","4514051","","4514","1","","700","32","","",""
"","4514052","0","4514","se_sys_login_birthday_calendar_applause","","se_common","23","","",""
"0.2","4514053","0","4514","wac_birthday_clap","","106011","3","1","0.2","wac_birthday_idle_doya"
"","4514054","","4514","","","0.1","93","","",""
"0.2","4514055","0","4514","wac_birthday_clap_to_wish","","105911","3","1","0.2","wac_birthday_idle_wish"
"","4514056","","4514","","","0.1","93","","",""
"0.2","4514057","0","4514","wac_birthday_clap","","106431","3","1","0.2","wac_birthday_idle_smile"
"","4514058","","4514","","","2","93","","",""
"","4514059","","4514","","","1","131","","",""
"","4514060","0","4514","vo_wac_04514_000","","vo_wac_04514","21","","","0"
"0","4514061","10","4514","這是生日蛋糕嗎！？\n謝謝你♪\n看起來好好吃……\n我馬上來大快朵頤囉♪","0.5","105811","11","1","0","1"
"","4514062","","4514","","","0","91","","",""
"","4514063","1","4514","wac_birthday_idle_kyapi","","105811","3","","0.2",""
"","4514064","1","4514","wac_birthday_talk_normal","","106011","3","","0.2",""
"","4514065","0","4514","vo_wac_04514_001","","vo_wac_04514","21","","","0"
"0","4514066","10","4514","慢著慢著，等一下────！！\n蠟燭都還沒拿下來耶！？\n妳這個人真的是一點也沒變啊……\n呵呵，生日快樂。","0.5","106011","11","1","0","1"
"","4514067","","4514","","","0","91","","",""
"","4514068","1","4514","wac_birthday_idle_doya","","106011","3","","0.2",""
"","4514069","1","4514","wac_birthday_talk_kyapi","","105811","3","","0.2",""
"","4514070","0","4514","vo_wac_04514_002","","vo_wac_04514","21","","","0"
"0","4514071","10","4514","嘻嘻，謝謝妳♪\n我會好好品嚐的！\n能夠得到大家的祝福，\n今天是最棒的紀念日♪","0.5","105811","11","1","0","1"
"","4514072","","4514","","","0","91","","",""
"","4514073","1","4514","wac_birthday_talk_wish","","105811","3","","0.2",""
"","4514074","0","4514","vo_wac_04514_003","","vo_wac_04514","21","","","0"
"0","4514075","10","4514","不論是今天、明天，還是遙遠的未來，\n都希望我們可以同桌享用豐盛的餐點♪\n當然，你也要一起喔！\n今後也請多多指教呢！","0.5","105811","11","1","0","1"
"","4514076","","4514","","","0","91","","",""
"","4514077","","4514","","","0","22","","",""
"","4814001","","4814","bgm_M321_2C","","bgm_M321","25","","",""
"0","4814002","250","4814","102011","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","4814003","256","4814","103611","wac_birthday_idle_doya","1","1","-270","2","230"
"1","4814004","257","4814","100411","wac_birthday_idle_kyapi","1","1","-310","2","410"
"","4814005","","4814","300","","102011","13","","",""
"","4814006","","4814","300","","103611","13","","",""
"","4814007","0","4814","600","","600","31","1","1","0"
"","4814008","0","4814","602","","602","31","1","0","0"
"","4814009","0","4814","603","","603","31","1","0","0"
"","4814010","30","4814","604","","604","31","1","1","60"
"","4814011","0","4814","611","","611","31","1","1","0"
"","4814012","0","4814","700","","700","31","1","0","0"
"","4814013","0","4814","701","","701","31","1","0","0"
"","4814014","0","4814","702","","702","31","1","0","0"
"","4814015","0","4814","800","","800","31","1","0","0"
"","4814016","30","4814","901","","901","31","1","1","60"
"","4814017","","4814","","","1","93","","",""
"0.2","4814018","0","4814","wac_birthday_reaction_02","","100411","3","1","0.2","wac_birthday_reaction_03"
"","4814019","","4814","","","0.1","93","","",""
"0.2","4814020","0","4814","wac_birthday_reaction_01","","103611","3","1","0.2","wac_birthday_reaction_04"
"","4814021","","4814","","","0.3","93","","",""
"","4814022","1","4814","wac_birthday_run_01","","102011","3","","0.2",""
"","4814023","-70","4814","0","","102011","2","","","3"
"","4814024","","4814","","","2.5","93","","",""
"","4814025","","4814","1","","602","32","","",""
"","4814026","","4814","","","0.6","93","","",""
"","4814027","","4814","0","","600","32","","",""
"","4814028","","4814","0","","611","32","","",""
"","4814029","","4814","0","","604","32","","",""
"","4814030","","4814","1","","701","32","","",""
"","4814031","0","4814","0","","901","33","","","0.01"
"0.2","4814032","0","4814","wac_birthday_blowout_02","","102011","3","1","0.2","wac_birthday_wish_02"
"","4814033","-330","4814","-200","","102011","2","","","0.01"
"","4814034","1","4814","wac_birthday_idle_doya","","103611","3","","0.2",""
"","4814035","-320","4814","180","","103611","2","","","0.01"
"","4814036","1","4814","wac_birthday_idle_kyapi","","100411","3","","0.2",""
"","4814037","-340","4814","320","","100411","2","","","0.01"
"","4814038","","4814","","","0","93","","",""
"","4814039","","4814","1","","800","32","","",""
"","4814040","","4814","","","0.7","93","","",""
"","4814041","","4814","1","","702","32","","",""
"","4814042","","4814","","","0.5","93","","",""
"","4814043","0","4814","se_sys_login_birthday_blow_candle","","se_common","23","","",""
"","4814044","","4814","0","","701","32","","",""
"","4814045","","4814","","","0.4","93","","",""
"","4814046","0","4814","se_sys_login_birthday_cracker","","se_common","23","","",""
"","4814047","","4814","1","","700","32","","",""
"","4814048","0","4814","se_sys_login_birthday_calendar_applause","","se_common","23","","",""
"0.2","4814049","0","4814","wac_birthday_clap","","103611","3","1","0.2","wac_birthday_idle_doya"
"","4814050","","4814","","","0.1","93","","",""
"0.2","4814051","0","4814","wac_birthday_clap","","100411","3","1","0.2","wac_birthday_idle_kyapi"
"","4814052","","4814","","","2","93","","",""
"","4814053","","4814","","","1","131","","",""
"","4814054","0","4814","vo_wac_04814_000","","vo_wac_04814","21","","","0"
"0","4814055","10","4814","哇～是蛋糕呢～！\n比店裡賣的還要大個……！\n好厲害好厲害♪","0.5","102011","11","1","0","1"
"","4814056","","4814","","","0","91","","",""
"","4814057","1","4814","wac_birthday_idle_smile","","102011","3","","0.2",""
"","4814058","1","4814","wac_birthday_talk_doya","","103611","3","","0.2",""
"","4814059","0","4814","vo_wac_04814_001","","vo_wac_04814","21","","","0"
"0","4814060","10","4814","這是我們偷偷做的喔！\n雖然中途禊跑來搗蛋，\n弄得一團亂就是了……\n美美，祝妳生日快樂喔♪","0.5","103611","11","1","0","1"
"","4814061","","4814","","","0","91","","",""
"","4814062","1","4814","wac_birthday_idle_doya","","103611","3","","0.2",""
"","4814063","1","4814","wac_birthday_talk_smile","","102011","3","","0.2",""
"","4814064","0","4814","vo_wac_04814_002","","vo_wac_04814","21","","","0"
"0","4814065","10","4814","欸嘿嘿，謝謝你們～\n沒想到能從爸爸媽媽，還有大家那裡\n收到蛋糕，就像做夢一樣……","0.5","102011","11","1","0","1"
"","4814066","","4814","","","0","91","","",""
"","4814067","1","4814","wac_birthday_talk_kyapi","","102011","3","","0.2",""
"","4814068","0","4814","vo_wac_04814_003","","vo_wac_04814","21","","","0"
"0","4814069","10","4814","美美非常幸福呢～♪\n哥哥，也謝謝你！\n等大家生日的時候，\n美美一～定也會幫你們慶祝的♪","0.5","102011","11","1","0","1"
"","4814070","","4814","","","0","91","","",""
"","4814071","","4814","","","0","22","","",""
"","5014001","","5014","bgm_M321_2C","","bgm_M321","25","","",""
"0","5014002","250","5014","100211","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","5014003","256","5014","100311","wac_birthday_idle_normal","1","1","-270","2","230"
"1","5014004","257","5014","100111","wac_birthday_idle_smile","1","1","-310","2","410"
"","5014005","","5014","300","","100211","13","","",""
"","5014006","","5014","300","","100311","13","","",""
"","5014007","0","5014","600","","600","31","1","1","0"
"","5014008","0","5014","602","","602","31","1","0","0"
"","5014009","0","5014","603","","603","31","1","0","0"
"","5014010","30","5014","604","","604","31","1","1","60"
"","5014011","0","5014","611","","611","31","1","1","0"
"","5014012","0","5014","700","","700","31","1","0","0"
"","5014013","0","5014","701","","701","31","1","0","0"
"","5014014","0","5014","702","","702","31","1","0","0"
"","5014015","0","5014","800","","800","31","1","0","0"
"","5014016","30","5014","902","","902","31","1","1","60"
"","5014017","","5014","","","1","93","","",""
"0.2","5014018","0","5014","wac_birthday_reaction_02","","100111","3","1","0.2","wac_birthday_reaction_03"
"","5014019","","5014","","","0.1","93","","",""
