fcc7c390766736e95e68b3aeecf65bae8360acf4c39b6a15afba4ae69c12b5a8,e52da1c305b0d2cc92a312a1c827dfe6544a0b6e599c81a28d9d6c0e0b0ac25e,6157812d9093cadf86de1edb4928dcddf259b3f557148cdb1deeda64d49fcf50,77f77ddf832453d753b4c6433d842de58d6e3ed8b84332f9ff1f39968b6db902,ed78027f89c7d9707d9a43a7c7971c55cd7f97ac61d583f59e0628fcaf02cd04,87995bc8781a1c59c19437b3df9bb20d783426c9112d12e3a1b75e106b96a749,e0d3316e4983512874a9a4c0983c4ce9ec6e2dee711c2790cd6321ed989b260b,fcb7473b2fbeed728c2ca96dee4d309cd77bda906e026ddcd3d05103e1972716,dae5e924d04080829a5f570b4e1b9bbfb6dbcf0798c7cea82366b1f1bcd50f24
"1","2","","2","1","23001","1","","21600"
"1","2","","3","2","23001","1","","19800"
"1","2","","3","3","23001","1","","18000"
"1","2","","3","4","23001","1","","16200"
"1","2","","4","5","23001","1","","14400"
"1","2","","4","6","23001","1","","12960"
"1","2","","5","7","23001","1","","11520"
"1","2","","6","8","23001","1","","10080"
"1","2","","7","9","23001","1","","8640"
"1","2","","8","10","23001","1","","7200"
"1","2","","10","11","23001","1","","5760"
"1","2","","12","12","23001","1","","5040"
"1","2","","14","13","23001","1","","4320"
"2","2","","16","14","23001","1","","7200"
"2","2","","18","15","23001","1","","5400"
"2","2","","18","16","23001","1","","5040"
"2","2","","18","17","23001","1","","4800"
"2","2","","20","18","23001","1","","4500"
"2","2","","20","19","23001","1","","4320"
"3","2","","24","20","23001","1","","6000"
"3","2","","48","21","23001","1","","5700"
"3","2","","48","22","23001","1","","5400"
"3","2","","51","23","23001","1","","5220"
"3","2","","54","24","23001","1","","4980"
"3","2","","54","25","23001","1","","4800"
"3","2","","60","26","23001","1","","4500"
"3","2","","60","27","23001","1","","4320"
"3","2","","63","28","23001","1","","4200"
"4","2","","64","29","23001","1","","5400"
"4","2","","68","30","23001","1","","5220"
"4","2","","72","31","23001","1","","5040"
"4","2","","72","32","23001","1","","4920"
"4","2","","72","33","23001","1","","4800"
"4","2","","76","34","23001","1","","4680"
"4","2","","80","35","23001","1","","4500"
"4","2","","80","36","23001","1","","4320"
"4","2","","84","37","23001","1","","4260"
"20","6","","80","1","93001","2","","21600"
"24","6","","96","2","93001","2","","21600"
"28","6","","112","3","93001","2","","21600"
"30","6","","120","4","93001","2","","21600"
"32","6","","128","5","93001","2","","21600"
"34","6","","136","6","93001","2","","21600"
"36","6","","144","7","93001","2","","21600"
"38","6","","152","8","93001","2","","21600"
"40","6","","160","9","93001","2","","21600"
"42","6","","168","10","93001","2","","21600"
"44","6","","176","11","93001","2","","21600"
"46","6","","184","12","93001","2","","21600"
"48","6","","192","13","93001","2","","21600"
"50","6","","200","14","93001","2","","21600"
"52","6","","208","15","93001","2","","21600"
"54","6","","216","16","93001","2","","21600"
"56","6","","224","17","93001","2","","21600"
"58","6","","232","18","93001","2","","21600"
"60","6","","240","19","93001","2","","21600"
"62","6","","248","20","93001","2","","21600"
"64","6","","256","21","93001","2","","21600"
"66","6","","264","22","93001","2","","21600"
"68","6","","272","23","93001","2","","21600"
"70","6","","280","24","93001","2","","21600"
"72","6","","288","25","93001","2","","21600"
"74","6","","296","26","93001","2","","21600"
"76","6","","304","27","93001","2","","21600"
"78","6","","312","28","93001","2","","21600"
"80","6","","320","29","93001","2","","21600"
"82","6","","328","30","93001","2","","21600"
"84","6","","336","31","93001","2","","21600"
"85","6","","340","32","93001","2","","21600"
"86","6","","344","33","93001","2","","21600"
"87","6","","348","34","93001","2","","21600"
"88","6","","352","35","93001","2","","21600"
"89","6","","356","36","93001","2","","21600"
"90","6","","360","37","93001","2","","21600"
"1","2","","3","1","20001","3","","14400"
"1","2","","5","2","20001","3","","9600"
"1","2","","7","3","20001","3","","7200"
"1","2","","10","4","20001","3","","5400"
"1","2","","15","5","20001","3","","3600"
"1","2","","6","6","20002","3","","9600"
"1","2","","8","7","20002","3","","7200"
"1","2","","12","8","20002","3","","4800"
"1","2","","16","9","20002","3","","3600"
"1","2","","20","10","20002","3","","2700"
"1","2","","6","11","20003","3","","10800"
"1","2","","8","12","20003","3","","9000"
"1","2","","12","13","20003","3","","7200"
"1","2","","16","14","20003","3","","5400"
"1","2","","20","15","20003","3","","3600"
"1","2","","30","16","20003","3","","2880"
"1","2","","7","17","20004","3","","12600"
