18ae30ba6e1ac5ecdef15fb9e04256a7f1d141672196d62df26187933162ba67,2fcd80d2aca9b51bb3c97dff2a0d0f9d6c7e1ee646379e46dfa45839531dd08e,f99bbfdf04211931fda30ddc3a706459daf558b254fbcf7021e5aeb2e6c99eec,24e9b4d929a82e1d10df3a8ba9e87ae25438412c91bdf68793b1303b3c93452a,3056c49038631b1f136782aaedcaf8dbabf677a96f42ca703baa4273d2233021,6c96d9f1f3182c2639f59a56af6340c7053c3bca1ce06d1e4500da2109076fcf,50da88c971ebbbb35bc1c7a26a1eded06041e12165736f1300def957cc4638cc,6a6db5dc06aa6a69197cc1c7fe246e702955be22a9a4b697431f8eaafd71e31b,96fa937c6d585384cd3fd99a165711f142547a2fc6f002f9311e55eb04885ad6,267a90533f4e34019ddd68ed8e4cd6e993f1ff0957126b9f81cd7d5168944b84,681dc12bd08e03e096576ed111b10dace36ff32fa80e277916e6b45afa5b03a4
"25","0","91002","10128","2","5128071","0","8","0","只有兩人的元旦日出","10157107"
"25","0","91002","10128","2","5128072","5128071","8","0","新家的必備條件","0"
"25","0","91002","10128","2","5128073","5128072","8","0","其實比誰都還要","0"
"25","0","91002","10128","2","5128074","5128073","8","0","想要一家人\n一起珍惜的事","0"
"50","0","91002","10128","2","5128075","5128074","8","0","誓約的諾言","0"
"25","0","91002","10128","3","5128081","0","8","0","染血的訂婚通知","10157107"
"25","0","91002","10128","3","5128082","5128081","8","0","漂泊之人的尋家路","0"
"25","0","91002","10128","3","5128083","5128082","8","0","珍愛時光","0"
"25","0","91002","10128","3","5128084","5128083","8","0","東國的\n家族文化","0"
"50","0","91002","10128","3","5128085","5128084","8","0","傳達真誠的愛","0"
"0","0","0","10128","4","5128091","5128075","0","5128085","口頭約定是禍端","0"
"0","11001271","0","10128","4","5128092","5128091","0","0","不容退讓的家庭味道","0"
"0","0","0","10128","1","5128161","0","0","0","夢境說書人的邀請","10157107"
