41af7e6a694ad3b62a28e69a745758261263f7a224eb681e0ba974fb7fc138e7,6710d87882e5ea7f0cdb6409b52012d03d5e35b282ff02827914c4332755002a,848e15890a7f2eb474fd765d17fdb460ae8a401624028296fc2f812c485b39dc,eae6ef2c834a18f3e8d6b43ce7ca589281b23a20696eaa3d25d5e7e6af52d51e,01de3ededa46857759c692b8f6421886dec916f349b9f610dcae47bb842ab08d,d2d4128a0879064a60e594968d7ebee5885b725189b8f9769d6341cb3c03ba1b
"550101103","550101105","74001101","550101104","550101101","550101102"
"550101203","550101205","74001102","550101204","550101201","550101202"
"550101303","550101305","74001103","550101304","550101301","550101302"
"550101403","550101405","74001104","550101404","550101401","550101402"
"550101503","550101505","74001105","550101504","550101501","550101502"
"550101108","550101110","74001201","550101109","550101106","550101107"
"550101208","550101210","74001202","550101209","550101206","550101207"
"550101308","550101310","74001203","550101309","550101306","550101307"
"550101408","550101410","74001204","550101409","550101406","550101407"
"550101508","550101510","74001205","550101509","550101506","550101507"
"550101111","0","74001301","0","550101112","550101113"
"550101211","0","74001302","0","550101212","550101213"
"550101311","0","74001303","0","550101312","550101313"
"550101411","0","74001304","0","550101412","550101413"
"550101511","0","74001305","0","550101512","550101513"
"550101116","0","74001401","0","550101115","550101114"
"550101216","0","74001402","0","550101215","550101214"
"550101316","0","74001403","0","550101315","550101314"
"550101416","0","74001404","0","550101415","550101414"
"550101516","0","74001405","0","550101515","550101514"
"0","0","74001501","0","550101117","0"
"0","0","74001502","0","550101217","0"
"0","0","74001503","0","550101317","0"
"0","0","74001504","0","550101417","0"
"0","0","74001505","0","550101517","0"
"0","0","74001999","0","550101999","0"
"550102103","550102105","74002101","550102104","550102101","550102102"
"550102203","550102205","74002102","550102204","550102201","550102202"
"550102303","550102305","74002103","550102304","550102301","550102302"
"550102403","550102405","74002104","550102404","550102401","550102402"
"550102503","550102505","74002105","550102504","550102501","550102502"
"550102108","550102110","74002201","550102109","550102106","550102107"
"550102208","550102210","74002202","550102209","550102206","550102207"
"550102308","550102310","74002203","550102309","550102306","550102307"
"550102408","550102410","74002204","550102409","550102406","550102407"
"550102508","550102510","74002205","550102509","550102506","550102507"
"550102111","0","74002301","0","550102112","550102113"
"550102211","0","74002302","0","550102212","550102213"
"550102311","0","74002303","0","550102312","550102313"
"550102411","0","74002304","0","550102412","550102413"
"550102511","0","74002305","0","550102512","550102513"
"550102116","0","74002401","0","550102115","550102114"
"550102216","0","74002402","0","550102215","550102214"
"550102316","0","74002403","0","550102315","550102314"
"550102416","0","74002404","0","550102415","550102414"
"550102516","0","74002405","0","550102515","550102514"
"0","0","74002501","0","550102117","0"
"0","0","74002502","0","550102217","0"
"0","0","74002503","0","550102317","0"
"0","0","74002504","0","550102417","0"
"0","0","74002505","0","550102517","0"
"550103104","0","74003101","550103102","550103101","550103103"
"550103204","0","74003102","550103202","550103201","550103203"
"550103304","550103305","74003103","550103302","550103301","550103303"
"550103404","550103405","74003104","550103402","550103401","550103403"
"550103504","550103505","74003105","550103502","550103501","550103503"
"550103107","0","74003201","550103108","550103105","550103106"
"550103207","550103209","74003202","550103208","550103205","550103206"
"550103308","550103310","74003203","550103309","550103306","550103307"
"550103408","550103410","74003204","550103409","550103406","550103407"
"550103508","550103510","74003205","550103509","550103506","550103507"
"550103111","0","74003301","550103112","550103109","550103110"
"550103212","550103214","74003302","550103213","550103210","550103211"
"550103313","550103315","74003303","550103314","550103311","550103312"
"550103413","550103415","74003304","550103414","550103411","550103412"
"550103513","550103515","74003305","550103514","550103511","550103512"
"0","0","74003401","0","550103113","0"
"0","0","74003402","0","550103215","0"
"0","0","74003403","0","550103316","0"
"0","0","74003404","0","550103416","0"
"0","0","74003405","0","550103516","0"
"0","0","74003501","0","550103114","0"
"0","0","74003502","0","550103216","0"
"0","0","74003503","0","550103317","0"
"0","0","74003504","0","550103417","550103421"
"550103521","0","74003505","0","550103522","550103517"
"550104103","0","74004101","550104104","550104101","550104102"
"550104203","0","74004102","550104204","550104201","550104202"
"550104303","550104305","74004103","550104304","550104301","550104302"
"550104403","550104405","74004104","550104404","550104401","550104402"
"550104503","550104505","74004105","550104504","550104501","550104502"
"550104107","0","74004201","550104108","550104105","550104106"
"550104207","550104209","74004202","550104208","550104205","550104206"
"550104308","550104310","74004203","550104309","550104306","550104307"
"550104408","550104410","74004204","550104409","550104406","550104407"
"550104508","550104510","74004205","550104509","550104506","550104507"
"550104112","0","74004301","550104111","550104109","550104110"
"550104213","550104214","74004302","550104212","550104210","550104211"
"550104314","550104315","74004303","550104313","550104311","550104312"
"550104414","550104415","74004304","550104413","550104411","550104412"
"550104514","550104515","74004305","550104513","550104511","550104512"
"0","0","74004401","0","550104113","0"
"0","0","74004402","0","550104215","0"
"0","0","74004403","0","550104316","0"
"0","0","74004404","0","550104416","0"
"0","0","74004405","0","550104516","0"
"0","0","74004501","0","550104117","0"
"0","0","74004502","0","550104219","0"
"0","0","74004503","0","550104320","0"
"0","0","74004504","0","550104420","550104421"
"550104521","0","74004505","0","550104522","550104520"
"550105103","550105105","74005101","550105104","550105101","550105102"
"550105203","550105205","74005102","550105204","550105201","550105202"
"550105303","550105305","74005103","550105304","550105301","550105302"
"550105403","550105405","74005104","550105404","550105401","550105402"
"550105503","550105505","74005105","550105504","550105501","550105502"
"550105108","550105110","74005201","550105109","550105106","550105107"
"550105208","550105210","74005202","550105209","550105206","550105207"
"550105309","550105311","74005203","550105310","550105307","550105308"
"550105409","550105411","74005204","550105410","550105407","550105408"
"550105509","550105511","74005205","550105510","550105507","550105508"
"0","0","74005301","0","550105111","0"
"550105213","0","74005302","0","550105211","550105212"
"550105315","0","74005303","0","550105313","550105314"
"550105416","0","74005304","550105415","550105413","550105414"
"550105516","0","74005305","550105515","550105513","550105514"
"0","0","74005401","0","550105116","0"
"550105220","0","74005402","0","550105218","550105219"
"550105322","0","74005403","0","550105320","550105321"
"550105424","0","74005404","550105423","550105421","550105422"
"550105524","0","74005405","550105523","550105521","550105522"
"0","0","74005501","0","550105118","0"
"550105224","0","74005502","0","550105222","550105223"
"550105326","0","74005503","0","550105324","550105325"
"550105429","0","74005504","550105428","550105426","550105427"
"550105529","0","74005505","550105528","550105526","550105527"
"550106103","550106105","74006101","550106104","550106101","550106102"
"550106203","550106205","74006102","550106204","550106201","550106202"
"550106303","550106305","74006103","550106304","550106301","550106302"
"550106403","550106405","74006104","550106404","550106401","550106402"
"550106503","550106505","74006105","550106504","550106501","550106502"
"550106108","550106110","74006201","550106109","550106106","550106107"
"550106208","550106210","74006202","550106209","550106206","550106207"
"550106308","550106310","74006203","550106309","550106306","550106307"
"550106409","550106411","74006204","550106410","550106407","550106408"
"550106509","550106511","74006205","550106510","550106507","550106508"
"550106114","550106111","74006301","550106115","550106112","550106113"
"550106214","550106211","74006302","550106215","550106212","550106213"
"550106314","550106311","74006303","550106315","550106312","550106313"
"0","0","74006304","0","550106413","0"
"0","0","74006305","0","550106513","0"
"0","0","74006401","0","550106116","0"
"0","0","74006402","0","550106217","0"
"0","0","74006403","0","550106317","0"
"550106418","550106415","74006404","550106419","550106416","550106417"
"0","0","74006405","0","550106515","0"
"0","0","74006501","0","550106118","0"
"0","0","74006502","0","550106220","0"
"0","0","74006503","0","550106320","0"
"0","0","74006504","0","550106422","0"
"0","0","74006505","0","550106518","0"
