d246b0b84f5063c55b42b46b10ff8873f74e4373139e95d69fd14bcf237b6eae,d0af9562454b7e1f5d581b0c90a2aed0964bedcded2544410c804d2d21619876,e64cecf9a1332ceeb33a05ae32d5b541e10c8660e4a93cee62986582d9a25ae6,1cc5bb6053269a399d8a28df4b733a1f66c701cfe3565bca4db2a9214cae37bd,1c7659f37f59cb34bf4e67696dfef53eac291703a02fed5f9f01cda253f0a83a,4433c6f95d7da3ab377e79afa515a45a7308699374ac8b64f465657594087c5a,71330edf3179344752ad4f88117179cd6b86544a03cea99cd31c5543c2bca70f,ddbc79f18a192c83891d549796891fda9cb1bbd954b9bc8d0fb5ae3884c7236f,7d595c7a4fa933db32f2dba2344d700ba4276d31267fe514fdb354f993fbc5fe,00ae4eb4a7df43fec24033f8b3f1a834c61f6a14101227ca359a99232275d5d7,08d7de2b7d582165eae5cb5e450f5df4838d325abff018d8075db497c1584cec,a7fd8559f38f1e6d46daf8e6fa1cbbfebff43e2919ecfef96c745fcb16824570,ed08ae8fc1f89362ca4e5627bd3fb653768fc08f57852bff56666219133c3dbb,6ea3fae80dd8313fb8207714f1706fc4751f364bc0badd3fe321cfa7a76739fb,c513ed7d12bbbf253dfaa14e645ce6d06b2b5db31b529008281f2ba96475d09a,55320f39b63dbd8f60d4c87e37298deb77678f724f6bb719bd306b0b9285a52b,5526340d228fc3faa7885a29beb39f8f43b3c1f74e72b2d20641418f4026f6f4,5122191169d8ba1570843412740e774df05b114bdf18609898b855d02a372ca7
"8","150003","8","90005","20004","1001","100","2","300000","2","4","3","30","3","12","94002","91002","1"
"8","150004","60","90005","140001","1001","150","2","400000","4","4","3","30","3","12","94002","91002","2"
"8","150005","10","90005","20004","1001","150","2","500000","2","4","3","30","3","12","94002","91002","3"
"8","150006","90","90005","140001","1001","200","2","750000","4","4","3","30","3","12","94002","91002","4"
"8","150007","1","90005","21951","1001","200","2","1000000","2","4","3","30","3","12","94002","91002","5"
"8","150003","8","90005","20004","1002","100","2","300000","2","4","3","30","3","12","94002","91002","1"
"8","150004","60","90005","140001","1002","150","2","400000","4","4","3","30","3","12","94002","91002","2"
"8","150005","10","90005","20004","1002","150","2","500000","2","4","3","30","3","12","94002","91002","3"
"8","150006","90","90005","140001","1002","200","2","750000","4","4","3","30","3","12","94002","91002","4"
"8","150007","1","90005","21951","1002","200","2","1000000","2","4","3","30","3","12","94002","91002","5"
"8","150003","8","150004","20004","1003","50","4","300000","2","4","100","100","3","12","94002","91002","1"
"8","150005","60","90005","140001","1003","100","2","400000","4","4","5","50","3","12","94002","91002","2"
"8","150006","10","94002","20004","1003","100","12","0","2","4","500000","50","3","0","0","91002","3"
"8","150007","90","90005","140001","1003","150","2","750000","4","4","10","50","3","12","94002","91002","4"
"8","150008","1","94002","21951","1003","150","12","0","2","4","1000000","50","3","0","0","91002","5"
"8","150003","8","150004","20004","1004","50","4","300000","2","4","100","100","3","12","94002","91002","1"
"8","150005","60","90005","140001","1004","100","2","400000","4","4","5","50","3","12","94002","91002","2"
"8","150006","10","94002","20004","1004","100","12","0","2","4","500000","50","3","0","0","91002","3"
"8","150007","90","90005","140001","1004","150","2","750000","4","4","10","50","3","12","94002","91002","4"
"8","150008","1","94002","21951","1004","150","12","0","2","4","1000000","50","3","0","0","91002","5"
"8","150003","8","150004","20004","1005","50","4","300000","2","4","100","100","3","12","94002","91002","1"
"8","150005","60","90005","140001","1005","100","2","400000","4","4","5","50","3","12","94002","91002","2"
"8","150006","10","94002","20004","1005","100","12","0","2","4","500000","50","3","0","0","91002","3"
"8","150007","90","90005","140001","1005","150","2","750000","4","4","10","50","3","12","94002","91002","4"
"8","150008","1","94002","21951","1005","150","12","0","2","4","1000000","50","3","0","0","91002","5"
"8","150004","8","150005","20004","1006","50","4","300000","2","4","100","100","3","12","94002","91002","1"
"8","150006","60","90005","140001","1006","100","2","400000","4","4","5","50","3","12","94002","91002","2"
"8","150007","10","94002","20004","1006","100","12","0","2","4","500000","50","3","0","0","91002","3"
"8","150008","90","90005","140001","1006","150","2","750000","4","4","10","50","3","12","94002","91002","4"
"8","150009","1","94002","21951","1006","150","12","0","2","4","1000000","50","3","0","0","91002","5"
