60abfe9c0e9227dda6239e1ce9dea4a7fcabab766e01717f32346e8d10491203,123c5cae83c907a676869d159e4b448192337922e133f609ff1394b3b5e2aacd,c637dc4692399106e8f2fa60cc80481b82d9d64c8a370627db91a60a3fa59ae8
"10101","81101","1"
"10101","81102","2"
"10101","81103","3"
"10101","81104","4"
"10101","81105","5"
"10102","81201","1"
"10102","81202","2"
"10102","81203","3"
"10102","81204","4"
"10102","81205","5"
"10103","81301","1"
"10103","81302","2"
"10103","81303","3"
"10103","81304","4"
"10103","81305","5"
"10104","81401","1"
"10104","81402","2"
"10104","81403","3"
"10104","81404","4"
"10104","81405","5"
"10201","82101","1"
"10201","82102","2"
"10201","82103","3"
"10201","82104","4"
"10201","82105","5"
"10202","82201","1"
"10202","82202","2"
"10202","82203","3"
"10202","82204","4"
"10202","82205","5"
"10203","82301","1"
"10203","82302","2"
"10203","82303","3"
"10203","82304","4"
"10203","82305","5"
"10204","82401","1"
"10204","82402","2"
"10204","82403","3"
"10204","82404","4"
"10204","82405","5"
"10301","83101","1"
"10301","83102","2"
"10301","83103","3"
"10301","83104","4"
"10301","83105","5"
"10302","83201","1"
"10302","83202","2"
"10302","83203","3"
"10302","83204","4"
"10302","83205","5"
"10303","83301","1"
"10303","83302","2"
"10303","83303","3"
"10303","83304","4"
"10303","83305","5"
"10304","83401","1"
"10304","83402","2"
"10304","83403","3"
"10304","83404","4"
"10304","83405","5"
"10401","84101","1"
"10401","84102","2"
"10401","84103","3"
"10401","84104","4"
"10401","84105","5"
"10402","84201","1"
"10402","84202","2"
"10402","84203","3"
"10402","84204","4"
"10402","84205","5"
"10403","84301","1"
"10403","84302","2"
"10403","84303","3"
"10403","84304","4"
"10403","84305","5"
"10404","84401","1"
"10404","84402","2"
"10404","84403","3"
"10404","84404","4"
"10404","84405","5"
"10501","85101","1"
"10501","85102","2"
"10501","85103","3"
"10501","85104","4"
"10501","85105","5"
"10502","85201","1"
"10502","85202","2"
"10502","85203","3"
"10502","85204","4"
"10502","85205","5"
"10503","85301","1"
"10503","85302","2"
"10503","85303","3"
"10503","85304","4"
"10503","85305","5"
"10504","85401","1"
"10504","85402","2"
"10504","85403","3"
"10504","85404","4"
"10504","85405","5"
"10601","86101","1"
"10601","86102","2"
"10601","86103","3"
"10601","86104","4"
"10601","86105","5"
"10602","86201","1"
"10602","86202","2"
"10602","86203","3"
"10602","86204","4"
"10602","86205","5"
"10603","86301","1"
"10603","86302","2"
"10603","86303","3"
"10603","86304","4"
"10603","86305","5"
"10604","86401","1"
"10604","86402","2"
"10604","86403","3"
"10604","86404","4"
"10604","86405","5"
"10701","87101","1"
"10701","87102","2"
"10701","87103","3"
"10701","87104","4"
"10701","87105","5"
"10702","87201","1"
"10702","87202","2"
"10702","87203","3"
"10702","87204","4"
"10702","87205","5"
"10703","87301","1"
"10703","87302","2"
"10703","87303","3"
"10703","87304","4"
"10703","87305","5"
"10704","87401","1"
"10704","87402","2"
"10704","87403","3"
"10704","87404","4"
"10704","87405","5"
"10801","88101","1"
"10801","88102","2"
"10801","88103","3"
"10801","88104","4"
"10801","88105","5"
"10802","88201","1"
"10802","88202","2"
"10802","88203","3"
"10802","88204","4"
"10802","88205","5"
"10803","88301","1"
"10803","88302","2"
"10803","88303","3"
"10803","88304","4"
"10803","88305","5"
"10804","88401","1"
"10804","88402","2"
"10804","88403","3"
"10804","88404","4"
"10804","88405","5"
"99999","80001","1"
"99999","80002","2"
"99999","80003","3"
"99999","80004","4"
"99999","80005","5"
