170af15999329c0c8b5eac2e5caa527ba2e476a0ab50b9848eeddf974797b626,e1173140666ab4341a7e4dcd88d0afb995f5d57ab0d68013f20a2aa640783800,3906457b0af11317ddebf0b956aada169c04ce549884531fdbd112a49efdfe33,60cba4fe2631fd990276d485b0dffe4afa507c1545285b871e728526a56c3c26,badd0e266078312416d139541bd1f208354ef703eeb2b18ec462b19d34b406a7,506a014c467eb577533431feffffac082c171d39e69537ad1322b5279a4c9b6c,0146c5cdfd868357584d44c4b9306de16edd8946f79808203506e09236c4b6e3,6f17c43a73856cfde5755959455d28faecec52ed2caf7a04d4f87d4a41231932
"1","0","52001","1","1","1","0","【料理】骰子增加成為兩個"
"2","0","52002","1","1","1","0","【料理】骰子只會丟出「1」"
"3","0","52002","3","2","1","0","【料理】跳過下次的回合數計算"
"4","0","52004","1","1","1","0","【料理】骰子只會丟出「4」"
"5","0","52006","1","1","1","0","【料理】骰子只會丟出\n「4・5・6」"
"6","0","52007","1","1","1","0","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」"
"7","0","52003","1","1","1","0","【料理】骰子只會丟出「5」"
"8","0","52008","2","7","1","0","【料理】里程格所獲得的里程將提升200%"
"9","0","4","3","2","2","0","【事件】跳過下次的回合數計算"
"10","0","5","2","3","2","0","【事件】里程格所獲得的里程將提升100%"
"11","0","6","2","5","2","0","【事件】小遊戲所獲得的里程將提升100%"
"12","0","7","3","4","2","0","【事件】里程商店的所有商品折價20%以上"
"13","0","52009","1","1","1","0","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」"
"14","0","52010","2","6","1","0","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個"
"15","0","52011","1","1","1","0","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」"
"16","0","52012","1","1","1","0","【料理】骰子只會丟出\n「1・2・3」"
"17","0","52012","3","2","1","0","【料理】跳過下次的回合數計算"
"18","0","52014","1","8","1","0","【料理】移動時將可以跳過里程格。"
"19","0","52005","1","1","1","0","【料理】下次移動時，將多移動1格。"
"20","2","52014","1","1","1","2","【料理】下次移動時，將多移動1格。"
"21","0","52015","1","1","1","0","【料理】骰子增加成為兩個"
"22","0","52015","1","1","1","0","【料理】下次移動時，將多移動1格。"
"23","0","52016","1","1","1","0","【料理】投擲的骰子一定會丟出「6」。"
"24","0","52017","1","9","1","0","【料理】變得無法食用移動系的料理。"
"25","0","52018","1","1","1","0","【料理】投擲的骰子一定會丟出「3」。"
"26","0","52019","1","1","1","0","【料理】投擲的骰子一定會丟出「8」。"
"27","0","98011","3","2","2","0","【事件】跳過下次的回合數計算"
"28","0","98012","3","2","2","0","【事件】跳過下次的回合數計算"
"29","0","52020","2","10","1","0","【料理】移動時將可以跳過里程格。"
"30","2","52020","1","1","1","2","【料理】下次移動時，將多移動1格。"
"31","0","52021","2","10","1","0","【料理】移動時可以跳過寶物格。"
"32","0","52022","1","1","1","0","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。"
"33","0","52023","1","1","1","0","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」"
"34","0","52024","1","1","1","0","【料理】下次移動時多前進3格"
"35","0","52025","2","10","1","0","【料理】移動時可以跳過「里程格」及「寶物格」。"
"36","0","52027","1","1","1","0","【料理】骰子只會丟出「5」"
"37","0","52028","1","1","1","0","【料理】投擲的骰子\n只會丟出「1、2」。"
"38","0","52029","1","1","1","0","【料理】投擲的骰子一定會丟出「2」。"
"39","0","52029","3","2","1","0","【料理】跳過下次的回合數計算"
"40","0","8","3","4","2","0","【事件】里程商店的所有商品折價20%以上"
"41","0","52030","3","11","1","0","【料理】將「里程格」變成「寶物格」。"
"42","0","52031","1","1","1","0","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。"
"43","0","52032","2","10","1","0","【料理】移動時可以跳過料理格"
"44","0","52034","1","8","1","0","【料理】移動時可以跳過里程格"
"45","0","52036","1","1","1","0","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」"
