5e3deaa66ec508c336979095a0f43f2fb51af3dc032eba6446264cfcd3086e61,4319e8ad3d927ca0512dcf470186c100819ca1d98a96496032e24ffbd799ad35,437f39ab5f7052a8dea606db85127c1d731e0200c2f79f1ab26f04c6439edb6f,420d0f94495aa53caa00be637472a74ae227053aa9b3607c87eb1b86d7ad5d29,0606f177fa5ee942d415edc1128acfc293168918d09287a633c1300be27b006a
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","1","傷害值衰減","10101"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","1","防禦力（不可降低）提升","10102"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","2","傷害值衰減","10201"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","2","防禦力（不可降低）提升","10202"
"將所有怪物承受的傷害減少一定數值。","damage_cut","2","全傷害降低","10203"
"提升所有怪物所造成的傷害。","damage_up","2","造成傷害提升","10204"
"提升所有怪物的物理/魔法防禦力。","def_up","2","防禦力提升","10205"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","3","傷害值衰減","10301"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","3","防禦力（不可降低）提升","10302"
"將所有怪物承受的傷害減少一定數值。","damage_cut","3","全傷害降低","10303"
"提升所有怪物所造成的傷害。","damage_up","3","造成傷害提升","10304"
"提升所有怪物的物理/魔法防禦力。","def_up","3","防禦力提升","10305"
"降低所有角色的物理/魔法暴擊率。","critical_down","3","降低暴擊","10306"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","4","傷害值衰減","10401"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","4","防禦力（不可降低）提升","10402"
"將所有怪物承受的傷害減少一定數值。","damage_cut","4","全傷害降低","10403"
"提升所有怪物所造成的傷害。","damage_up","4","造成傷害提升","10404"
"提升所有怪物的物理/魔法防禦力。","def_up","4","防禦力提升","10405"
"降低所有角色的物理/魔法暴擊率。","critical_down","4","降低暴擊","10406"
"降低所有角色的ＨＰ吸收。","life_steal_down","4","降低ＨＰ吸收","10407"
"EXTREME戰鬥時，有一定的機率會出現強敵。","add_monster","5","強敵出現","10501"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","5","傷害值衰減","10502"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","5","防禦力（不可降低）提升","10503"
"將所有怪物承受的傷害減少一定數值。","damage_cut","5","全傷害降低","10504"
"提升所有怪物所造成的傷害。","damage_up","5","造成傷害提升","10505"
"提升所有怪物的物理/魔法防禦力。","def_up","5","防禦力提升","10506"
"降低所有角色的物理/魔法暴擊率。","critical_down","5","降低暴擊","10507"
"降低所有角色的ＨＰ吸收。","life_steal_down","5","降低ＨＰ吸收","10508"
"所有怪物為減少降低ＴＰ的狀態。","tp_down_cut","5","減少降低ＴＰ","10509"
"降低所有角色的ＨＰ恢復量。","hp_recovery_down","5","降低ＨＰ恢復量","10510"
