af846ee5cc846202ba873d20bdd480b0eff6d9b116f129596585ba4c21bf0cba,8191155627dab5fa52e682d0e3de524aa4152e93583af381159c92eff5c602e1,ebe25bdbaf6eaff5b2509e9df0fc41c3cf4f411e45ba7d4c12352ee47feaea4b,ad23eff6f1d61810f5b1c3a3481c64d2dc638d29759a3d79ec8122d5e6517c67,f4c16aed57666827df11cdd7dc593337f8c50fbdb0cf55b80d32a0b849bf6329,1fcbf8d6b241c893b8e2bab476941e1c8eb79d47053195d9754a54d92cd34512,7cebe64887bbf40b71ba711bf729229d03f75824b987fdd62a62a70d7708883b,1c7067f35a182b78720462cd478a049ab7e4fff00d00348a64a5c2824aa07fc0
"600060001","600130001","610201001","0","0","0","600090001","0"
"600090001","600070001","610201002","0","0","0","600300101","0"
"600380001","600420001","610201003","0","0","600230001","600050001","0"
"600090103","600110003","610201004","0","0","0","600300003","0"
"600120001","600390003","610201005","0","0","0","600300003","0"
"600290103","600160003","610201006","0","0","600340003","600380102","0"
"600370004","600440004","610201007","0","0","0","600060004","0"
"600330002","600080004","610201008","0","0","0","600210104","0"
"600270004","600420004","610201009","0","0","600160004","600380103","0"
"600380009","600340010","610201010","0","0","0","600320010","0"
"600050009","600140010","610201011","0","0","0","600300010","0"
"600330008","600250010","610201012","0","0","600130110","600290210","0"
"600030011","600020011","610201013","0","0","0","600280011","0"
"600210111","600280011","610201014","0","0","0","600010011","0"
"600040010","600100011","610201015","0","0","600210111","600030011","0"
"600060013","600130013","610201016","0","0","0","600090013","0"
"600090013","600070013","610201017","0","0","0","600300113","0"
"600380012","600420013","610201018","0","0","600230013","600050012","0"
"600090114","600110014","610201019","0","0","0","600300014","0"
"600120012","600390014","610201020","0","0","0","600300014","0"
"600290114","600160014","610201021","0","0","600340014","600380113","0"
"600370016","600440016","610201022","0","0","0","600060016","0"
"600330014","600080016","610201023","0","0","0","600210116","0"
"600270016","600420016","610201024","0","0","600160016","600380115","0"
"600380016","600340017","610201025","0","0","0","600320017","0"
"600050016","600140017","610201026","0","0","0","600300017","0"
"600330015","600250017","610201027","0","0","600130117","600290217","0"
"600030019","600020019","610201028","0","0","0","600280019","0"
"600210119","600280019","610201029","0","0","0","600010019","0"
"600040018","600100019","610201030","0","0","600210119","600030019","0"
"600030020","600390020","610201031","0","0","0","600290120","0"
"600060020","600300120","610201032","0","0","0","600230018","0"
"600130120","600050020","610201033","0","0","600020020","600040020","0"
"600090022","600110022","610201034","0","0","0","600400022","0"
"600070022","600430022","610201035","0","0","0","600090122","0"
"600120022","600420022","610201036","0","0","600140022","600380122","0"
"600090023","600110023","610201037","0","0","0","600400023","0"
"600280022","600010021","610201038","0","0","0","600270023","0"
"600240023","600220023","610201039","0","0","600150023","600380123","0"
"610201101","0","610201101","0","0","0","0","0"
"610201201","0","610201102","0","0","0","0","0"
"610201202","0","610201103","0","0","0","0","0"
"610201203","0","610201104","0","0","0","0","0"
"610201301","0","610201105","0","0","0","0","0"
"610201302","0","610201106","0","0","0","0","0"
"610201303","0","610201107","0","0","0","0","0"
"610201151","0","610201151","0","0","0","0","0"
"610201251","610201452","610201152","0","0","610201453","610201451","0"
"610201252","0","610201153","0","0","0","0","0"
"610201253","0","610201154","0","0","0","0","0"
