1b52530787176794c10f317151da15f96ae0386f8ea52fd59792a24daaa48b98,f5a773a267dd7f4dd8f6eac98f77b0ca3c331db3074803d9b88c438b420a08db,2739997b16bf09b4bd02d618ed0a842cef2318dad6e439252e3b1594824b136b,05656d54a1ee6b9afab15427167095078deb0f3b83fd136d31ae4642e16ddd2f,c13732f39e75d936b4915b0d7c040745708238373b9b2afe3bc38fad6d9a1444,b5ffc4dc39a5824fba581fe559f16a8162f906dc8be6f86e5667ce1e9af9355d,03d6fae755c73bdabe657392b249b86d3a0bc5770879f73250fb996020d0f58b,3983d946a6f0f3520f5bd47f4b3ab2df8a103707e72c93d96f175d04e3934e16,19752ede12f9c5374dab07e3ddebfe1e5b73a0c8f1ace200af33eb9e147c9d72,6b152b2d17d2085d58c78f1a6ab232be6fcc0279c2693474bf5a8f503a7801e0,0e10c55c9ad3832259904a9f08c1f14c76435a032dfb4f6920c741e4cbe114cc,1d38fc51c151899fc78c5fea5b3b033b48342577aaca91ba70de952c8e94dfda,018566c928a8f197876661825a818835caecc2ba300869a101f2423f6c464f01,cd381740592f0a48922a20fdbc132beebb6096c8dc17abce9e8274bf057e99c3,7b1613dc9a2d8a6443ba82813f34cc24a213960de02a4fe1ddf7579a1cc5c58d,fba79596392817cafb0c443beca936e6fe15da87038cb439ab77249add5fe9ac,ec6d9b3097f1b8ff229539e2ccddeca34bc062c265090a8f44cfb3df31aa760c,ffa3e7fd3ec45a210da044d6daec36a8ba2d24eac6894ca1a3d9a139adf93ede,042911a7a26f9b81d9783c216ef8af1d888083ceeaec6d54b83c4b602498682f,16ce158056d80b4b45dfe3cf0df8a74e0f2ad2dc0294ddde2aefc88b4fc0b77a,3ab7f60b58d415a088a76f6d339db9334d34ea167b38a0ebed21c20eef62c0be,97bd27e33b14115a2eaedbf1ffda1b98c5cd9480f9eb6743a7757f1838d12fe0,14c7350a7635e9d83336ef1b7d14b2a544d10f3bbba4aae0073a9518b74fed77,4d71a1fbc5023434c513ce0cf11e1b5cfb60549e414bd31ee0fe8f70937c8171,5b7a82fbbba8fbf8254fab6d8bba23842e1c57d2b13d215ae243da1f2fcf8659,7ef1d5c37874605d0b83259afe1ff0c6020c774f2a6aa7d6d393e5e02e76bd19,1713c6b3d8718d17e0d2d13a0d8f24069ee8e869c4694b2ac89dad58c13461e8,c41dc6766a66e91d61451296c07ff646f7b601a82682688c56ab9fd1da9322e8,7fbc9f4bd907bb2c6d174ca18f6cebb69b023fb33db65c83dd7d9c0e923e043a,a10f474315ed5b00ba5ac5ed4f11ec4af7579d95b365bc9d3ca10e665ceb52a0,40b58e12c02c25d841cff60f3824c5ea94c8250f19e42cb3c660f9dab9ff534b,5359cec3e9ba00005232143066565efac02cead27525f3cf572bdfc0e45e1598,6e373adb9c4f791ed4165adb1ca9b125edfbe6144ca734c3fe034feac336077e,f72ad3745eb0015e23f6ec495497eb7c04dbeca1a35717d72ca660724e577b1c,48bf28a827388f6a0505e49dc7546bde93eaff8d49265a04650e0541a7f2abad,6a0116dff4d26a237af36198afdfa66a304bed4dccbbb116489f9bafd83c564a,38acdba66b34f90a070be64db2b837581e05eaf1219af59484317ac0c07aa980,056f09a04782ecff71809cee61614fd0cdb29d569eecf5384e58e892fa824918,4f645d092bcaaf47aae302bcb630011281bb7e5498264fb60d27259773270de9,485034f8b4f5961a45af152240dea852ac8b7dab3f6783e3910f3549009b76db
"1","1","1","1","0","1","0","0","1","0","0","1","329","4","0","0","670010001","1","1","1","0","1","1","200000006","24","1","30","0","10","1","10","3","1","1","1","200100","1","1","0","1"
"1","2","2","2","0","2","0","0","1","0","0","2","338","9","0","0","670010002","2","2","2","0","2","2","200000006","28","2","30","0","10","2","10","3","2","2","2","200100","2","2","0","1"
"1","3","3","3","0","3","0","0","1","0","0","3","347","5","0","0","670010003","3","3","3","0","3","3","200000006","32","3","30","0","10","3","10","4","3","3","3","200100","3","3","0","1"
"1","4","4","4","0","4","0","0","1","0","0","4","347","5","0","0","670010004","4","4","4","0","4","4","200000006","32","4","30","0","10","4","10","4","4","4","4","200100","4","4","0","1"
"1","5","5","5","0","5","0","0","1","0","0","5","349","5","0","0","670010005","5","5","5","0","5","5","200000006","35","5","30","0","10","5","10","4","5","5","5","200100","5","5","0","1"
"1","6","6","6","0","6","0","0","1","0","0","6","367","7","0","0","670010006","6","6","6","0","6","6","200000006","48","6","30","0","10","6","10","6","6","6","6","200100","6","6","0","1"
"1","7","7","7","0","7","0","0","1","0","0","7","413","8","0","0","670010007","7","7","7","0","7","7","200000006","55","7","30","0","10","7","10","7","7","7","7","200100","7","7","0","1"
"1","8","8","8","0","8","0","0","1","0","0","8","459","9","0","0","670010008","8","8","8","0","8","8","200000006","62","8","30","0","10","8","10","7","8","8","8","200100","8","8","0","1"
"1","9","9","9","0","9","0","0","1","0","0","9","505","9","0","0","670010009","9","9","9","0","9","9","200000006","68","9","30","0","10","9","10","8","9","9","9","200100","9","9","0","1"
"1","10","10","10","0","10","0","0","1","0","0","10","551","10","0","0","670010010","10","10","10","0","10","10","200000006","75","10","30","0","10","10","10","9","10","10","10","200100","10","10","0","1"
"1","11","11","11","0","11","0","0","1","0","0","11","598","11","0","0","670010011","11","11","11","0","11","11","200000006","82","11","30","0","10","11","10","9","11","11","11","200100","11","11","0","1"
"1","12","12","12","0","12","0","0","1","0","0","12","644","12","0","0","670010012","12","12","12","0","12","12","200000006","89","12","30","0","10","12","10","10","12","12","12","200100","12","12","0","1"
"1","13","13","13","0","13","0","0","1","0","0","13","690","12","0","0","670010013","13","13","13","0","13","13","200000006","95","13","30","0","10","13","10","11","13","13","13","200100","13","13","0","1"
"1","14","14","14","0","14","0","0","1","0","0","14","736","13","0","0","670010014","14","14","14","0","14","14","200000006","102","14","30","0","10","14","10","11","14","14","14","200100","14","14","0","1"
"1","15","15","15","0","15","0","0","1","0","0","15","782","14","0","0","670010015","15","15","15","0","15","15","200000006","109","15","30","0","10","15","10","12","15","15","15","200100","15","15","0","1"
"1","16","16","16","0","16","0","0","1","0","0","16","851","15","0","0","670010016","16","16","16","0","16","16","200000006","123","16","30","0","10","16","10","12","16","16","16","200100","16","16","0","1"
"1","17","17","17","0","17","0","0","1","0","0","17","919","15","0","0","670010017","17","17","17","0","17","17","200000006","136","17","30","0","10","17","10","12","17","17","17","200100","17","17","0","1"
"1","18","18","18","0","18","0","0","1","0","0","18","1296","15","0","0","670010018","18","18","18","0","18","18","200000006","164","18","30","0","10","18","10","13","18","18","18","200100","18","18","0","1"
"1","19","19","19","0","19","0","0","1","0","0","19","1482","15","0","0","670010019","19","19","19","0","19","19","200000006","177","19","30","0","10","19","10","13","19","19","19","200100","19","19","0","1"
"1","20","20","20","0","20","0","0","1","0","0","20","1563","16","0","0","670010020","20","20","20","0","20","20","200000006","186","20","30","0","10","20","10","13","20","20","20","200100","20","20","0","1"
"1","21","21","21","0","21","0","0","1","0","0","21","1784","18","0","0","670010021","21","21","21","0","21","21","200000006","206","21","30","0","10","21","10","15","21","21","21","200100","21","21","0","1"
"1","22","22","22","0","22","0","0","1","0","0","22","2005","20","0","0","670010022","22","22","22","0","22","22","200000006","225","22","30","0","10","22","10","17","22","22","22","200100","22","22","0","1"
"1","23","23","23","0","23","0","0","1","0","0","23","2225","21","0","0","670010023","23","23","23","0","23","23","200000006","245","23","30","0","10","23","10","18","23","23","23","200100","23","23","0","1"
"1","24","24","24","0","24","0","0","1","0","0","24","2446","23","0","0","670010024","24","24","24","0","24","24","200000006","264","24","30","0","10","24","10","20","24","24","24","200100","24","24","0","1"
"1","25","25","25","0","25","0","0","1","0","0","25","2701","24","0","0","670010025","25","25","25","0","25","25","200000006","267","25","30","0","10","25","10","21","25","25","25","200100","25","25","0","1"
"1","26","26","26","0","26","0","0","1","0","0","26","2956","24","0","0","670010026","26","26","26","0","26","26","200000006","269","26","30","0","10","26","10","21","26","26","26","200100","26","26","0","1"
"1","27","27","27","0","27","0","0","1","0","0","27","3211","24","0","0","670010027","27","27","27","0","27","27","200000006","289","27","30","0","10","27","10","21","27","27","27","200100","27","27","0","1"
"1","28","28","28","0","28","0","0","1","0","0","28","3466","25","0","0","670010028","28","28","28","0","28","28","200000006","309","28","30","0","10","28","10","21","28","28","28","200100","28","28","0","1"
"1","29","29","29","0","29","0","0","1","0","0","29","3721","25","0","0","670010029","29","29","29","0","29","29","200000006","330","29","30","0","10","29","10","22","29","29","29","200100","29","29","0","1"
"1","30","30","30","0","30","0","0","1","0","0","30","3976","25","0","0","670010030","30","30","30","0","30","30","200000006","350","30","30","0","10","30","10","22","30","30","30","200100","30","30","0","1"
"1","31","31","31","0","31","0","0","1","0","0","31","4232","26","0","0","670010031","31","31","31","0","31","31","200000006","370","31","30","0","10","31","10","22","31","31","31","200100","31","31","0","1"
"1","32","32","32","0","32","0","0","1","0","0","32","4487","26","0","0","670010032","32","32","32","0","32","32","200000006","390","32","30","0","10","32","10","22","32","32","32","200100","32","32","0","1"
"1","33","33","33","0","33","0","0","1","0","0","33","4742","26","0","0","670010033","33","33","33","0","33","33","200000006","410","33","30","0","10","33","10","22","33","33","33","200100","33","33","0","1"
"1","34","34","34","0","34","0","0","1","0","0","34","4997","26","0","0","670010034","34","34","34","0","34","34","200000006","431","34","30","0","10","34","10","23","34","34","34","200100","34","34","0","1"
"1","35","35","35","0","35","0","0","1","0","0","35","5252","27","0","0","670010035","35","35","35","0","35","35","200000006","451","35","30","0","10","35","10","23","35","35","35","200100","35","35","0","1"
"1","36","36","36","0","36","0","0","1","0","0","36","5507","27","0","0","670010036","36","36","36","0","36","36","200000006","471","36","30","0","10","36","10","23","36","36","36","200100","36","36","0","1"
"1","37","37","37","0","37","0","0","1","0","0","37","5667","31","0","0","670010037","37","37","37","0","37","37","200000006","516","37","30","0","10","37","10","27","37","37","37","200100","37","37","0","1"
"1","38","38","38","0","38","0","0","1","0","0","38","5826","35","0","0","670010038","38","38","38","0","38","38","200000006","562","38","30","0","10","38","10","31","38","38","38","200100","38","38","0","1"
"1","39","39","39","0","39","0","0","1","0","0","39","5986","39","0","0","670010039","39","39","39","0","39","39","200000006","607","39","30","0","10","39","10","35","39","39","39","200100","39","39","0","1"
"1","40","40","40","0","40","0","0","1","0","0","40","7437","40","0","0","670010040","40","40","40","0","40","40","200000006","712","40","30","0","10","40","10","36","40","40","40","200100","40","40","0","1"
