7f7b66acf8c5dcbee626edeacd5bd92c2a1345e845d1719be60f1a54bee46aa7,7d9d2ea8381c06bef4377813c5a969a09ac461a2ba021d0e88ccd0f45bea1e7c,1c531d177bfe5080650a9968489bbfc1299d78d2fd9cb4948bc29220a3a1f094,0b5ac3ec7c72a68f464ba0fbb089aa1aa4dbfc4f0454a92e84ab5fbd73ca4160,05ad39b530604e22e482653917b3b9c931cc22aa12a38216090d1828ff0aa09a,8a3859a69bc62deb75ed2ee7cd25f8f912c23a02af7e5f5e00ee57295f332a1a,d806eeb78b383a847667a83290ff6e031880a3d0673a9598cf47bb0042802ad9,bad94c4524ba11a635b38c0a6999175b83b8200c1809052819a3045fcf1344ab,81b9eaf6f9232f3a970bb0e165611790b77e31e2d2fa94b164a34ba770e9efd3,591af33563da06cbed8c610c90edf4d6bddfe998f0dd1c9c6084f28555b0ca9c,ab509a5f76ab1d0ace3ad8bfb693c4afb4e3b2a28dac6e290f831974a8d074ed,e8b2e6dfc79b22cafcf90f42e0ca088199b74cf49dd985cf899ac64f4265935f
"0","0","1","4","0","0","1","1010001","3","0","1","0"
"0","0","0","2","vo_minigame_1005","0","1","1010002","0","0","2","vo_minigame_1005_nikki01_000"
"202","0","0","1","0","1.418","1","1010003","0","1","3","0"
"0","0","1.858","4","0","0","1","1010004","1","0","4","0"
"316","0","0","1","0","2.536","1","1010005","0","2","5","0"
"0","0","3.484","4","0","0","1","1010006","1","0","6","0"
"0","0","0","2","vo_minigame_1005","0","1","1010007","0","0","7","vo_minigame_1005_nikki01_001"
"183","0","0","1","0","1.131","1","1010008","0","3","8","0"
"0","0","1.407","4","0","0","1","1010009","1","0","9","0"
"318","183","0","1","0","1.043","1","1010010","0","3","10","0"
"0","0","1.719","4","0","0","1","1010011","1","0","11","0"
"389","318","0","1","0","0.69","1","1010012","0","3","12","0"
"0","0","0.69","4","0","0","1","1010013","1","0","13","0"
"244","0","0","1","0","1.694","1","1010014","0","4","14","0"
"0","0","2.204","4","0","0","1","1010015","1","0","15","0"
"384","244","0","1","0","1.298","1","1010016","0","4","16","0"
"0","0","1.298","4","0","0","1","1010017","1","0","17","0"
"67","0","0","1","0","1.118","1","1010018","0","5","18","0"
"0","0","1.199","4","0","0","1","1010019","1","0","19","0"
"103","67","0","1","0","0.958","1","1010020","0","5","20","0"
"0","0","1.269","4","0","0","1","1010021","1","0","21","0"
"394","103","0","1","0","1.373","1","1010022","0","5","22","0"
"0","0","1.373","4","0","0","1","1010023","1","0","23","0"
"0","0","0","1","0","0.193","1","1010024","0","6","24","0"
"0","0","0.552","4","0","0","1","1010025","1","0","25","0"
"368","0","0","1","0","2.64","1","1010026","0","6","26","0"
"0","0","3.195","4","0","0","1","1010027","1","0","27","0"
"64","0","0","1","0","0.599","1","1010028","0","7","28","0"
"0","0","0.929","4","0","0","1","1010029","1","0","29","0"
"315","64","0","1","0","1.302","1","1010030","0","7","30","0"
"0","0","2.395","4","0","0","1","1010031","1","0","31","0"
"0","0","0","2","vo_minigame_1005","0","1","1010032","0","0","32","vo_minigame_1005_nikki01_002"
"345","0","0","1","0","2.09","1","1010033","0","8","33","0"
"0","0","2.512","4","0","0","1","1010034","1","0","34","0"
"63","0","0","1","0","0.868","1","1010035","0","9","35","0"
"0","0","0.907","4","0","0","1","1010036","1","0","36","0"
"315","63","0","1","0","1.107","1","1010037","0","9","37","0"
"0","0","1.107","4","0","0","1","1010038","1","0","38","0"
"162","0","0","1","0","1.107","1","1010039","0","10","39","0"
"0","0","1.455","4","0","0","1","1010040","1","0","40","0"
"162","162","0","1","0","1.65","1","1010041","0","10","41","0"
"0","0","2.654","4","0","0","1","1010042","1","0","42","0"
