d93d953861b0b138ec4545a1a542d396a5f1580f4619b8167692795acf01809b,856df073fd526c178de7e2307954b04770ce02e70334949dace6eb3bcbbf06a5,a6473fd51700aa198a7a77d0493c22543df976e3d8cbc991c15bdb725e7e214f,9c95df0e9a844f6a52989a5f06456d9ead341a7fb56fb63cf383ce9fc2866c52,ec1cc4bd4e7c8d06a1dca7e9924949aaa49d4e908c994982d251c30e9747ca70,0194546472b68102ca67e09edf39621505a13206d663d53c7bc83b45270cb377,4f0e1c5b53acb857e4825cc55e6e9194a588c314466ffafe2e2a389114044d35,dcbf0992555c794e0d33626a6337d93c1af93944d710026f61b677416cc89d06,3e82727a2d25136859e2e79c5a1c29eed7f6ab44b559874cc63d30c2b001f551,66d01e40ff9ab07e9f09411746b7afef3c3deb71ba6168b2c3179b3a9815be93,055b19e9c40214a66d37e0c3b75dcaaee893da7fad657d2242879cfe63c08621
"-750","113511","svd_idle_normal","0","1007001","2.08","100","5","-300","2","1007001001"
"750","113411","svd_idle_normal","1","1007001","2.08","100","5","-300","1","1007001002"
"0","333","svd_white_loop","0","1007001","1","0","5","0","3","1007001003"
"1","1","","0","1007001","0","1","6","0","333","1007001004"
"0","2","","","1007001","","0","7","","113511","1007001005"
"0.5","-750","","","1007001","","-300","2","0","113511","1007001006"
"1","1","","0","1007001","0","1","6","0","113411","1007001007"
"-40","11","","","1007001","0","-140","31","0.8","1","1007001008"
"0","2","","","1007001","","0","34","","11","1007001009"
"0","6","","","1007001","","0","7","","113411","1007001010"
"0.5","750","","","1007001","","-300","2","0","113411","1007001011"
"-40","14","","","1007001","0","-250","31","1","4","1007001012"
"-40","15","","","1007001","0","250","31","1","5","1007001013"
"","","","","1007001","","","93","","1","1007001014"
"1","1","","0","1007001","0.8","1","6","0.4","333","1007001015"
"svd_idle_see","svd_idle_see_pre","","0","1007001","0.2","0","3","1","113511","1007001016"
"1.1","640","","","1007001","","-300","2","0","113411","1007001017"
"1.1","-600","","","1007001","","-300","2","0","113511","1007001018"
"","","","","1007001","","","93","","1","1007001019"
"","1","","","1007001","","","32","","11","1007001020"
"","","","","1007001","","","91","","0","1007001021"
"0","240","","","1007001","","260","94","80","113511","1007001022"
"","0","","","1007001","","","32","","11","1007001023"
"","svd_run","","","1007001","0.2","1","3","","113511","1007001024"
"0","0","","","1007001","","1.2","7","","113511","1007001025"
"1.2","-250","","","1007001","","-300","2","0","113511","1007001026"
"","svd_run","","","1007001","0.2","1","3","","113411","1007001027"
"0","0","","","1007001","","1.2","7","","113411","1007001028"
"1.2","250","","","1007001","","-300","2","0","113411","1007001029"
"1","1","","0","1007001","0.2","1","6","1","113411","1007001030"
"","","","","1007001","","","93","","1.2","1007001031"
"","","","","1007001","","","91","","0","1007001032"
"","svd_kime_eriko","","","1007001","0.2","0","3","","113511","1007001033"
"","svd_kime_shizuru","","","1007001","0.2","0","3","","113411","1007001034"
"","","","","1007001","","","93","","1.4","1007001035"
"","1","","","1007001","","","32","","14","1007001036"
"","1","","","1007001","","","32","","15","1007001037"
"","","","","1007001","","","93","","0.6","1007001038"
"","svd_idle_joy1","","","1007001","0.2","1","3","","113411","1007001039"
"","svd_talk_wish","","","1007001","0.2","1","3","","113511","1007001040"
"0","vo_svd_0121","","","1007001","","0","21","","vo_svd","1007001041"
"0","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","1","0","1007001","0","6","11","0","113511","1007001042"
"","","","","1007001","","","91","","0","1007001043"
"","svd_idle_wish","","","1007001","0.2","1","3","","113511","1007001044"
"","svd_talk_joy1","","","1007001","0.2","1","3","","113411","1007001045"
"0","vo_svd_0122","","","1007001","","0","21","","vo_svd","1007001046"
"0","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","1","0","1007001","0","8","11","0","113411","1007001047"
"","","","","1007001","","","91","","0","1007001048"
"","svd_idle_joy1","","","1007001","0.2","1","3","","113411","1007001049"
"","svd_talk_thinking","","","1007001","0.2","1","3","","113511","1007001050"
"0","vo_svd_0123","","","1007001","","0","21","","vo_svd","1007001051"
"0","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","1","0","1007001","0","6","11","0","113511","1007001052"
"","","","","1007001","","","91","","0","1007001053"
"","svd_idle_thinking","","","1007001","0.2","1","3","","113511","1007001054"
"svd_talk_anger","svd_surprise","","0.2","1007001","0.2","0","3","1","113411","1007001055"
"0","vo_svd_0124","","","1007001","","0","21","","vo_svd","1007001056"
"0","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","1","0","1007001","0","8","11","0","113411","1007001057"
"","","","","1007001","","","93","","3","1007001058"
"svd_talk_joy1","svd_jump","","0.4","1007001","0.2","0","3","1","113411","1007001059"
"","","","","1007001","","","91","","1007001057","1007001060"
"","svd_idle_joy1","","","1007001","0.2","1","3","","113411","1007001061"
"","","","","1007001","","","102","","","1007001062"
"","0","","","1007001","","","32","","14","1007001063"
"","0","","","1007001","","","32","","15","1007001064"
"","","","","1007001","","","93","","1","1007001065"
"","7","","0","1007001","0","1","12","","113511","1007001066"
"","svd_talk_normal","","","1007001","0.2","1","3","","113511","1007001067"
"","","","","1007001","","","93","","3","1007001068"
"","svd_idle_normal","","","1007001","0.2","1","3","","113511","1007001069"
"","10","","0","1007001","0","1","12","","113411","1007001070"
"","svd_talk_normal","","","1007001","0.2","1","3","1","113411","1007001071"
"","","","","1007001","","","93","","3","1007001072"
"","svd_idle_normal","","","1007001","0.2","1","3","1","113411","1007001073"
"","7","","0","1007001","0","1","12","","113511","1007001074"
"","svd_talk_memory","","","1007001","0.2","1","3","","113511","1007001075"
"","","","","1007001","","","93","","3","1007001076"
"","svd_idle_memory","","","1007001","0.2","1","3","","113511","1007001077"
"","10","","0","1007001","0","1","12","","113411","1007001078"
"","svd_talk_memory","","","1007001","0.2","1","3","1","113411","1007001079"
"","","","","1007001","","","93","","3","1007001080"
"","svd_idle_memory","","","1007001","0.2","1","3","1","113411","1007001081"
"","","","","1007001","","","101","","1007001066","1007001082"
"1","1","","0","1007001","1","1","6","0","333","1007001083"
"","1","","","1007001","","","4","","113511","1007001084"
"","svd_run","","","1007001","0.2","1","3","","113511","1007001085"
"0.8","-750","","","1007001","","-300","2","0","113511","1007001086"
"","0","","","1007001","","","4","","113411","1007001087"
"","svd_run","","","1007001","0.2","1","3","","113411","1007001088"
"0.8","750","","","1007001","","-300","2","0","113411","1007001089"
"","","","","1007001","","","93","","0.6","1007001090"
"1","1","","0","1007001","0.2","1","6","0","113511","1007001091"
"1","1","","0","1007001","0.2","1","6","0","113411","1007001092"
"","","","","1007001","","","91","","0","1007001093"
"-650","113511","svd_idle_normal","0","1007002","2.08","100","5","-300","2","1007002001"
"650","113411","svd_idle_normal","1","1007002","2.08","100","5","-300","1","1007002002"
"0","333","svd_white_loop","0","1007002","1","0","5","0","3","1007002003"
"1","1","","0","1007002","0","1","6","0","333","1007002004"
"1","1","","0","1007002","0","1","6","0","113511","1007002005"
"1","1","","0","1007002","0","1","6","0","113411","1007002006"
"","","","","1007002","","","93","","1","1007002007"
"1","1","","0","1007002","0.8","1","6","0.4","333","1007002008"
"","svd_run","","","1007002","0.2","1","3","","113511","1007002009"
"1.2","-250","","","1007002","","-300","2","0","113511","1007002010"
"1","1","","0","1007002","0.4","1","6","1","113511","1007002011"
"","","","","1007002","","","93","","1.2","1007002012"
"","","","","1007002","","","91","","0","1007002013"
"","svd_idle_normal","","","1007002","0.1","1","3","","113511","1007002014"
"","","","","1007002","","","93","","0.6","1007002015"
"","svd_talk_memory","","","1007002","0.2","1","3","","113511","1007002016"
"0","vo_svd_0221","","","1007002","","0","21","","vo_svd","1007002017"
"0","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","1","0","1007002","0","6","11","0","113511","1007002018"
"","","","","1007002","","","91","","0","1007002019"
"","svd_idle_memory","","","1007002","0.2","1","3","","113511","1007002020"
"","svd_run","","","1007002","0.2","1","3","","113411","1007002021"
"1.2","250","","","1007002","","-300","2","0","113411","1007002022"
"1","1","","0","1007002","0.4","1","6","1","113411","1007002023"
"","","","","1007002","","","93","","1.2","1007002024"
"","svd_idle_joy1","","","1007002","0.1","1","3","","113411","1007002025"
"","","","","1007002","","","93","","0.3","1007002026"
"","svd_talk_memory","","","1007002","0.2","1","3","","113411","1007002027"
"0","vo_svd_0222","","","1007002","","0","21","","vo_svd","1007002028"
"0","弟弟賣力滑動手腳的樣子……\n真可愛呀……","1","0","1007002","0","6","11","0","113411","1007002029"
"","","","","1007002","","","91","","0","1007002030"
"","svd_idle_memory","","","1007002","0.2","1","3","","113411","1007002031"
"","svd_talk_memory","","","1007002","0.2","1","3","","113511","1007002032"
"0","vo_svd_0223","","","1007002","","0","21","","vo_svd","1007002033"
"0","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","1","0","1007002","0","6","11","0","113511","1007002034"
"","","","","1007002","","","91","","0","1007002035"
"","svd_idle_memory","","","1007002","0.2","1","3","","113511","1007002036"
"","svd_talk_worry","","","1007002","0.2","1","3","","113411","1007002037"
"0","vo_svd_0224","","","1007002","","0","21","","vo_svd","1007002038"
"0","惠理子……\n那樣好像有點太過火了……","1","0","1007002","0","6","11","0","113411","1007002039"
"","","","","1007002","","","91","","0","1007002040"
"","svd_idle_worry","","","1007002","0.2","1","3","","113411","1007002041"
"","svd_talk_thinking","","","1007002","0.2","1","3","","113511","1007002042"
"0","vo_svd_0225","","","1007002","","0","21","","vo_svd","1007002043"
"0","看來靜流是不需要呢。\n那我就一人獨吞吧……","1","0","1007002","0","6","11","0","113511","1007002044"
"","","","","1007002","","","91","","0","1007002045"
"","svd_idle_thinking","","","1007002","0.2","1","3","","113511","1007002046"
"","4","","0","1007002","0","0","12","","113411","1007002047"
"","svd_surprise","","","1007002","0.2","0","3","","113411","1007002048"
"","","","","1007002","","","93","","1","1007002049"
"","svd_talk_joy2","","","1007002","0.2","1","3","","113411","1007002050"
"0","vo_svd_0226","","","1007002","","0","21","","vo_svd","1007002051"
"0","我想要！\n想用漂亮的小瓶子裝起來！","1","0","1007002","0","8","11","0","113411","1007002052"
"","","","","1007002","","","91","","0","1007002053"
"","svd_idle_joy1","","","1007002","0.2","1","3","","113411","1007002054"
"","","","","1007002","","","102","","","1007002055"
"","","","","1007002","","","93","","1","1007002056"
"","8","","0","1007002","0","1","12","","113511","1007002057"
"","svd_talk_memory","","","1007002","0.2","1","3","","113511","1007002058"
"","","","","1007002","","","93","","3","1007002059"
"","svd_idle_memory","","","1007002","0.2","1","3","","113511","1007002060"
"","1","","0","1007002","0","1","12","","113411","1007002061"
"","svd_talk_worry","","","1007002","0.2","1","3","1","113411","1007002062"
"","","","","1007002","","","93","","3","1007002063"
"","svd_idle_worry","","","1007002","0.2","1","3","1","113411","1007002064"
"","11","","0","1007002","0","1","12","","113511","1007002065"
"svd_idle_guts2","svd_talk_guts2","","0.2","1007002","0.2","0","3","1","113511","1007002066"
"","","","","1007002","","","93","","3","1007002067"
"","svd_idle_guts2","","","1007002","0.2","1","3","","113511","1007002068"
"","7","","0","1007002","0","1","12","","113411","1007002069"
"","svd_talk_joy1","","","1007002","0.2","1","3","1","113411","1007002070"
"","","","","1007002","","","93","","3","1007002071"
"","svd_idle_joy1","","","1007002","0.2","1","3","1","113411","1007002072"
"","","","","1007002","","","101","","1007002057","1007002073"
"1","1","","0","1007002","1","1","6","0","333","1007002074"
"","1","","","1007002","","","4","","113511","1007002075"
"","svd_run","","","1007002","0.2","1","3","","113511","1007002076"
"0.8","-750","","","1007002","","-300","2","0","113511","1007002077"
"","0","","","1007002","","","4","","113411","1007002078"
"","svd_run","","","1007002","0.2","1","3","","113411","1007002079"
"0.8","750","","","1007002","","-300","2","0","113411","1007002080"
"","","","","1007002","","","93","","0.6","1007002081"
"1","1","","0","1007002","0.2","1","6","0","113511","1007002082"
"1","1","","0","1007002","0.2","1","6","0","113411","1007002083"
"","","","","1007002","","","91","","0","1007002084"
"-750","113511","svd_idle_normal","0","1007003","2.08","100","5","-300","1","1007003001"
"650","113411","svd_idle_normal","1","1007003","2.08","100","5","-300","2","1007003002"
"0","333","svd_white_loop","0","1007003","1","0","5","0","3","1007003003"
"1","1","","0","1007003","0","1","6","0","333","1007003004"
"0","2","","","1007003","","0","7","","113511","1007003005"
"0.5","-750","","","1007003","","-300","2","0","113511","1007003006"
"1","1","","0","1007003","0","1","6","0","113411","1007003007"
"-40","16","","","1007003","0","-140","31","0.8","6","1007003008"
"0","2","","","1007003","","0","34","","16","1007003009"
"","","","","1007003","","","93","","1","1007003010"
"1","1","","0","1007003","0.8","1","6","0.4","333","1007003011"
"svd_idle_see_sad","svd_idle_see_sad_pre","","0","1007003","0.2","0","3","1","113511","1007003012"
"1.1","-600","","","1007003","","-300","2","0","113511","1007003013"
"","","","","1007003","","","93","","1","1007003014"
"","1","","","1007003","","","32","","16","1007003015"
"","","","","1007003","","","91","","0","1007003016"
"0","240","","","1007003","","260","94","80","113511","1007003017"
"","0","","","1007003","","","32","","16","1007003018"
"","17","","0","1007003","0","1","12","","113511","1007003019"
"","svd_walk_sad","","","1007003","0.2","1","3","","113511","1007003020"
"0","0","","","1007003","","2","7","","113511","1007003021"
"2.4","-250","","","1007003","","-300","2","0","113511","1007003022"
"","","","","1007003","","","93","","2.4","1007003023"
"","svd_idle_sad","","","1007003","0.2","1","3","","113511","1007003024"
"","","","","1007003","","","93","","0.5","1007003025"
"","","","","1007003","","","91","","0","1007003026"
"","svd_talk_sad","","","1007003","0.2","1","3","","113511","1007003027"
"0","vo_svd_0321","","","1007003","","0","21","","vo_svd","1007003028"
"0","本來想送弟弟一隻\n巨大的獨角仙\n當作禮物的……","1","0","1007003","0","7","11","0","113511","1007003029"
"","","","","1007003","","","91","","0","1007003030"
"","svd_idle_sad","","","1007003","0.2","1","3","","113511","1007003031"
"","svd_walk","","","1007003","0.2","1","3","","113411","1007003032"
