2b727827c31cdb72df02549af3644f3120e90b3049573baa25bd6f778375779f,c698d88372c085e9d4a488a43db1e54897a513ac0223e648b03e80c4428ba4e8,5d945511fc22ce8e874e671454208287318a3841f8f9e7b99f9c68ac5f291e03,2f8667bee0a9e06d17b7278e60072f618fcb72e8f8cdfe8ae13e5b1e4062f6f0,0f9621f80b92fb06f39b3623a4f9517f7516dde283b8a4099c280b11e71b3e24,0f530446522c7e2c86005279b1300f1589d97a6e9d2c69cd1ff9507b3484eae7,db470523c269fca429f6557d08ced583f5285240fc68ba91c5ea7a465849d4d0,e1e13ca905905fe7a3ff04f27f18876d5a3a84a7049452f40adcaea584e476ec,c65ce5351b5ec00b34ddc3ef6dfb99883ffd57b5733c5cf7d95f257f83efef84,17fe384e613d866856cc5c6b37c31280fdae6529a747c89718ca6c97799b0912,ec4b94f6e8ee5bb09e35afc3e44acb394ef39f0d3107fe9f96740f3210161ca7
"0","2","10011105","1","pt","0","1","10011","0","0","1001"
"0","2","10015103","1","m","0","2","10015","0","1","1002"
"0","2","10021108","1","pt","0","3","10021","5021700","0","1003"
"0","3","5027007","1","pt","0","4","10027","5027700","0","1004"
"0","2","10040105","1","pt","0","5","10040","5040700","0","1005"
"5046006","1","5046006","1","pt","1","6","10046","0","0","1006"
"5072006","3","5072006","1","pt","3","7","10072","0","0","1007"
"5080000","3","5080007","0","pt","3","8","10080","5080700","0","1008"
"0","0","0","0","pt","0","9","0","9004201","0","1009"
"5096007","1","5096007","1","pt","3","10","10096","5096700","0","1010"
"5126000","2","10126107","1","pt","3","11","10126","0","0","1012"
"5142000","3","5142007","1","pt","1","12","10142","5142700","0","1013"
"5156000","3","5156007","1","pt","1","13","10156","5156700","0","1014"
