962d6b40cc4107dd30a83759e6c12b02e2ebce69816816fdb15e5af6064e425c,c2a31b91f4dfb1d856a9a1a6c71939d372c74333e423d19c690763531f8488dc,a879655c3db072f127a67d76950bf3b4226c23acb1a2850f3f9bad8986b9d717,1aa509037f95c57262482ac43618bee8c3a2bfb13d0dc8eaf1dec6b859447381
"1","1","0","11"
"1","1","0","12"
"1","1","11002002","13"
"1","1","11003005","14"
"1","1","11002012","15"
"1","2","0","16"
"201","0","0","201"
"2000","0","0","203"
"2000","0","0","204"
"2000","0","0","205"
"206","0","0","206"
"207","0","0","207"
"301","0","0","301"
