7b0809eb76b68469579772a087f86851cdd0b74661d79c1529b47a17217588ef,c96f51f9e57e35baa74b2e1f38531e5db0764a9c3f78c1d5081de586fb6c9bd3,6d8b1e3f3be3f50510b5e4e4d177503c6dd871b8fd79f74e88d1f9bdcb10e103,a4c37af2b0d4088db89df7d961676f794d564f8cecc944d79433cc7a3dd6cc83,5525517fc801cf7d3e1ba3eb12988df2bc50f78f9b59c96a6dae14dd97f6e631,1c4be5822742f8d3feebc23ccf0eb38555c6570c4836c00507db7a55ca91d6cc,2aee0568dda28cf5a34c6138758acd987552595f94edecce2bf4857c41f70e4e,0defd7b52fbbf318eef185f9107752f2ad57a72165d518559167324610495ad3
"53001","未鑑定的平凡寶物","未鑑定的\n平凡寶物","1","200","100","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。"
"53002","未鑑定的貴重寶物","未鑑定的\n貴重寶物","2","400","200","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。"
"53003","未鑑定的頂級寶物","未鑑定的\n頂級寶物","3","800","400","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。"
"53004","平凡寶石","平凡寶石","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53005","貴重寶石","貴重寶石","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53006","頂級寶石","頂級寶石","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53007","平凡金屬塊","平凡金屬塊","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53008","貴重金屬塊","貴重金屬塊","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53009","頂級金屬塊","頂級金屬塊","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53010","平凡卷軸","平凡卷軸","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53011","貴重卷軸","貴重卷軸","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53012","頂級卷軸","頂級卷軸","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53013","平凡皇冠","平凡皇冠","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53014","貴重皇冠","貴重皇冠","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53015","頂級皇冠","頂級皇冠","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53016","平凡符文","平凡符文","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53017","貴重符文","貴重符文","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53018","頂級符文","頂級符文","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53019","平凡王冠","平凡王冠","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53020","貴重王冠","貴重王冠","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53021","頂級王冠","頂級王冠","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"53022","平凡古遺物","平凡古遺物","1","200","100","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"53023","貴重古遺物","貴重古遺物","2","400","200","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"53024","頂級古遺物","頂級古遺物","3","800","400","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
