53c6997b46cd5f5ce1c968aeb5ebd793a8114024c0c57d4bd8f1503a75707f74,39118badcddbe95ca620b6daf8bfb7f12ae475b51bc320480d9590d69525f6be,d7cfe666b8c9e0668fad69ad94b1c863169ae30728bd95d31cb40aafa27da496,c5925af2c873b690f291aaa0aa158cbaf35bd035e453cbbdbde8df0a34c681ee,4869a42452f7f657a07ecabb1abc1a18b9eb0033f0788897a278923aa82bbb7e,66f4aab3a407802af275b3d614de129dcc680d8a8f71d558f1082a9f95b2b815,260f5c388080f3783947e55f6723b7bfc06ecb510cc25c8fd0506566b3a3416f,abc8963da08304602fddd98023bbdffe0126cf82ae0b1a0b0ad46e38a0cca445,2d2b3d263a5e9e33c48096a8587a10fb2d7fd0c0e306749a3dafc81ca715e9f2,bb1f8b698fc1a8cacde2bc04a4cbf834ecaf78786107f23f3cb19b67842f487f,38a146bb2a3baef126beaaf64816016ca5b609178a4e6194fb054feeab038f44,d985df7894729aa3b81ace343bab9aee198ad130204a509c2f8be750733df9bd
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000101","10","0","1","31000101","3","進行1場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000102","10","0","5","31000102","3","進行5場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000103","10","0","10","31000103","3","進行10場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000104","10","0","15","31000104","3","進行15場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000105","10","0","20","31000105","3","進行20場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000106","10","0","25","31000106","3","進行25場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000107","10","0","30","31000107","3","進行30場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000108","10","0","35","31000108","3","進行35場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1000","31000109","10","0","40","31000109","3","進行40場戰鬥","7003"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001101","10","3001","5000000","31001101","3","對黑之王賈巴沃克造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001102","10","3001","7500000","31001102","3","對黑之王賈巴沃克造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001103","10","3001","10000000","31001103","3","對黑之王賈巴沃克造成1000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001111","11","3001","1","31001111","3","在1場戰鬥中對黑之王賈巴沃克造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001112","11","3001","1","31001112","3","在1場戰鬥中對黑之王賈巴沃克造成500萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001201","20","3002","5000000","31001201","3","對失控的純潔之弓造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001202","20","3002","7500000","31001202","3","對失控的純潔之弓造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001203","20","3002","10000000","31001203","3","對失控的純潔之弓造成1000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001211","21","3002","1","31001211","3","在1場戰鬥中對失控的純潔之弓造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001212","21","3002","1","31001212","3","在1場戰鬥中對失控的純潔之弓造成500萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001301","30","3003","5000000","31001301","3","對幻影男爵造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001302","30","3003","7500000","31001302","3","對幻影男爵造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001303","30","3003","10000000","31001303","3","對幻影男爵造成1000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001311","31","3003","1","31001311","3","在1場戰鬥中對幻影男爵造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001312","31","3003","1","31001312","3","在1場戰鬥中對幻影男爵造成500萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001401","40","3004","5000000","31001401","3","對天塔帕斯造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001402","40","3004","7500000","31001402","3","對天塔帕斯造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001403","40","3004","10000000","31001403","3","對天塔帕斯造成1000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001411","41","3004","1","31001411","3","在1場戰鬥中對天塔帕斯造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1001","31001412","41","3004","1","31001412","3","在1場戰鬥中對天塔帕斯造成500萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002101","10","3005","5000000","31002101","3","對豪紳造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002102","10","3005","7500000","31002102","3","對豪紳造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002103","10","3005","10000000","31002103","3","對豪紳造成1000萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002104","10","3005","110000000","31002104","3","對豪紳造成1億1000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002111","11","3005","1","31002111","3","在1場戰鬥中對豪紳造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002112","11","3005","1","31002112","3","在1場戰鬥中對豪紳造成500萬傷害","7005"
"22000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1002","31002113","11","3005","1","31002113","3","在1場戰鬥中對豪紳造成2200萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003101","10","3006","5000000","31003101","3","對阿爾瑪＆奧拉姆造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003102","10","3006","7500000","31003102","3","對阿爾瑪＆奧拉姆造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003103","10","3006","10000000","31003103","3","對阿爾瑪＆奧拉姆造成1000萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003104","10","3006","100000000","31003104","3","對阿爾瑪＆奧拉姆造成1億累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003111","11","3006","1","31003111","3","在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003112","11","3006","1","31003112","3","在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害","7005"
"20000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003113","11","3006","1","31003113","3","在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害","7005"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003201","20","3007","5000000","31003201","3","對好朋友X＆無名的藝術造成500萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003202","20","3007","7500000","31003202","3","對好朋友X＆無名的藝術造成750萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003203","20","3007","10000000","31003203","3","對好朋友X＆無名的藝術造成1000萬累積傷害","7004"
"0","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003204","20","3007","120000000","31003204","3","對好朋友X＆無名的藝術造成1億2000萬累積傷害","7004"
"2500000","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003211","21","3007","1","31003211","3","在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害","7005"
"5000000","2023/04/24 15:59:59","2023/04/17 16:00:00","1003","31003212","21","3007","1","31003212","3","在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害","7005"
