e45169fae97576e9ce81df5f9acb200a2f416211a1b9fd3763e904b8589ead7e,3e7f66c0b221f6c95ec7ef307b07d71e736206335cdeaaff379b008be2b7bf33,05f4b855f177a0b2499bc852b16723cc46b1d13aad737a1d0d1c00f36b07cecf,9f17805395417fd24e5a647ee4c0065c7464b19a6a92f1cd1d6146b5ec498510,48af36fb1db240d4e55b663eef485054e16502cbf8b263b5f8c87784e0fa5473,105628809775c98c0d7b1e8fbcf7954405e9a75f7c7bda7a042052673a8a0d46,86d2efcc7063ddc4d62d395a2cfe1adc63db640962b3af67e0c49775191b15f9,59f17215e4854ca320609784ffce9b6a6c5c8042d881a59c4995f1f12d8869cc,ccb8ee37b5e9f5dbad3279b5691fa065f3c4e8e99912515eb65bea72575576a5,185672cf45678b4bbc2ab81dee0674a15be9205b0a6ee1d6f0e49ae5bc32c224,60c5d293ea91c4216a28f0047290be4485b7fe20f10f0a0a5c2a0b322e7412c8
"1002011001","1","0","0","100","1","100211","1.7","1002011","0","mhp_sit_idle"
"1002011002","3","","","1","100211","mhp_sit_talk_memory","0.2","1002011","",""
"1002011003","21","0","","0","vo_mhp","vo_mhp_0401","","1002011","",""
"1002011004","11","0","0","5","100211","好久沒見到\n深月小姐了，\n我有點期待♪","0","1002011","0","0"
"1002011005","91","","","","0","","","1002011","",""
"1002011006","3","","","1","100211","mhp_sit_idle_memory","0.2","1002011","",""
"1002012001","1","0","0","100","1","100211","1.7","1002012","0","mhp_sit_idle"
"1002012002","3","","","1","100211","mhp_sit_talk_sad","0.2","1002012","",""
"1002012003","21","0","","0","vo_mhp","vo_mhp_0402","","1002012","",""
"1002012004","11","0","0","5","100211","唉……如果是什麼\n不好的病，\n我該怎麼辦……","0","1002012","0","0"
"1002012005","91","","","","0","","","1002012","",""
"1002012006","3","","","1","100211","mhp_sit_idle_sad","0.2","1002012","",""
"1002013001","1","0","0","100","1","100211","1.7","1002013","0","mhp_sit_idle"
"1002013002","3","","","1","100211","mhp_yui_sit_talk_wish","0.2","1002013","",""
"1002013003","21","0","","0","vo_mhp","vo_mhp_0403","","1002013","",""
"1002013004","11","0","0","4","100211","診察結果終於……\n我、我緊張到\n心跳加快了……！","0","1002013","0","0"
"1002013005","91","","","","0","","","1002013","",""
"1002013006","3","","","1","100211","mhp_sit_idle_sad","0.2","1002013","",""
"1007401001","1","-1000","-240","100","1","100211","1.7","1007401","0","mhp_idle_normal"
"1007401002","1","185","-220","100","1","117531","1.7","1007401","1","mhp_sit_idle"
"1007401003","1","365","-200","100","1","117631","1.7","1007401","1","mhp_sit_idle"
"1007401004","31","-154","0.85","-240","1","1","1","1007401","",""
"1007401005","31","-18","0.85","-230","23","123","0","1007401","",""
"1007401006","5","-200","-220","110","1","11","1.7","1007401","0","NoItem"
"1007401007","5","-200","-220","105","1","12","1.7","1007401","0","NoItem"
"1007401008","5","185","-220","110","1","21","1.7","1007401","1","NoItem"
"1007401009","5","185","-220","105","1","22","1.7","1007401","1","NoItem"
"1007401010","6","1","0","1","11","1","0","1007401","0",""
"1007401011","6","1","0","1","12","1","0","1007401","0",""
"1007401012","6","1","0","1","21","1","0","1007401","0",""
"1007401013","6","1","0","1","22","1","0","1007401","0",""
"1007401014","5","-1000","-220","110","1","31","1.7","1007401","0","NoItem"
"1007401015","91","","","","0","","","1007401","",""
"1007401016","3","","","1","117531","mhp_sit_talk_normal","0.2","1007401","",""
"1007401017","21","0","","0","vo_mhp_1007401","vo_mhp_4001","","1007401","",""
"1007401018","11","0","0","7","117531","下一位請進～","0","1007401","0","0.5"
"1007401019","91","","","","0","","","1007401","",""
"1007401020","3","","","1","117531","mhp_sit_idle","0.2","1007401","",""
"1007401021","3","","","1","100211","mhp_anna_walk_sad","0.2","1007401","",""
"1007401022","2","4","0","-220","100211","-200","","1007401","",""
"1007401023","3","","","1","31","NoItem","0.2","1007401","",""
"1007401024","2","4","0","-220","31","-200","","1007401","",""
"1007401025","91","","","","0","","","1007401","",""
"1007401026","3","mhp_sit_idle_sad","1","0","100211","mhp_sit_in_sad","0.2","1007401","0.2",""
"1007401027","93","","","","1","","","1007401","",""
"1007401028","3","","","1","100211","mhp_sit_talk_sad","0.2","1007401","",""
"1007401029","21","0","","0","vo_mhp_1007401","vo_mhp_4002","","1007401","",""
"1007401030","11","1","0","7","100211","那、那個……久疏問候，好久不見。","0","1007401","0","0.5"
"1007401031","91","","","","0","","","1007401","",""
"1007401032","3","","","1","100211","mhp_sit_idle_sad","0.2","1007401","",""
"1007401033","3","","","1","117531","mhp_sit_talk_normal","0.2","1007401","",""
"1007401034","21","0","","0","vo_mhp_1007401","vo_mhp_4003","","1007401","",""
"1007401035","11","1","0","6","117531","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","0","1007401","0","0.5"
"1007401036","91","","","","0","","","1007401","",""
"1007401037","3","","","1","117531","mhp_sit_idle","0.2","1007401","",""
"1007401038","3","","","1","100211","mhp_sit_talk_memory","0.2","1007401","",""
