c9cb2b2daa812e6ebf8c0479e9749b9834c90683c568845b5325d10156eb236a,33264c20d0c248d518bc2bb8d4ba2532ed524049b51e2fd0dcbe379a21f78a6c,c0040a36050e25c553047097670c85b9d1828cac1ae485468fafec7354aea31f,5896989d57673161531bcac7fec6ebe083f249bbfac82df461a7a9579554f705,23ff6bcecc99754bd9f832c0539c943ec5eeaba2c77e02ef0293122bf0146958,9edea87fae0abbc645ab98fa486450a10145e8c9bf608c733deac94ae8fcb9ac,84b47460cd66ffd88b8a1fd59b57cafd20df4002b7cb60b69988356fdb1cb5fa,54be3c20424bc19b39ab67a2a44bedcca711d00e04bc0ab34c6e0efdd735d332,2eb4a28d07fdf22535482e984e9971af68288ec018bbe7682af6b284b775f69f,b1e121a7467fd6f490b3dd263975f89adb3d984959e819f4ea3e9b951fc6774f
"0","2019/08/01 15:59:59","0","0","0","0","10001","2018/01/01 15:00:00","0","0"
"1001","2020/02/14 15:59:59","1001","0","1","0","10002","2019/08/01 16:00:00","1001","1"
"0","2020/08/03 15:59:59","1001","0","1","0","10003","2020/02/14 16:00:00","0","1"
"1002","2020/08/31 23:59:59","1001","0","1","1002","10004","2020/08/03 16:00:00","1002","1"
"1002","2020/08/31 23:59:59","1002","2015009","2","1002","10005","2020/08/03 16:00:00","1002","2"
"0","2021/02/09 04:59:59","1001","0","1","0","10006","2020/09/01","0","1"
"0","2021/02/09 04:59:59","1002","2015009","2","0","10007","2020/09/01","0","2"
"0","2021/02/26 04:59:59","1001","0","1","1003","10008","2021/02/09 05:00:00","0","1"
"0","2021/02/26 04:59:59","1002","2015009","2","1003","10009","2021/02/09 05:00:00","0","2"
"0","2021/08/01 04:59:59","1001","0","1","0","10010","2021/02/26 04:59:59","0","1"
"0","2021/08/01 04:59:59","1002","2015009","2","0","10011","2021/02/26 04:59:59","0","2"
"1003","2021/08/31 23:59:59","1001","0","1","1004","10012","2021/08/01 05:00:00","1003","1"
"1003","2021/08/31 23:59:59","1002","2015009","2","1004","10013","2021/08/01 05:00:00","1003","2"
"0","2023/08/01 04:59:59","1001","0","1","0","10014","2021/09/01","0","1"
"0","2023/08/01 04:59:59","1002","2015009","2","0","10015","2021/09/01","0","2"
"1005","2023/08/31 23:59:59","1001","0","1","1008","10028","2023/08/01 05:00:00","1005","1"
"1005","2023/08/31 23:59:59","1002","2015009","2","1008","10029","2023/08/01 05:00:00","1005","2"
"0","2030/08/15 14:59:59","1001","0","1","0","10030","2023/09/01","0","1"
"0","2030/08/15 14:59:59","1002","2015009","2","0","10031","2023/09/01","0","2"
