ca0f89da484ac868f902673107f756f188cc2fd6bffa558d3315afe86c5e9200,48565c9a701c3791efc080ae9f1645dee3f60075557e657385ca8fdf9408e117,866910e3afd7ce7f31ac29f90af414b5ecdb3078edddec96ec607c0a555841b7,cab9919050789b351d4947b79271e8eef6c21c2c321147990d7776409eb8cc7a,ae2c5f29ee73392bf92bca320ebc1f453c517383b13987f35ef8abf1c8252b11,dce15bb88b86a2ba4daee953a39cf9c8505595c89d117ebd887f41b546b4c258,0cf5cb863bb0f12d23a2f18a794637235ac83bedd87bd19328723fbcc7581640,8a858eab0bd00f195ffc800a4691007481292de086847dfd9cf4444c2c6df01b
"710000102","710000105","710000101","710000001","710100011","710000104","100","0"
"710000202","710000203","710000201","710000002","710100021","710000204","100","0"
"710000304","710000305","710000301","710000003","710100031","710000302","100","0"
"710000404","710000405","710000401","710000004","710100041","710000402","100","0"
"710000505","710000501","710000502","710000005","710100051","710000504","100","0"
"710000605","710000602","710000601","710000006","710100061","710000603","100","710000604"
"710000701","710000702","710000704","710000007","710100071","710000703","100","710000705"
"710000802","710000801","710000805","710000008","710100081","710000803","100","710000804"
"710000903","710000904","710000902","710000009","710100091","710000901","100","710000905"
"0","0","0","710000010","710100101","710001001","100","0"
"710001103","710001105","710001101","710000011","710100111","710001102","100","710001104"
"710001201","710001202","710001205","710000012","710100121","710001203","100","710001204"
"710001303","710001302","710001301","710000013","710100131","710001304","100","710001305"
"710001404","710001402","710001401","710000014","710100141","710001403","100","710001405"
"710001505","710001502","710001501","710000015","710100151","710001503","100","710001504"
"710001601","710001603","710001602","710000016","710100161","710001605","100","710001604"
"710001701","710001702","710001703","710000017","710100171","710001705","100","710001704"
"710001804","710001802","710001801","710000018","710100181","710001803","100","710001805"
"710001901","710001903","710001902","710000019","710100191","710001904","100","710001905"
"710002001","0","710002002","710000020","710100201","710002002","100","0"
"710002102","710002101","710002104","710000021","710100211","710002103","100","710002105"
"710002201","710002202","710002204","710000022","710100221","710002203","100","710002205"
"710002304","710002301","710002302","710000023","710100231","710002303","100","710002305"
"710002401","710002402","710002404","710000024","710100241","710002403","100","710002405"
"710002503","710002504","710002502","710000025","710100251","710002501","100","710002505"
"710002601","710002605","710002602","710000026","710100261","710002603","100","710002604"
"710002705","710002701","710002702","710000027","710100271","710002703","100","710002704"
"710002802","710002805","710002801","710000028","710100281","710002803","100","710002804"
"710002904","710002902","710002901","710000029","710100291","710002903","100","710002905"
"710003003","710003001","710003002","710000030","710100301","710003002","100","0"
"710003101","710003104","710003102","710000031","710100311","710003103","100","710003105"
"710003201","710003202","710003204","710000032","710100321","710003203","100","710003205"
"710003302","710003301","710003304","710000033","710100331","710003303","100","710003305"
"710003402","710003401","710003404","710000034","710100341","710003403","100","710003405"
"710003502","710003504","710003501","710000035","710100351","710003503","100","710003505"
"710003602","710003604","710003601","710000036","710100361","710003603","100","710003605"
"710003701","710003702","710003704","710000037","710100371","710003703","100","710003705"
"710003804","710003802","710003801","710000038","710100381","710003803","100","710003805"
"710003901","710003905","710003902","710000039","710100391","710003903","100","710003904"
"710004003","710004001","710004002","710000040","710100401","710004002","100","0"
"710004104","710004101","710004102","710000041","710100411","710004103","100","710004105"
"710004202","710004201","710004203","710000042","710100421","710004204","100","710004205"
"710004302","710004301","710004304","710000043","710100431","710004303","100","710004305"
"710004403","710004404","710004402","710000044","710100441","710004401","100","710004405"
"710004502","710004504","710004501","710000045","710100451","710004503","100","710004505"
"710004602","710004601","710004604","710000046","710100461","710004603","100","710004605"
"710004702","710004704","710004701","710000047","710100471","710004703","100","710004705"
"710004802","710004803","710004801","710000048","710100481","710004805","100","710004804"
"710004901","710004902","710004904","710000049","710100491","710004903","100","710004905"
"710005003","710005001","710005002","710000050","710100501","710005002","100","710005004"
"710005103","710005101","710005102","710000051","710100511","710005104","100","710005105"
"710005204","710005201","710005202","710000052","710100521","710005203","100","710005205"
"710005303","710005305","710005301","710000053","710100531","710005302","100","710005304"
"710005401","710005403","710005402","710000054","710100541","710005405","100","710005404"
"710005502","710005501","710005504","710000055","710100551","710005503","100","710005505"
"710005603","710005605","710005601","710000056","710100561","710005602","100","710005604"
"710005702","710005704","710005701","710000057","710100571","710005703","100","710005705"
"710005804","710005802","710005801","710000058","710100581","710005803","100","710005805"
"710005903","710005901","710005902","710000059","710100591","710005904","100","710005905"
"710006003","710006001","710006002","710000060","710100601","710006002","100","710006004"
"710006104","710006102","710006101","710000061","710100611","710006103","100","710006105"
"710006201","710006202","710006203","710000062","710100621","710006205","100","710006204"
"710006302","710006305","710006301","710000063","710100631","710006304","100","710006303"
"710006401","710006402","710006404","710000064","710100641","710006403","100","710006405"
"710006501","710006505","710006502","710000065","710100651","710006503","100","710006504"
"710006603","710006602","710006604","710000066","710100661","710006601","100","710006605"
"710006705","710006701","710006703","710000067","710100671","710006704","100","710006702"
"710006802","710006801","710006803","710000068","710100681","710006805","100","710006804"
"710006901","710006902","710006903","710000069","710100691","710006904","100","710006905"
"710007004","710007001","710007002","710000070","710100701","710007002","100","710007003"
"710007103","710007104","710007102","710000071","710200711","710007101","100","710007105"
"710007203","710007204","710007202","710000072","710200721","710007201","100","710007205"
"710007303","710007304","710007302","710000073","710200731","710007301","100","710007305"
"710007403","710007404","710007402","710000074","710200741","710007401","100","710007405"
"710007502","710007504","710007503","710000075","710200751","710007501","100","710007505"
"710007603","710007604","710007602","710000076","710200761","710007601","100","710007605"
"710007703","710007704","710007701","710000077","710200771","710007702","100","710007705"
"710007803","710007804","710007802","710000078","710200781","710007801","100","710007805"
"710007902","710007904","710007903","710000079","710200791","710007901","100","710007905"
"710008002","710008003","710008001","710000080","710200801","710008001","100","710008004"
"710008103","710008104","710008102","710000081","710200811","710008101","100","710008105"
"710008203","710008204","710008202","710000082","710200821","710008201","100","710008205"
"710008303","710008304","710008302","710000083","710200831","710008301","100","710008305"
"710008403","710008404","710008402","710000084","710200841","710008401","100","710008405"
"710008503","710008504","710008502","710000085","710200851","710008501","100","710008505"
"710008603","710008604","710008602","710000086","710200861","710008601","100","710008605"
"710008702","710008704","710008703","710000087","710200871","710008701","100","710008705"
"710008803","710008804","710008802","710000088","710200881","710008801","100","710008805"
"710008903","710008904","710008902","710000089","710200891","710008901","100","710008905"
"710009002","710009003","710009001","710000090","710200901","710009001","100","710009004"
"710009103","710009104","710009102","710000091","710200911","710009101","100","710009105"
"710009203","710009204","710009202","710000092","710200921","710009201","100","710009205"
"710009304","710009303","710009302","710000093","710200931","710009301","100","710009305"
"710009403","710009404","710009402","710000094","710200941","710009401","100","710009405"
"710009502","710009503","710009504","710000095","710200951","710009501","100","710009505"
"710009603","710009604","710009602","710000096","710200961","710009601","100","710009605"
"710009703","710009704","710009702","710000097","710200971","710009701","100","710009705"
"710009801","710009804","710009802","710000098","710200981","710009803","100","710009805"
"710009903","710009904","710009902","710000099","710200991","710009901","100","710009905"
"710010002","710010004","710010001","710000100","710201001","710010001","100","710010003"
"710010103","710010104","710010102","710000101","710201011","710010101","100","710010105"
"710010202","710010204","710010203","710000102","710201021","710010201","100","710010205"
"710010303","710010304","710010302","710000103","710201031","710010301","100","710010305"
"710010403","710010404","710010402","710000104","710201041","710010401","100","710010405"
"710010503","710010504","710010502","710000105","710201051","710010501","100","710010505"
"710010603","710010604","710010602","710000106","710201061","710010601","100","710010605"
"710010703","710010702","710010701","710000107","710201071","710010704","100","710010705"
"710010803","710010804","710010802","710000108","710201081","710010801","100","710010805"
"710010903","710010904","710010902","710000109","710201091","710010901","100","710010905"
"710011002","710011003","710011001","710000110","710201101","710011001","100","710011004"
"710011104","710011102","710011103","710000111","710301111","710011101","100","710011105"
"710011202","710011204","710011201","710000112","710301121","710011203","100","710011205"
"710011304","710011302","710011301","710000113","710301131","710011303","100","710011305"
"710011403","710011404","710011401","710000114","710301141","710011402","100","710011405"
"710011504","710011502","710011503","710000115","710301151","710011501","100","710011505"
"710011602","710011604","710011603","710000116","710301161","710011601","100","710011605"
"710011702","710011704","710011703","710000117","710301171","710011701","100","710011705"
"710011803","710011804","710011802","710000118","710301181","710011801","100","710011805"
"710011904","710011902","710011903","710000119","710301191","710011901","100","710011905"
"710012002","710012003","710012001","710000120","710301201","710012001","100","710012004"
"710012105","710012102","710012104","710000121","710301211","710012101","100","710012103"
"710012202","710012204","710012201","710000122","710301221","710012203","100","710012205"
"710012303","710012304","710012302","710000123","710301231","710012301","100","710012305"
"710012405","710012404","710012402","710000124","710301241","710012401","100","710012403"
"710012503","710012505","710012502","710000125","710301251","710012501","100","710012504"
"710012603","710012602","710012604","710000126","710301261","710012601","100","710012605"
"710012703","710012704","710012702","710000127","710301271","710012701","100","710012705"
"710012804","710012802","710012803","710000128","710301281","710012801","100","710012805"
"710012901","710012902","710012904","710000129","710301291","710012903","100","710012905"
"710013002","710013003","710013001","710000130","710301301","710013001","100","710013004"
"710013103","710013104","710013102","710000131","710401311","710013101","100","710013105"
"710013203","710013204","710013202","710000132","710401321","710013201","100","710013205"
"710013303","710013304","710013302","710000133","710401331","710013301","100","710013305"
"710013403","710013404","710013402","710000134","710401341","710013401","100","710013405"
"710013503","710013504","710013502","710000135","710401351","710013501","100","710013505"
"710013603","710013604","710013602","710000136","710401361","710013601","100","710013605"
"710013703","710013704","710013702","710000137","710401371","710013701","100","710013705"
"710013804","710013805","710013802","710000138","710401381","710013801","100","710013803"
"710013903","710013904","710013902","710000139","710401391","710013901","100","710013905"
"710014002","710014003","710014001","710000140","710401401","710014001","100","710014004"
"710014103","710014104","710014102","710000141","710401411","710014101","100","710014105"
"710014202","710014203","710014201","710000142","710401421","710014204","100","710014205"
"710014302","710014303","710014304","710000143","710401431","710014301","100","710014305"
"710014403","710014404","710014402","710000144","710401441","710014401","100","710014405"
"710014502","710014504","710014503","710000145","710401451","710014501","100","710014505"
"710014603","710014604","710014602","710000146","710401461","710014601","100","710014605"
"710014703","710014704","710014702","710000147","710401471","710014701","100","710014705"
"710014803","710014804","710014802","710000148","710401481","710014801","100","710014805"
"710014903","710014904","710014902","710000149","710401491","710014901","100","710014905"
"710015002","710015003","710015001","710000150","710401501","710015001","100","710015004"
"710015101","710015104","710015103","710000151","710501511","710015102","100","710015105"
"710015201","710015203","710015204","710000152","710501521","710015202","100","710015205"
"710015303","710015304","710015302","710000153","710501531","710015301","100","710015305"
"710015403","710015404","710015402","710000154","710501541","710015401","100","710015405"
"710015505","710015502","710015503","710000155","710501551","710015501","100","710015504"
"710015604","710015603","710015602","710000156","710501561","710015601","100","710015605"
"710015702","710015704","710015701","710000157","710501571","710015703","100","710015705"
"710015802","710015805","710015804","710000158","710501581","710015801","100","710015803"
"710015903","710015904","710015902","710000159","710501591","710015901","100","710015905"
"710016002","710016003","710016001","710000160","710501601","710016001","100","710016004"
"710016104","710016103","710016102","710000161","710501611","710016101","100","710016105"
"710016203","710016204","710016202","710000162","710501621","710016201","100","710016205"
"710016303","710016304","710016302","710000163","710501631","710016301","100","710016305"
"710016403","710016404","710016402","710000164","710501641","710016401","100","710016405"
"710016503","710016504","710016501","710000165","710501651","710016502","100","710016505"
"710016602","710016605","710016603","710000166","710501661","710016601","100","710016604"
"710016703","710016704","710016701","710000167","710501671","710016702","100","710016705"
"710016803","710016804","710016802","710000168","710501681","710016801","100","710016805"
"710016902","710016904","710016903","710000169","710501691","710016901","100","710016905"
"710017002","710017003","710017001","710000170","710501701","710017001","100","710017004"
"710017102","710017104","710017101","710000171","710601711","710017103","100","710017105"
"710017204","710017202","710017201","710000172","710601721","710017203","100","710017205"
"710017304","710017302","710017303","710000173","710601731","710017301","100","710017305"
"710017402","710017404","710017403","710000174","710601741","710017401","100","710017405"
"710017502","710017504","710017501","710000175","710601751","710017503","100","710017505"
"710017604","710017602","710017601","710000176","710601761","710017603","100","710017605"
"710017704","710017702","710017701","710000177","710601771","710017703","100","710017705"
"710017802","710017804","710017801","710000178","710601781","710017803","100","710017805"
"710017901","710017902","710017904","710000179","710601791","710017903","100","710017905"
"710018005","710018003","710018004","710000180","710601801","710018001","100","710018002"
"710018101","710018102","710018103","710000181","710601811","710018103","100","710018104"
"710018201","710018202","710018204","710000182","710601821","710018203","100","710018205"
"710018301","710018302","710018303","710000183","710601831","710018303","100","710018304"
"710018402","710018404","710018401","710000184","710601841","710018403","100","710018405"
"710018502","710018504","710018501","710000185","710601851","710018503","100","710018505"
"710018604","710018602","710018601","710000186","710601861","710018603","100","710018605"
"710018704","710018702","710018701","710000187","710601871","710018703","100","710018705"
