70cebae75e0457da9623fa64c929ed423c8ee79a00c8688786421d7d5b5629f1,46e9797ef559381e1da9e4201bdbf42f49bcc8c2a63b6408c8e9eac1cc76c8ba,fa9e93a7efa6f83e8662e242bb12d6f9e6369608958634cc47db5971cf376a7b,e3938ce03b5e92ff543e1d8485eb24576ff36271dc2e7bd062ca46809b437e55,f7226fc4c00434822e008fe69c033ec243566b1bb9de2e41281733b2449e0d83,f1e863593597cdd951cdd1040a5e59f7145c3ae42003b61ef9e86660a6520720,134ef1bfabb7ac363f644705f9b0356c984e89252debca9d4692109937d25ada,3137a29510d4c37de7a6a6f9f77b4462357850f41c6125d4dede428d642bcfb9
"2","1","1","1","1","20000","96001","21952"
"2","1","1","2","1","10000","96001","21904"
"2","1","1","3","1","10000","96001","41000"
"2","5","5","4","1","2000","96001","31803"
"2","5","5","5","1","1500","96001","31215"
"2","5","5","6","1","1500","96001","31210"
"2","5","5","7","1","1500","96001","31211"
"2","10","5","8","1","1250","96001","90005"
"4","20","10","9","1","500","96001","140001"
"2","10","5","10","1","500","96001","25001"
"4","5","5","11","1","100","96001","150003"
"4","5","5","12","1","130","96001","150004"
"4","5","5","13","1","150","96001","150005"
"4","5","5","14","1","180","96001","150006"
"4","5","5","15","1","200","96001","150007"
"4","5","5","16","1","230","96001","150008"
"2","5","100","17","1","500","96001","20004"
"2","5","100","18","1","200","96001","22003"
"2","0","100","19","1","1000","96001","20004"
"2","0","100","20","1","400","96001","22003"
"2","1","1","21","2","20000","96002","21952"
"2","1","1","22","2","10000","96002","21904"
"2","1","1","23","2","10000","96002","41000"
"2","5","5","24","2","1500","96002","31233"
"2","5","5","25","2","1500","96002","31229"
"2","5","5","26","2","1500","96002","31225"
"2","10","5","27","2","1250","96002","90005"
"4","20","10","28","2","500","96002","140001"
"2","10","5","29","2","500","96002","25001"
"4","5","5","30","2","100","96002","150003"
"4","5","5","31","2","130","96002","150004"
"4","5","5","32","2","150","96002","150005"
"4","5","5","33","2","180","96002","150006"
"4","5","5","34","2","200","96002","150007"
"4","5","5","35","2","230","96002","150008"
"2","5","100","36","2","500","96002","20004"
"2","5","100","37","2","200","96002","22003"
"2","0","100","38","2","1000","96002","20004"
"2","0","100","39","2","400","96002","22003"
"2","1","1","40","3","20000","96003","21952"
"2","1","1","41","3","10000","96003","21905"
"2","1","1","42","3","10000","96003","41000"
"2","5","5","43","3","2000","96003","31805"
"2","5","5","44","3","1500","96003","31240"
"2","5","5","45","3","1500","96003","31238"
"2","5","5","46","3","1500","96003","31236"
"2","5","10","47","3","2500","96003","90005"
"4","5","50","48","3","2500","96003","140001"
"2","5","5","49","3","500","96003","25001"
"4","5","30","50","3","500","96003","150003"
"4","5","30","51","3","650","96003","150004"
"4","5","30","52","3","750","96003","150005"
"4","5","30","53","3","900","96003","150006"
"4","5","30","54","3","1000","96003","150007"
"4","5","30","55","3","1150","96003","150008"
"2","5","500","56","3","2500","96003","20004"
"2","5","500","57","3","1000","96003","22003"
"2","0","100","58","3","1000","96003","20004"
"2","0","100","59","3","400","96003","22003"
"2","1","1","60","4","20000","96004","21952"
"2","1","1","61","4","10000","96004","21905"
"2","2","1","62","4","10000","96004","41000"
"2","5","5","63","4","2000","96004","31807"
"2","5","5","64","4","1500","96004","31245"
"2","5","5","65","4","1500","96004","31248"
"2","5","5","66","4","1500","96004","31250"
"2","5","5","67","4","1500","96004","31091"
"2","5","10","68","4","2500","96004","90005"
"4","10","50","69","4","2500","96004","140001"
"2","10","10","70","4","1000","96004","25001"
"4","5","30","71","4","500","96004","150003"
"4","5","30","72","4","650","96004","150004"
"4","5","30","73","4","750","96004","150005"
"4","5","30","74","4","900","96004","150006"
"4","5","30","75","4","1000","96004","150007"
"4","5","30","76","4","1150","96004","150008"
"4","5","30","77","4","1300","96004","150009"
"2","5","500","78","4","2500","96004","20004"
"2","5","500","79","4","1000","96004","22003"
"2","0","100","80","4","1000","96004","20004"
"2","0","100","81","4","400","96004","22003"
"2","1","1","82","5","20000","96005","25101"
"2","1","1","83","5","20000","96005","21952"
"2","1","1","84","5","10000","96005","21905"
"2","2","1","85","5","10000","96005","41000"
"2","5","5","86","5","1500","96005","31200"
"2","5","5","87","5","1500","96005","31253"
"2","5","5","88","5","1500","96005","31255"
"2","5","5","89","5","1500","96005","31256"
"2","5","10","90","5","2500","96005","90005"
"4","10","50","91","5","2500","96005","140001"
"2","10","10","92","5","1000","96005","25001"
"4","5","30","93","5","500","96005","150003"
"4","5","30","94","5","650","96005","150004"
"4","5","30","95","5","750","96005","150005"
"4","5","30","96","5","900","96005","150006"
"4","5","30","97","5","1000","96005","150007"
"4","5","30","98","5","1150","96005","150008"
"4","5","30","99","5","1300","96005","150009"
"2","5","500","100","5","2500","96005","20004"
"2","5","500","101","5","1000","96005","22003"
"2","0","100","102","5","1000","96005","20004"
"2","0","100","103","5","400","96005","22003"
"2","1","1","104","6","20000","96006","25101"
"2","1","1","105","6","20000","96006","21952"
"2","1","1","106","6","10000","96006","21905"
"2","2","1","107","6","10000","96006","41000"
"2","5","5","108","6","1500","96006","31262"
"2","5","5","109","6","1500","96006","31266"
"2","5","5","110","6","1500","96006","31269"
"2","5","5","111","6","1500","96006","31271"
"2","5","10","112","6","2500","96006","90005"
"4","10","50","113","6","2500","96006","140001"
"2","10","10","114","6","1000","96006","25001"
"4","5","30","115","6","500","96006","150003"
"4","5","30","116","6","650","96006","150004"
"4","5","30","117","6","750","96006","150005"
"4","5","30","118","6","900","96006","150006"
"4","5","30","119","6","1000","96006","150007"
"4","5","30","120","6","1150","96006","150008"
"4","5","30","121","6","1300","96006","150009"
"2","5","500","122","6","2500","96006","20004"
"2","5","500","123","6","1000","96006","22003"
"2","0","100","124","6","1000","96006","20004"
"2","0","100","125","6","400","96006","22003"
"2","1","1","126","7","20000","96007","25101"
"2","1","1","127","7","20000","96007","21952"
"2","1","1","128","7","10000","96007","21905"
"2","2","1","129","7","10000","96007","41000"
"2","5","5","130","7","1500","96007","31272"
