af1122f486f2564f66b788305cab4da59f58e28e67d41f295163f7364649ce6c,4e15b5c3ceaec36d87aee15bc9a448855f2759b00e4961889865ab2b2cc24d7e,f5bb753e581414d598ec8ae871be7efcd34da3432e52bacbb253dd6e5db61801,337d9e859dc0d58ecab934d6f9eae6112f3d2aca030ab65bebc2f57367a9fdbb,db47b96e9aed249def58b7bdfb88ff119b6b9521f4a84bd54a91fce4dfa7db7d
"1045","1048","1037","1025","1"
"1006","1004","1062","1003","2"
"1006","1007","1029","1003","3"
"1062","1045","1025","1047","4"
"1022","1013","1003","1043","5"
"1019","1004","1048","1006","6"
"1003","1033","1037","1062","7"
"1059","1053","1050","1056","8"
"1034","1011","1030","1001","9"
"1026","1023","1046","1063","10"
"1044","1038","1014","1020","11"
"1040","1049","1008","1017","12"
"1020","1044","1017","1023","13"
"1020","1038","1001","1017","14"
"1008","1048","1036","1030","15"
"1011","1038","1004","1044","16"
"1022","1011","1005","1043","17"
"1047","1016","1042","1046","18"
"1063","1028","1041","1014","19"
"1058","1055","1061","1052","20"
"1024","1001","1031","1025","21"
"1005","1063","1064","1024","22"
"1044","1000","1066","1040","23"
"1010","1038","1076","1000","24"
"1043","1019","1077","1003","25"
"1068","1069","1071","1070","26"
"1090","1091","1089","1092","27"
"1099","1100","1097","1098","28"
"1103","1104","1101","1102","29"
"1107","1108","1105","1106","30"
"1021","1006","1083","1012","31"
"1084","1085","1086","1087","32"
"1096","1095","1093","1094","33"
