cf9626c5a863ead699025551eeccf807afe853816fd9b23aeb6001c151db335e,d4c2dfe5f9c343a79b078939003f7f2b2a25fdb97087189d3ba5eb48d91a90b9,2799f3ab27e9297c7a70e881cf23b9ab7fc4fc0f919ba433b8396e8308f46c27,46cef0102acf84fa7c42dac50f15e6b78d058518d3b21c504ed7e0835b56862c,02dc65da3d96324736a3aa03511e962727ac8df09d8b238de13a1243b1a34f93,7db40c4ae09f8a92600b47eaff5ea78c4043041802cb922c5f96fa76e7015cd4
"1","10009106","1","10009101","0","1"
"1","10009112","1","10009101","0","2"
"1","10010110","1","10010101","0","3"
"1","1001901","2","10019101","0","4"
"1","10021112","1","10021101","0","5"
"1","10025109","1","10025101","0","6"
"2","5025001","3","10025","500810","7"
"1","20009106","1","20009101","0","8"
"1","20009112","1","20009101","0","9"
"1","20010110","1","20010101","0","10"
"2","5042001","3","10042","501001","12"
"1","2001501","2","20015101","0","13"
"2","5044001","3","10044","501031","14"
"1","20016112","1","20016101","0","15"
"2","5046002","3","10046","501103","16"
"1","10049109","1","10049101","0","17"
"1","10066112","1","10066101","0","19"
"2","5066005","3","10066","501291","20"
"2","5042001","3","10069","501001","21"
"2","5044001","3","10071","501031","22"
"2","5068001","3","10068","501341","23"
"2","5070004","3","10070","501353","24"
"2","5070005","3","10070","500016","25"
"2","5072004","3","10072","501364","26"
"2","5072006","3","10072","501365","27"
"2","5046002","3","10073","501103","28"
"2","5074001","3","10074","501383","29"
"1","10076112","1","10076101","0","30"
"2","5076005","3","10076","505036","31"
"2","5078004","3","10078","501451","32"
"2","5080005","3","10080","501463","33"
"1","10082105","1","10082101","0","34"
"1","10082108","1","10082102","0","35"
"1","10082111","1","10082103","0","36"
"2","5082002","3","10082","501160","37"
"2","5082004","3","10082","501031","38"
"2","5082005","3","10082","501483","39"
"2","5084001","3","10084","500368","40"
"2","5084002","3","10084","510306","41"
"2","5084003","3","10084","500039","42"
"2","5085002","3","10085","500368","43"
"2","5085003","3","10085","510203","44"
"2","5085004","3","10085","500272","45"
"2","5085005","3","10085","501501","46"
"2","5088005","3","10088","501810","47"
"2","5042001","3","20025","501001","50"
"2","5090002","3","10090","501541","51"
"2","5044001","3","20026","501031","55"
"1","10093112","1","10093101","0","56"
"2","5066005","3","10093","501291","57"
"2","5046002","3","20027","501103","58"
"2","5092001","3","10092","501031","59"
"2","5092004","3","10092","501551","60"
"2","5094001","3","10094","501593","61"
"2","5068001","3","10095","501341","62"
"2","5025001","3","20018","500810","67"
"2","5096002","3","10096","501613","68"
"2","5070004","3","10097","501353","73"
"2","5070005","3","10097","500016","74"
"2","5098000","3","10098","501031","75"
"1","10098104","1","10098101","0","76"
"1","10098111","1","10098102","0","77"
"2","5072004","3","10099","501364","78"
"2","5072006","3","10099","501365","79"
"2","5100003","3","10100","500837","80"
"2","5074001","3","10101","501383","82"
"2","5074001","3","10101","501383","83"
"2","5102002","3","10102","501873","84"
"1","10103112","1","10103101","0","85"
"2","5076005","3","10103","505036","86"
"2","5108002","3","10108","501911","88"
"2","5104003","3","10104","500133","89"
"2","5078004","3","10105","501451","90"
"2","5110005","3","10110","501931","93"
"2","5111005","3","10111","500013","94"
"2","5080005","3","10107","501463","95"
"1","10109105","1","10109101","0","96"
"1","10109108","1","10109102","0","97"
"1","10109111","1","10109103","0","98"
"2","5082002","3","10109","501160","99"
"2","5082004","3","10109","501031","100"
"2","5082005","3","10109","501483","101"
"2","5084001","3","10112","500368","103"
"2","5084002","3","10112","510306","104"
