538fee3ed27880c06a02a4dc402f0117d208cbe47aac597e5ebe61dc38e51d79,42f2d5eae71870fb30f41df3b298c49c4248ce6fbd0e0dd9d3273daaf6ff4c9c,b472c8c14966af4e49df2caa9119d0382ebccb9b76cb3588d85d2b4c12ff23c2,538e2d342a77bc8bbd10b032008fdc8a4460ef4f4a484226cac9a51d354e194f,d1148fb205d200bb5d0b6c79445629b719c7ce1b7c0d120f0d96f5343fa76fe0,2478f43e6209c6953619113a4c91a023b24f1b84a83ebfacda56a9fc4bc6161c,7e961c4edc358b80b3d50d9589bf7d7281ec357d9b8ead026b40a2fdf24f41ef,888fbe2688c54c8201d108c162dbb236b8e26ed5ca54c4445ce100efb34377e4,38abc003eb29f2ba03ee120d852baf9b51847b5c0aec0001790ec091bb4448ee,99ffa9b260743b16c8ff0e99966c1721825d46fc1fa1b99a3f358f6ed40399f7,c67e54860f66c17efbfeaeb02bf173633b232cde57fb1880cba9a9ccccfd25cc,d94f2f59e5da4edb453d3d33599f22b4c3d1dc075b01f5e58729a6b674f237b1
"0","32","1","0","28","297","0.05","24","0","0","0","0.025"
"0","31","2","0","27","288","0.05","23","0","0","0","0.025"
"0","30","3","0","26","279","0.05","22","0","0","0","0.025"
"0","29","4","0","25","270","0.05","21","0","0","0","0.025"
"0","28","5","0","24","261","0.05","20","0","0","0","0.025"
"0","27","6","0","23","252","0.05","19","0","0","0","0.025"
"0","26","7","0","22","243","0.05","18","0","0","0","0.025"
"0","25","8","0","21","234","0.05","17","0","0","0","0.025"
"0","24","9","0","20","225","0.05","16","0","0","0","0.025"
"0","23","10","0","19","216","0.05","15","0","0","0","0.025"
"0","22","11","0","18","207","0.05","14","0","0","0","0.025"
"0","21","12","0","17","198","0.05","13","0","0","0","0.025"
"0","20","13","0","16","189","0.05","12","0","0","0","0.025"
"0","19","14","0","15","180","0.05","11","0","0","0","0.025"
"0","18","15","0","14","171","0.05","10","0","0","0","0.025"
"0","17","16","0","13","161","0.05","9","0","0","0","0.025"
"0","16","17","0","12","152","0.05","8","0","0","0","0.025"
"0","15","18","0","11","143","0.05","7","0","0","0","0.025"
"0","14","19","0","10","134","0.05","6","0","0","0","0.025"
"0","13","20","0","9","125","0.05","5","0","0","0","0.025"
"0","12","21","0","8","116","0.05","4","0","0","0","0.025"
"0","11","22","0","7","107","0.05","3","0","0","0","0.025"
"0","10","23","0","6","101","0.05","2","0","0","0","0.025"
"0","0","24","0","0","1","0","0","0","0","0","0"
