7d0347c34d265cedf0142654197065620832c13892c461e485d55fd7486f01c0,93c6d5e6c83d4fccbc170527e0e1f5bb7e27ce810eb81eecd2f5396a27845e63,9d543e557ba6839459c819a19d725dd0a9ded2924e3120e72f115a1c3f74cf13,ffeb570dd76ba0b4438ee85699052bd53d0a65817171f5ef89db23d1f7311828,9483a081603feafd60380250c66dba158ff3f731360de2065b88f4232efe4c5f
"30","72001001","91002","8","20001001"
"1","72001001","22002","2","20001002"
"30","72001002","91002","8","20001003"
"1","72001002","22002","2","20001004"
"30","72001003","91002","8","20001005"
"1","72001003","22002","2","20001006"
"30","72001004","91002","8","20001007"
"1","72001004","22002","2","20001008"
"30","72001005","91002","8","20001009"
"1","72001005","22002","2","20001010"
"30","72001006","91002","8","20001011"
"1","72001006","22002","2","20001012"
"30","72001007","91002","8","20001013"
"1","72001007","22002","2","20001014"
"30","72001008","91002","8","20001015"
"1","72001008","22002","2","20001016"
"30","72001009","91002","8","20001017"
"1","72001009","22002","2","20001018"
"30","72001010","91002","8","20001019"
"1","72001010","22002","2","20001020"
"30","72001011","91002","8","20001021"
"1","72001011","22002","2","20001022"
"30","72001012","91002","8","20001023"
"1","72001012","22002","2","20001024"
"30","72001013","91002","8","20001025"
"1","72001013","22002","2","20001026"
"30","72001014","91002","8","20001027"
"1","72001014","22002","2","20001028"
"200","72001015","91002","8","20001029"
"1","72001015","22002","2","20001030"
"60","72001016","91002","8","20001031"
"2","72001016","22002","2","20001032"
"60","72001017","91002","8","20001033"
"2","72001017","22002","2","20001034"
"60","72001018","91002","8","20001035"
"2","72001018","22002","2","20001036"
"60","72001019","91002","8","20001037"
"2","72001019","22002","2","20001038"
"300","72001020","91002","8","20001039"
"2","72001020","22002","2","20001040"
"5","72001021","31012","2","20001041"
"5","72001021","31038","2","20001042"
"5","72001022","31012","2","20001043"
"5","72001022","31038","2","20001044"
"10","72001023","31012","2","20001045"
"10","72001023","31038","2","20001046"
"30","72002001","91002","8","20002001"
"1","72002001","22002","2","20002002"
"30","72002002","91002","8","20002003"
"1","72002002","22002","2","20002004"
"30","72002003","91002","8","20002005"
"1","72002003","22002","2","20002006"
"30","72002004","91002","8","20002007"
"1","72002004","22002","2","20002008"
"30","72002005","91002","8","20002009"
"1","72002005","22002","2","20002010"
"30","72002006","91002","8","20002011"
"1","72002006","22002","2","20002012"
"30","72002007","91002","8","20002013"
"1","72002007","22002","2","20002014"
"30","72002008","91002","8","20002015"
"1","72002008","22002","2","20002016"
"30","72002009","91002","8","20002017"
"1","72002009","22002","2","20002018"
"30","72002010","91002","8","20002019"
"1","72002010","22002","2","20002020"
"30","72002011","91002","8","20002021"
"1","72002011","22002","2","20002022"
"30","72002012","91002","8","20002023"
"1","72002012","22002","2","20002024"
"30","72002013","91002","8","20002025"
"1","72002013","22002","2","20002026"
"30","72002014","91002","8","20002027"
"1","72002014","22002","2","20002028"
"200","72002015","91002","8","20002029"
"1","72002015","22002","2","20002030"
"60","72002016","91002","8","20002031"
"2","72002016","22002","2","20002032"
"60","72002017","91002","8","20002033"
"2","72002017","22002","2","20002034"
"60","72002018","91002","8","20002035"
"2","72002018","22002","2","20002036"
"60","72002019","91002","8","20002037"
"2","72002019","22002","2","20002038"
"300","72002020","91002","8","20002039"
"2","72002020","22002","2","20002040"
"5","72002021","31020","2","20002041"
"5","72002021","31004","2","20002042"
"5","72002022","31020","2","20002043"
"5","72002022","31004","2","20002044"
"10","72002023","31020","2","20002045"
"10","72002023","31004","2","20002046"
"30","72003001","91002","8","20003001"
"1","72003001","22002","2","20003002"
"30","72003002","91002","8","20003003"
"1","72003002","22002","2","20003004"
"30","72003003","91002","8","20003005"
"1","72003003","22002","2","20003006"
"30","72003004","91002","8","20003007"
"1","72003004","22002","2","20003008"
"30","72003005","91002","8","20003009"
"1","72003005","22002","2","20003010"
"30","72003006","91002","8","20003011"
"1","72003006","22002","2","20003012"
"30","72003007","91002","8","20003013"
"1","72003007","22002","2","20003014"
"30","72003008","91002","8","20003015"
"1","72003008","22002","2","20003016"
"30","72003009","91002","8","20003017"
"1","72003009","22002","2","20003018"
"30","72003010","91002","8","20003019"
"1","72003010","22002","2","20003020"
"30","72003011","91002","8","20003021"
"1","72003011","22002","2","20003022"
"30","72003012","91002","8","20003023"
"1","72003012","22002","2","20003024"
"30","72003013","91002","8","20003025"
"1","72003013","22002","2","20003026"
"30","72003014","91002","8","20003027"
"1","72003014","22002","2","20003028"
"200","72003015","91002","8","20003029"
"1","72003015","22002","2","20003030"
"60","72003016","91002","8","20003031"
"2","72003016","22002","2","20003032"
"60","72003017","91002","8","20003033"
"2","72003017","22002","2","20003034"
"60","72003018","91002","8","20003035"
"2","72003018","22002","2","20003036"
"60","72003019","91002","8","20003037"
"2","72003019","22002","2","20003038"
"300","72003020","91002","8","20003039"
"2","72003020","22002","2","20003040"
"5","72003021","31010","2","20003041"
"5","72003021","31017","2","20003042"
"5","72003022","31010","2","20003043"
"5","72003022","31017","2","20003044"
"10","72003023","31010","2","20003045"
"10","72003023","31017","2","20003046"
"30","72004001","91002","8","20004001"
"1","72004001","22002","2","20004002"
"30","72004002","91002","8","20004003"
"1","72004002","22002","2","20004004"
"30","72004003","91002","8","20004005"
"1","72004003","22002","2","20004006"
"30","72004004","91002","8","20004007"
"1","72004004","22002","2","20004008"
"30","72004005","91002","8","20004009"
"1","72004005","22002","2","20004010"
"30","72004006","91002","8","20004011"
"1","72004006","22002","2","20004012"
"30","72004007","91002","8","20004013"
"1","72004007","22002","2","20004014"
"30","72004008","91002","8","20004015"
"1","72004008","22002","2","20004016"
"30","72004009","91002","8","20004017"
"1","72004009","22002","2","20004018"
"30","72004010","91002","8","20004019"
"1","72004010","22002","2","20004020"
"30","72004011","91002","8","20004021"
"1","72004011","22002","2","20004022"
"30","72004012","91002","8","20004023"
"1","72004012","22002","2","20004024"
"30","72004013","91002","8","20004025"
"1","72004013","22002","2","20004026"
"30","72004014","91002","8","20004027"
"1","72004014","22002","2","20004028"
"200","72004015","91002","8","20004029"
"1","72004015","22002","2","20004030"
"60","72004016","91002","8","20004031"
"2","72004016","22002","2","20004032"
"60","72004017","91002","8","20004033"
"2","72004017","22002","2","20004034"
"60","72004018","91002","8","20004035"
"2","72004018","22002","2","20004036"
"60","72004019","91002","8","20004037"
"2","72004019","22002","2","20004038"
"300","72004020","91002","8","20004039"
"2","72004020","22002","2","20004040"
"1","72004021","107601","1","20004041"
"10","72004022","31076","2","20004042"
"10","72004022","31028","2","20004043"
"10","72004023","31076","2","20004044"
"10","72004023","31028","2","20004045"
"30","72005001","91002","8","20005001"
"1","72005001","22002","2","20005002"
"30","72005002","91002","8","20005003"
"1","72005002","22002","2","20005004"
"30","72005003","91002","8","20005005"
"1","72005003","22002","2","20005006"
"30","72005004","91002","8","20005007"
"1","72005004","22002","2","20005008"
"30","72005005","91002","8","20005009"
"1","72005005","22002","2","20005010"
"30","72005006","91002","8","20005011"
"1","72005006","22002","2","20005012"
"30","72005007","91002","8","20005013"
"1","72005007","22002","2","20005014"
"30","72005008","91002","8","20005015"
"1","72005008","22002","2","20005016"
"30","72005009","91002","8","20005017"
"1","72005009","22002","2","20005018"
"30","72005010","91002","8","20005019"
"1","72005010","22002","2","20005020"
"30","72005011","91002","8","20005021"
"1","72005011","22002","2","20005022"
"30","72005012","91002","8","20005023"
"1","72005012","22002","2","20005024"
"30","72005013","91002","8","20005025"
"1","72005013","22002","2","20005026"
"30","72005014","91002","8","20005027"
"1","72005014","22002","2","20005028"
"200","72005015","91002","8","20005029"
"1","72005015","22002","2","20005030"
"60","72005016","91002","8","20005031"
"2","72005016","22002","2","20005032"
"60","72005017","91002","8","20005033"
"2","72005017","22002","2","20005034"
"60","72005018","91002","8","20005035"
"2","72005018","22002","2","20005036"
"60","72005019","91002","8","20005037"
"2","72005019","22002","2","20005038"
"300","72005020","91002","8","20005039"
"2","72005020","22002","2","20005040"
"1","72005021","108001","1","20005041"
"10","72005022","31080","2","20005042"
"10","72005022","31032","2","20005043"
"10","72005023","31080","2","20005044"
"10","72005023","31032","2","20005045"
"30","72006001","91002","8","20006001"
"1","72006001","22002","2","20006002"
"30","72006002","91002","8","20006003"
"1","72006002","22002","2","20006004"
"30","72006003","91002","8","20006005"
"1","72006003","22002","2","20006006"
"30","72006004","91002","8","20006007"
"1","72006004","22002","2","20006008"
"30","72006005","91002","8","20006009"
"1","72006005","22002","2","20006010"
"30","72006006","91002","8","20006011"
"1","72006006","22002","2","20006012"
"30","72006007","91002","8","20006013"
"1","72006007","22002","2","20006014"
"30","72006008","91002","8","20006015"
"1","72006008","22002","2","20006016"
"30","72006009","91002","8","20006017"
"1","72006009","22002","2","20006018"
"30","72006010","91002","8","20006019"
"1","72006010","22002","2","20006020"
"30","72006011","91002","8","20006021"
"1","72006011","22002","2","20006022"
"30","72006012","91002","8","20006023"
"1","72006012","22002","2","20006024"
"30","72006013","91002","8","20006025"
"1","72006013","22002","2","20006026"
"30","72006014","91002","8","20006027"
"1","72006014","22002","2","20006028"
"200","72006015","91002","8","20006029"
"1","72006015","22002","2","20006030"
"60","72006016","91002","8","20006031"
"2","72006016","22002","2","20006032"
"60","72006017","91002","8","20006033"
"2","72006017","22002","2","20006034"
"60","72006018","91002","8","20006035"
"2","72006018","22002","2","20006036"
"60","72006019","91002","8","20006037"
"2","72006019","22002","2","20006038"
"300","72006020","91002","8","20006039"
"2","72006020","22002","2","20006040"
"5","72006021","31047","2","20006041"
"5","72006021","31034","2","20006042"
"5","72006022","31047","2","20006043"
"5","72006022","31034","2","20006044"
"10","72006023","31047","2","20006045"
"10","72006023","31034","2","20006046"
"30","72007001","91002","8","20007001"
"1","72007001","22002","2","20007002"
"30","72007002","91002","8","20007003"
