25632ee2f4ad77cb5a9137ba8abf0a37cab064ed85ba3eaca64ab7a7164dc2e6,7099bfc4339807c356277ca04b2511b955a1cf40b94a85bcc8f3b1fb728dd49b,1ba179bfc13d4c63e8434481b17a5ab2dbd29428314dc5413bd15de883cc3046,c7a5676371412fae5063dfba2df0e92742809738fe0800699a42237a97ef7674,bf14afedf2475f94052f0cb9ec3e253e8db35c64997cf67fc96f248d0ff89e89
"81001001","火屬性獎勵特大幅度提升","12","100100101","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001001","深域怪物","11","100100102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001001","賦予TP上升上限","17","100100103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001001","提升物理防禦力（不可降低）","boss_def_lower_limit","100100104","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001001","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100105","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001001","降低HP吸收","9","100100106","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001002","火屬性獎勵特大幅度提升","12","100100201","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001002","深域怪物","11","100100202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001002","賦予TP上升上限","17","100100203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001002","提升物理防禦力（不可降低）","boss_def_lower_limit","100100204","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001002","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001002","降低HP吸收","9","100100206","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001003","火屬性獎勵特大幅度提升","12","100100301","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001003","深域怪物","11","100100302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001003","賦予TP上升上限","17","100100303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001003","提升物理防禦力（不可降低）","boss_def_lower_limit","100100304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001003","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001003","降低HP吸收","9","100100306","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001004","火屬性獎勵特大幅度提升","12","100100401","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001004","深域怪物","11","100100402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001004","賦予TP上升上限","17","100100403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001004","提升物理防禦力（不可降低）","boss_def_lower_limit","100100404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001004","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001004","降低HP吸收","9","100100406","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001005","火屬性獎勵特大幅度提升","12","100100501","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001005","深域怪物","11","100100502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001005","賦予TP上升上限","17","100100503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001005","提升物理防禦力（不可降低）","boss_def_lower_limit","100100504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001005","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001005","降低HP吸收","9","100100506","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001006","火屬性獎勵特大幅度提升","12","100100601","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001006","深域怪物","11","100100602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001006","賦予TP上升上限","17","100100603","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001006","提升物理防禦力（不可降低）","boss_def_lower_limit","100100604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001006","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100605","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001006","降低HP吸收","9","100100606","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001007","火屬性獎勵特大幅度提升","12","100100701","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001007","深域怪物","11","100100702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001007","賦予TP上升上限","17","100100703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001007","提升物理防禦力（不可降低）","boss_def_lower_limit","100100704","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001007","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100705","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001007","降低HP吸收","9","100100706","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001008","火屬性獎勵特大幅度提升","12","100100801","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001008","深域怪物","11","100100802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001008","賦予TP上升上限","17","100100803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001008","提升物理防禦力（不可降低）","boss_def_lower_limit","100100804","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001008","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100805","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001008","降低HP吸收","9","100100806","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001009","火屬性獎勵特大幅度提升","12","100100901","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001009","深域怪物","11","100100902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001009","賦予TP上升上限","17","100100903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
