ca08c4b0b24263252a7ab594d52f4e1cefce219c7d25e28bf91746fb815018a6,bd2ab119170d3c30b8e64337b117426ecd5f27f608f23814e5978c3b4b1b296b,53dc921a71aab7a1f4c40995b3bad64bee239df6c1e05c1e68332d54a80c2875,7e8118c44889a6b0039487d327d91c6636189713fff944d96c836e39c3b0a627,3a5a18cb8264924e085c3b6f550fc44d5e97cbd5d9c67861ac7e0656cf7a1375,ca74eefb8381b23df64d4ebe4521e12e27e06f8efc3e32d1a37043194db82718
"1001","1","11001001","15","99001001","1"
"0","2","91002","8","99001001","10"
"1001","3","11001002","15","99001002","1"
"0","4","91002","8","99001002","10"
"1002","5","11001003","15","99001003","1"
"0","6","91002","8","99001003","20"
"1003","7","11001004","15","99001004","1"
"0","8","91002","8","99001004","30"
"1001","9","11001005","15","99001005","1"
"0","10","91002","8","99001005","10"
"1001","11","11001006","15","99001006","1"
"0","12","91002","8","99001006","10"
"1002","13","11001007","15","99001007","1"
"0","14","91002","8","99001007","20"
"1003","15","11001008","15","99001008","1"
"0","16","91002","8","99001008","30"
"1001","17","11001009","15","99001009","1"
"0","18","91002","8","99001009","10"
"1001","19","11001010","15","99001010","1"
"0","20","91002","8","99001010","10"
"1002","21","11001011","15","99001011","1"
"0","22","91002","8","99001011","20"
"1003","23","11001012","15","99001012","1"
"0","24","91002","8","99001012","30"
"1001","33","11001017","15","99001017","1"
"0","34","91002","8","99001017","30"
"1001","35","11001018","15","99001018","1"
"0","36","91002","8","99001018","30"
"1002","37","11001019","15","99001019","1"
"0","38","91002","8","99001019","30"
"1003","39","11001020","15","99001020","1"
"0","40","91002","8","99001020","30"
"1001","41","11001021","15","99001021","0"
"1002","42","11001022","15","99001022","0"
"1001","43","11001023","15","99001023","1"
"0","44","91002","8","99001023","30"
"1001","45","11001024","15","99001024","1"
"0","46","91002","8","99001024","30"
"1002","47","11001025","15","99001025","1"
"0","48","91002","8","99001025","30"
"1003","49","11001026","15","99001026","1"
"0","50","91002","8","99001026","30"
"1001","51","11001027","15","99001027","1"
"0","52","91002","8","99001027","30"
"1001","53","11001028","15","99001028","1"
"0","54","91002","8","99001028","30"
"1002","55","11001029","15","99001029","1"
"0","56","91002","8","99001029","30"
"1003","57","11001030","15","99001030","1"
"0","58","91002","8","99001030","30"
"1001","59","11001031","15","99001031","1"
"0","60","91002","8","99001031","30"
"1001","61","11001032","15","99001032","1"
"0","62","91002","8","99001032","30"
"1002","63","11001033","15","99001033","1"
"0","64","91002","8","99001033","30"
"1003","65","11001034","15","99001034","1"
"0","66","91002","8","99001034","30"
"1001","75","11001039","15","99001039","0"
"1002","76","11001040","15","99001040","0"
"1003","77","11001041","15","99001041","0"
"1001","78","11001042","15","99001042","1"
"0","79","91002","8","99001042","30"
"1001","80","11001043","15","99001043","1"
"0","81","91002","8","99001043","30"
"1002","82","11001044","15","99001044","1"
"0","83","91002","8","99001044","30"
"1003","84","11001045","15","99001045","1"
"0","85","91002","8","99001045","30"
"1001","86","11001046","15","99001046","1"
"1001","87","11001050","15","99001046","1"
"0","88","91002","8","99001046","30"
"1001","89","11001047","15","99001047","1"
"0","90","91002","8","99001047","30"
"1002","91","11001048","15","99001048","1"
"0","92","91002","8","99001048","30"
"1003","93","11001049","15","99001049","1"
"0","94","91002","8","99001049","30"
"1001","95","11001051","15","99001051","1"
"0","96","91002","8","99001051","30"
"1001","97","11001052","15","99001052","1"
"0","98","91002","8","99001052","30"
"1002","99","11001053","15","99001053","1"
"0","100","91002","8","99001053","30"
"1003","101","11001054","15","99001054","1"
"0","102","91002","8","99001054","30"
"1001","103","11001055","15","99001055","1"
"0","104","91002","8","99001055","30"
"1001","105","11001056","15","99001056","1"
"0","106","91002","8","99001056","30"
"1002","107","11001057","15","99001057","1"
"0","108","91002","8","99001057","30"
"1003","109","11001058","15","99001058","1"
"0","110","91002","8","99001058","30"
"1001","111","11001059","15","99001059","1"
"0","112","91002","8","99001059","30"
"1001","113","11001060","15","99001060","1"
"0","114","91002","8","99001060","30"
"1002","115","11001061","15","99001061","1"
"0","116","91002","8","99001061","30"
"1003","117","11001062","15","99001062","1"
"0","118","91002","8","99001062","30"
"1001","119","11001063","15","99001063","1"
"0","120","91002","8","99001063","30"
"1001","121","11001064","15","99001064","1"
"0","122","91002","8","99001064","30"
"1002","123","11001065","15","99001065","1"
"0","124","91002","8","99001065","30"
"1003","125","11001066","15","99001066","1"
"0","126","91002","8","99001066","30"
"1001","127","11001067","15","99001067","1"
"0","128","91002","8","99001067","30"
"1001","129","11001068","15","99001068","1"
"0","130","91002","8","99001068","30"
"1002","131","11001069","15","99001069","1"
"0","132","91002","8","99001069","30"
"1003","133","11001070","15","99001070","1"
"0","134","91002","8","99001070","30"
"1001","135","11001071","15","99001071","0"
"1002","136","11001072","15","99001072","0"
"1003","137","11001073","15","99001073","0"
"1001","138","11001074","15","99001074","1"
"0","139","91002","8","99001074","30"
"1001","140","11001075","15","99001075","1"
"0","141","91002","8","99001075","30"
"1002","142","11001076","15","99001076","1"
"0","143","91002","8","99001076","30"
"1003","144","11001077","15","99001077","1"
"0","145","91002","8","99001077","30"
"1001","146","11001078","15","99001078","1"
"0","147","91002","8","99001078","30"
"1001","148","11001079","15","99001079","1"
"0","149","91002","8","99001079","30"
"1002","150","11001080","15","99001080","1"
"0","151","91002","8","99001080","30"
"1003","152","11001081","15","99001081","1"
"0","153","91002","8","99001081","30"
"1001","154","11001082","15","99001082","1"
"0","155","91002","8","99001082","30"
"1001","156","11001083","15","99001083","1"
"0","157","91002","8","99001083","30"
"1002","158","11001084","15","99001084","1"
"0","159","91002","8","99001084","30"
"1003","160","11001085","15","99001085","1"
"0","161","91002","8","99001085","30"
"1001","162","11001086","15","99001086","0"
"1002","163","11001087","15","99001087","0"
"1002","164","11001088","15","99001088","0"
"1002","165","11001089","15","99001089","0"
"1003","166","11001090","15","99001090","0"
"1001","167","11001091","15","99001091","1"
"0","168","91002","8","99001091","30"
"1001","169","11001092","15","99001092","1"
"0","170","91002","8","99001092","30"
"1002","171","11001093","15","99001093","1"
"0","172","91002","8","99001093","30"
"1003","173","11001094","15","99001094","1"
"0","174","91002","8","99001094","30"
"1001","175","11001095","15","99001095","1"
"0","176","91002","8","99001095","30"
"1001","177","11001096","15","99001096","1"
"0","178","91002","8","99001096","30"
"1002","179","11001097","15","99001097","1"
"0","180","91002","8","99001097","30"
"1003","181","11001098","15","99001098","1"
"0","182","91002","8","99001098","30"
"1001","183","11001099","15","99001099","1"
"0","184","91002","8","99001099","30"
"1001","185","11001100","15","99001100","1"
"0","186","91002","8","99001100","30"
"1002","187","11001101","15","99001101","1"
"0","188","91002","8","99001101","30"
"1003","189","11001102","15","99001102","1"
"0","190","91002","8","99001102","30"
"1001","191","11001103","15","99001103","1"
"0","192","91002","8","99001103","30"
"1001","193","11001104","15","99001104","1"
"0","194","91002","8","99001104","30"
"1002","195","11001105","15","99001105","1"
"0","196","91002","8","99001105","30"
"1003","197","11001106","15","99001106","1"
"0","198","91002","8","99001106","30"
"1001","199","11001107","15","99001107","1"
"0","200","91002","8","99001107","30"
"1001","201","11001108","15","99001108","1"
"0","202","91002","8","99001108","30"
"1002","203","11001109","15","99001109","1"
"0","204","91002","8","99001109","30"
"1003","205","11001110","15","99001110","1"
"0","206","91002","8","99001110","30"
"1001","207","11001111","15","99001111","1"
"0","208","91002","8","99001111","30"
"1001","209","11001112","15","99001112","1"
"0","210","91002","8","99001112","30"
"1002","211","11001113","15","99001113","1"
"0","212","91002","8","99001113","30"
"1003","213","11001114","15","99001114","1"
"0","214","91002","8","99001114","30"
"1001","215","11001115","15","99001115","1"
"0","216","91002","8","99001115","30"
"1001","217","11001116","15","99001116","1"
"0","218","91002","8","99001116","30"
"1002","219","11001117","15","99001117","1"
"0","220","91002","8","99001117","30"
"1003","221","11001118","15","99001118","1"
"0","222","91002","8","99001118","30"
"1001","223","11001119","15","99001119","1"
"0","224","91002","8","99001119","30"
"1001","225","11001120","15","99001120","1"
"0","226","91002","8","99001120","30"
"1002","227","11001121","15","99001121","1"
"0","228","91002","8","99001121","30"
"1003","229","11001122","15","99001122","1"
"0","230","91002","8","99001122","30"
"1001","231","11001123","15","99001123","1"
"0","232","91002","8","99001123","30"
"1001","233","11001124","15","99001124","1"
"0","234","91002","8","99001124","30"
"1002","235","11001125","15","99001125","1"
"0","236","91002","8","99001125","30"
"1003","237","11001126","15","99001126","1"
"0","238","91002","8","99001126","30"
"1001","239","11001127","15","99001127","1"
"0","240","91002","8","99001127","30"
"1001","241","11001128","15","99001128","1"
"0","242","91002","8","99001128","30"
"1002","243","11001129","15","99001129","1"
"0","244","91002","8","99001129","30"
"1003","245","11001130","15","99001130","1"
"0","246","91002","8","99001130","30"
"1003","247","11001131","15","99001131","1"
"1001","248","11001132","15","99001132","1"
"0","249","91002","8","99001132","30"
"1001","250","11001133","15","99001133","1"
"0","251","91002","8","99001133","30"
"1002","252","11001134","15","99001134","1"
"0","253","91002","8","99001134","30"
"1003","254","11001135","15","99001135","1"
"0","255","91002","8","99001135","30"
"1001","256","11001136","15","99001136","1"
"0","257","91002","8","99001136","30"
"1001","258","11001137","15","99001137","1"
"0","259","91002","8","99001137","30"
"1002","260","11001138","15","99001138","1"
"0","261","91002","8","99001138","30"
"1003","262","11001139","15","99001139","1"
"0","263","91002","8","99001139","30"
"1003","264","11001140","15","99001140","1"
"1001","265","11001142","15","99001142","1"
"0","266","91002","8","99001142","30"
"1001","267","11001143","15","99001143","1"
"0","268","91002","8","99001143","30"
"1002","269","11001144","15","99001144","1"
"0","270","91002","8","99001144","30"
"1003","271","11001145","15","99001145","1"
"0","272","91002","8","99001145","30"
"1001","273","11001146","15","99001146","0"
"1002","274","11001147","15","99001147","0"
"1001","275","11001148","15","99001148","1"
"0","276","91002","8","99001148","30"
"1001","277","11001149","15","99001149","1"
"0","278","91002","8","99001149","30"
"1002","279","11001150","15","99001150","1"
"0","280","91002","8","99001150","30"
"1003","281","11001151","15","99001151","1"
"0","282","91002","8","99001151","30"
"1001","283","11001152","15","99001152","1"
"0","284","91002","8","99001152","30"
"1001","285","11001153","15","99001153","1"
"0","286","91002","8","99001153","30"
"1002","287","11001154","15","99001154","1"
"0","288","91002","8","99001154","30"
"1003","289","11001155","15","99001155","1"
"0","290","91002","8","99001155","30"
"1001","291","11001156","15","99001156","1"
"0","292","91002","8","99001156","30"
"1001","293","11001157","15","99001157","1"
"0","294","91002","8","99001157","30"
"1002","295","11001158","15","99001158","1"
"0","296","91002","8","99001158","30"
"1003","297","11001159","15","99001159","1"
"0","298","91002","8","99001159","30"
"1001","299","11001160","15","99001160","1"
"0","300","91002","8","99001160","30"
"1001","301","11001161","15","99001161","1"
"0","302","91002","8","99001161","30"
"1002","303","11001162","15","99001162","1"
"0","304","91002","8","99001162","30"
"1003","305","11001163","15","99001163","1"
"0","306","91002","8","99001163","30"
"1002","307","11001164","15","99001164","1"
"1003","308","11001165","15","99001165","1"
"1001","309","11001166","15","99001166","1"
"0","310","91002","8","99001166","30"
"1001","311","11001167","15","99001167","1"
"0","312","91002","8","99001167","30"
"1002","313","11001168","15","99001168","1"
"0","314","91002","8","99001168","30"
"1003","315","11001169","15","99001169","1"
"0","316","91002","8","99001169","30"
"1001","317","11001170","15","99001170","1"
"0","318","91002","8","99001170","30"
"1001","319","11001171","15","99001171","1"
"0","320","91002","8","99001171","30"
"1002","321","11001172","15","99001172","1"
"0","322","91002","8","99001172","30"
"1003","323","11001173","15","99001173","1"
"0","324","91002","8","99001173","30"
"1001","325","11001174","15","99001174","1"
"0","326","91002","8","99001174","30"
"1001","327","11001175","15","99001175","1"
"0","328","91002","8","99001175","30"
"1002","329","11001176","15","99001176","1"
"0","330","91002","8","99001176","30"
"1003","331","11001177","15","99001177","1"
"0","332","91002","8","99001177","30"
"1001","333","11001178","15","99001178","1"
"0","334","91002","8","99001178","30"
"1001","335","11001179","15","99001179","1"
"0","336","91002","8","99001179","30"
"1002","337","11001180","15","99001180","1"
"0","338","91002","8","99001180","30"
"1003","339","11001181","15","99001181","1"
"0","340","91002","8","99001181","30"
"1001","341","11001182","15","99001182","1"
"0","342","91002","8","99001182","30"
"1001","343","11001183","15","99001183","1"
"0","344","91002","8","99001183","30"
"1002","345","11001184","15","99001184","1"
