84057bdeb6bf90cc58ed8d71460b109b2b70e2d78e64b81a6f35ed6dcbc976ef,f3e76e6dc1e1afb9bd2d972b34d3c2792411da4ca5ed0a7ebefdfee8bead2f94,4c1c0249ec0d5bee55070e67a21c568f380bbb691727585ac9da49543892d231,9d7cb390caa6625e97701a40746e1c3fe349610a9015817dabae9e6d2a6f472c,8d66406fbe87ad6fdb43c1d8e514c0ca5c3020c60790f7d5da3a53d5123db7c0,6b85e8991e7f2b79ad685936c07b8f5af099cd10bd3579f96c670ae8547b9e02,66aabbca70270cbd65cfc40a7a8ab99e5b5ccfd799b65b796d897c89c6a72e90,9a0eca98557c3aefb1bc133bf3420443151013c807a757ec17a04f2ac4598162,6b12f9403e48cc3d0a4d4b3672ec365d433b5ea627db77abd9ab0474700a5f96,c769541107d4b7d8ea9d6f4f170351e143497c313035eb37172b019251ecb4a7
"20","獲得20個零件","100","1","0","10000","1","1","1","3"
"25","獲得25個零件","100","1","0","10001","2","1","2","3"
"30","獲得30個零件","100","1","0","10002","3","1","2","3"
"35","獲得35個零件","100","1","0","10003","4","1","3","3"
"40","獲得40個零件","100","1","0","10004","5","1","3","3"
"45","獲得45個零件","100","1","0","10005","6","1","4","3"
"50","獲得50個零件","100","1","0","10006","7","1","4","3"
"1500","將總戰力提升至1500以上","101","2","0","20000","101","1","3","2"
"2000","將總戰力提升至2000以上","101","2","0","20001","102","1","3","2"
"2500","將總戰力提升至2500以上","101","2","0","20002","103","1","3","2"
"3000","將總戰力提升至3000以上","101","2","0","20003","104","1","3","2"
"3500","將總戰力提升至3500以上","101","2","0","20004","105","1","3","2"
"4000","將總戰力提升至4000以上","101","2","0","20005","106","1","4","2"
"4500","將總戰力提升至4500以上","101","2","0","20006","107","1","4","2"
"5000","將總戰力提升至5000以上","101","2","0","20007","108","1","4","2"
"6000","將總戰力提升至6000以上","101","2","0","20008","109","1","4","2"
"7000","將總戰力提升至7000以上","101","2","0","20009","110","1","4","2"
"8000","將總戰力提升至8000以上","101","2","0","20010","111","1","5","2"
"9000","將總戰力提升至9000以上","101","2","0","20011","112","1","5","2"
"10000","將總戰力提升至10000以上","101","2","0","20012","600","1","5","2"
"100","累積獲得100pt戰鬥點數","200","3","0","30000","201","2","2","4"
"200","累積獲得200pt戰鬥點數","200","3","0","30001","202","2","2","4"
"300","累積獲得300pt戰鬥點數","200","3","0","30002","203","2","2","4"
"400","累積獲得400pt戰鬥點數","200","3","0","30003","204","2","2","4"
"500","累積獲得500pt戰鬥點數","200","3","0","30004","205","2","2","4"
"600","累積獲得600pt戰鬥點數","200","3","0","30005","206","2","3","4"
"700","累積獲得700pt戰鬥點數","200","3","0","30006","207","2","3","4"
"800","累積獲得800pt戰鬥點數","200","3","0","30007","208","2","3","4"
"900","累積獲得900pt戰鬥點數","200","3","0","30008","209","2","3","4"
"1000","累積獲得1000pt戰鬥點數","200","3","0","30009","210","2","3","4"
"5","從布武機那邊獲得5個零件","400","5","0","50000","401","4","7","1"
"10","從布武機那邊獲得10個零件","400","5","0","50001","402","4","7","1"
"15","從布武機那邊獲得15個零件","400","5","0","50002","403","4","7","1"
"20","從布武機那邊獲得20個零件","400","5","0","50003","404","4","7","1"
"25","從布武機那邊獲得25個零件","400","5","0","50004","405","4","7","1"
"30","從布武機那邊獲得30個零件","400","5","0","50005","406","4","7","1"
"35","從布武機那邊獲得35個零件","400","5","0","50006","407","4","7","1"
"40","從布武機那邊獲得40個零件","400","5","0","50007","408","4","7","1"
"45","從布武機那邊獲得45個零件","400","5","0","50008","409","4","7","1"
"50","從布武機那邊獲得50個零件","400","5","0","50009","700","4","6","1"
"800","累積獲得800pt戰鬥點數（可以不限次數達成）","209","6","30009","60000","999","2","7","4"
"14","通過關卡14","300","7","0","70000","799","3","6","3"
"50","通過關卡50","301","7","0","70001","800","3","8","3"
