23adce565727c02f59305ed20adcbaaba5b70687e7393270f99d15dd39448a31,0ee038f396479a629517c7bd776d77e6d97783c206530a2ee5f088b5bf4a05fa,542c7cdf35079cfab5bc5366271d607535feeeceba68bd1e553acc0a85eef605,c7e6270c6ad224cb311ea4235b9e07af37b87ea5c3bb4e0aa5c5f536f36d8cf5,cb1cc5413a6ab17be650185ea564f865c995b59d9f067c38f729580893988dcb,66b393d5203f8f33dffa59eb24bcbfd66ac5084d2b2aaf008c0d2de19e9287b8
"1","10008103","0","10008","1","10008001"
"2","10008104","0","10008","1","10008002"
"3","10008105","0","10008","1","10008003"
"4","10008107","0","10008","1","10008004"
"5","10008111","0","10008","1","10008005"
"201","0","0","10008","2","10008006"
"101","10008105","0","10008","201","10008201"
"102","10008107","0","10008","201","10008202"
"103","10008111","0","10008","201","10008203"
"111","10008115","0","10008","202","10008204"
"105601","0","0","10008","101","10008301"
"100901","10008103","0","10008","101","10008302"
"101301","10008104","0","10008","101","10008303"
"105601","10008105","0","10008","101","10008304"
"101301","10008107","0","10008","101","10008305"
"100901","10008111","0","10008","101","10008306"
"105601","0","0","10008","102","10008307"
"201","0","0","10010","2","10010001"
"2","10010112","0","10010","1","10010002"
"3","10010115","0","10010","1","10010003"
"4","10010103","0","10010","1","10010004"
"5","10010105","0","10010","1","10010005"
"6","10010107","0","10010","1","10010006"
"7","10010109","0","10010","1","10010007"
"101","10010112","0","10010","211","10010201"
"0","10010115","0","10010","211","10010202"
"101461","10010110","101471","10010","501","10010501"
"101462","10010110","101472","10010","501","10010502"
"101463","10010110","101473","10010","501","10010503"
"211","1001004","0","10010","3","10010531"
"1","1001201","0","10012","4","10012001"
"2","1001202","0","10012","4","10012002"
"3","1001203","0","10012","4","10012003"
"4","1001204","0","10012","4","10012004"
"101","1001201","0","10012","5","10012301"
"101","1001202","0","10012","5","10012302"
"101","1001203","0","10012","5","10012303"
"501","0","0","10012","6","10012401"
"211","1001204","0","10012","3","10012531"
"211","1001304","0","10013","3","10013531"
"211","1001504","0","10015","3","10015531"
"1","10017102","0","10017","1","10017001"
"2","10017108","0","10017","1","10017002"
"3","10017115","0","10017","1","10017003"
"105801","0","0","10017","101","10017301"
"109901","10017102","0","10017","101","10017302"
"109901","0","0","10017","102","10017303"
"211","1001704","0","10017","3","10017531"
"101921","10021112","101931","10021","501","10021001"
"101922","10021112","101932","10021","501","10021002"
"101923","10021112","101933","10021","501","10021003"
"100011","10021112","100351","10021","501","10021004"
"100012","10021112","100352","10021","501","10021005"
"100013","10021112","100353","10021","501","10021006"
"100014","10021112","100354","10021","501","10021007"
"100015","10021112","100355","10021","501","10021008"
"100016","10021112","100356","10021","501","10021009"
"100017","10021112","100357","10021","501","10021010"
"100018","10021112","100358","10021","501","10021011"
"100019","10021112","100359","10021","501","10021012"
"211","1003904","0","10039","3","10039531"
"1","10053102","0","10053","1","10053001"
"2","10053108","0","10053","1","10053002"
"3","10053115","0","10053","1","10053003"
"105801","0","0","10053","101","10053301"
"109901","10053102","0","10053","101","10053302"
"109901","0","0","10053","102","10053303"
"211","1005304","0","10053","3","10053531"
"1","10084102","0","10084","1","10084001"
"2","10084112","0","10084","1","10084002"
"3","10084115","0","10084","1","10084003"
"1","10085102","0","10085","1","10085001"
"2","10085108","0","10085","1","10085002"
"3","10085115","0","10085","1","10085003"
"1","10112102","0","10112","1","10112001"
"2","10112112","0","10112","1","10112002"
"3","10112115","0","10112","1","10112003"
"1","10113102","0","10113","1","10113001"
"2","10113108","0","10113","1","10113002"
"3","10113115","0","10113","1","10113003"
"1","10153102","0","10153","1","10153001"
"2","10153108","0","10153","1","10153002"
"3","10153115","0","10153","1","10153003"
"105801","0","0","10153","101","10153301"
"109901","10153102","0","10153","101","10153302"
"109901","0","0","10153","102","10153303"
"211","1015304","0","10153","3","10153531"
"1","20008103","0","20008","1","20008001"
"2","20008104","0","20008","1","20008002"
"3","20008105","0","20008","1","20008003"
"4","20008107","0","20008","1","20008004"
"5","20008111","0","20008","1","20008005"
"201","0","0","20008","2","20008006"
"101","20008105","0","20008","201","20008201"
"102","20008107","0","20008","201","20008202"
"103","20008111","0","20008","201","20008203"
"111","20008115","0","20008","202","20008204"
"105601","0","0","20008","101","20008301"
"100901","20008103","0","20008","101","20008302"
"101301","20008104","0","20008","101","20008303"
"105601","20008105","0","20008","101","20008304"
"101301","20008107","0","20008","101","20008305"
"100901","20008111","0","20008","101","20008306"
"105601","0","0","20008","102","20008307"
"201","0","0","20010","2","20010001"
"1","20010110","0","20010","1","20010002"
"2","20010112","0","20010","1","20010003"
"3","20010115","0","20010","1","20010004"
"4","20010103","0","20010","1","20010005"
"5","20010105","0","20010","1","20010006"
"6","20010107","0","20010","1","20010007"
"7","20010109","0","20010","1","20010008"
"101","20010112","0","20010","211","20010201"
"0","20010115","0","20010","211","20010202"
"101461","20010110","101471","20010","501","20010501"
"101462","20010110","101472","20010","501","20010502"
"101463","20010110","101473","20010","501","20010503"
"211","2001004","0","20010","3","20010531"
"1","2001201","0","20012","4","20012001"
"2","2001202","0","20012","4","20012002"
"3","2001203","0","20012","4","20012003"
"4","2001204","0","20012","4","20012004"
"101","2001201","0","20012","5","20012301"
"101","2001202","0","20012","5","20012302"
"101","2001203","0","20012","5","20012303"
"501","0","0","20012","6","20012401"
"211","2001204","0","20012","3","20012531"
"211","2001404","0","20014","3","20014531"
"101921","20016112","101931","20016","501","20016001"
"101922","20016112","101932","20016","501","20016002"
"101923","20016112","101933","20016","501","20016003"
"100011","20016112","100351","20016","501","20016004"
"100012","20016112","100352","20016","501","20016005"
"100013","20016112","100353","20016","501","20016006"
"100014","20016112","100354","20016","501","20016007"
"100015","20016112","100355","20016","501","20016008"
"100016","20016112","100356","20016","501","20016009"
"100017","20016112","100357","20016","501","20016010"
"100018","20016112","100358","20016","501","20016011"
"100019","20016112","100359","20016","501","20016012"
"1","20046102","0","20046","1","20046001"
"2","20046112","0","20046","1","20046002"
"3","20046115","0","20046","1","20046003"
"1","20047102","0","20047","1","20047001"
"2","20047108","0","20047","1","20047002"
"3","20047115","0","20047","1","20047003"
