144616246a687e96b28816a1fd27a8ccc00b319d9a574811dce60eb0b0c0b921,78b55391cda03c12311141b6b5cb0f2200617a232de4b6a821a7c886fd59b00e,e784efd0fe1abe7475e90e270dcb7f676bc3df4e79a660ab9fe539254f29e2a3,260855ae86ff38d6c5f1833ad0bd41ad06716c6716b900dadec61fdd7535b190,708d9558d2535585c49631ee4516d0787b2ccacd24818443241dc19948c67879,a253d29fe977104c717e25d8cd6b0676ba80fe836ac2ae1fdc0019f6471d2f14,377ae875a6c70382d72457ba0bc48421449744a489ec9baaaa6753660e570004,e164242622eac59790019b5c94de864aca34f8d609a1c0859de9e2e89ecaf7fb,38031fde0bb9703a76a2afbd2e0e7e41188170b512adb6a9d56902411049beab,afebe87c4eb8195a831a0ab12a1417cb6832f62fb2159208fffa4a43b0340d01,cd4b1c963202f4af2f4be5509a63582f4a1ddf6454c04740957ef81c50befec1,41bf231564ea4b29d32afd40a4eab81311d2fe57a78057303eeb22da2d3477ac,7f027da7305e9f1ee075ae3ea581cde791573ccabf2284a61a6dfe8e4fdceff1,8d3d2a3fd9c5613dc4f2ea7cf1fcd48e4277c529b66700342cdb6bc5afea84dd
"2","401","0","24","0","24001","綾音","2020/07/31 12:00:00","太棒了，噗吉！\n這樣就能當\n哥哥他們的榜樣了！","10046","0","2","2030/12/17 14:59:59","102301"
"2","402","0","24","2.21","24002","綾音","2020/07/31 12:00:00","我們贏了！\n有噗吉和我在一起，\n不管來了怎麼樣的球，\n我都會打出全壘打的！","10046","0","1","2030/12/17 14:59:59","102301"
"2","403","0","24","0","24003","綾音","2020/07/31 12:00:00","好耶好耶！\n哥哥你有看見嗎？\n我有好好努力喔！","10046","0","2","2030/12/17 14:59:59","102301"
"1","701","0","24","1.99","24004","旭","2020/07/31 12:00:00","特訓好像有成果了！\n照著這個步調繼續練習，\n持續進步下去吧！","10046","0","2","2030/12/17 14:59:59","192201"
"2","702","0","24","2.21","24005","旭","2020/07/31 12:00:00","很好，感覺很棒！\n看樣子我應該能夠好好地\n盡到隊長的職責。","10046","0","1","2030/12/17 14:59:59","192201"
"1","703","0","24","3.33","24006","旭","2020/07/31 12:00:00","比賽將近，\n我似乎有抓到感覺了！\n一口氣邁向全國大賽吧！","10046","0","2","2030/12/17 14:59:59","192201"
"2","801","0","24","0","24007","社員3","2020/07/31 12:00:00","這點程度輕鬆得很，\n畢竟我們可是\n以全國大賽為目標啊。","10046","0","2","2030/12/17 14:59:59","192301"
"2","802","0","24","2.68","24008","社員3","2020/07/31 12:00:00","我也算是\n沙灘棒球選手啊，\n不管什麼球來了，\n我都會把它打飛到觀眾席去的。","10046","0","1","2030/12/17 14:59:59","192301"
"2","803","0","24","0","24009","社員3","2020/07/31 12:00:00","感覺很不錯，\n這樣比賽時應該也能好好活躍，\n我要大肆表現一番！","10046","0","2","2030/12/17 14:59:59","192301"
"1","501","0","24","0","24010","","2020/07/31 12:00:00","太好了！","10046","0","1","2030/12/17 14:59:59","192501"
"1","502","0","24","0","24011","","2020/07/31 12:00:00","贏了！","10046","0","1","2030/12/17 14:59:59","192501"
