c176b1039ec896ebdb214f3e6dedefae700a2088bc81127d27bd9e77805dfc52,2724b8e51d271c80078f6ccf1ac4d35172c80caa6e605402c24e879d668bbd8f,c6071c15374b358fc501ce967482b7116d99d4c102b690514c3211067bde0fbc,6561d4eb4ca3be299c1f1fe808563cc7f288c34ad29f4ff4150f6808027e17ea,14e43a0229688076b34b24d8852d736ed4a4556d813aff6139ad46730074978e,f3593d869d042c1e0f485f2cd623e4268ab84d4449d5fc590346d1a80af714f0,5aa3d4af057347fcf37db2aea679ff9211f5bba82e6bf2e49f6ac9698c016127
"105","105","1","2","3","1","105"
"120","105","1","2","3","2","120"
"120","100","1","2","3","3","100"
"120","105","1","2","3","4","120"
"120","105","1","2","3","5","105"
"105","100","1","2","3","6","100"
"105","120","1","2","3","7","100"
"105","100","1","2","3","8","100"
"120","105","1","2","3","9","120"
"105","120","1","2","3","10","100"
"100","100","1","2","3","11","105"
"120","105","1","2","3","12","120"
"105","105","1","2","3","13","105"
"105","105","1","2","3","14","120"
"120","120","1","2","3","15","120"
"100","100","1","2","3","16","100"
"120","120","1","2","3","17","105"
"105","120","1","2","3","18","120"
"100","105","1","2","3","19","105"
"105","100","1","2","3","20","105"
"100","100","1","2","3","21","105"
"120","120","1","2","3","22","120"
"100","105","1","2","3","23","100"
"120","120","1","2","3","24","120"
"120","105","1","2","3","25","105"
"100","100","1","2","3","26","100"
"100","100","1","2","3","27","100"
"100","100","1","2","3","28","100"
"120","120","1","2","3","29","120"
"105","105","1","2","3","30","120"
