e8f75b676c777c93d678d61d9083aff63a6ef9741ce70b07f9064ec25c8056bb,6d9d38d9c69b5dba57e06a810ff45bec918c67d3e2df5ca22352eb590c0ea1b4,2fbe1d63b109e63f617ccff43174834076df621fc9f5411991fdeddbe611f6e3,bd16f1e7f036719fef5af031324eb8d89818db1966f73f23366f8261ed03aea1,0a6e6fbd972577505b38f1c3e254c3efb2197aedb946d0d22469a7ab5d439162
"30","10","10001","255","100"
"34","10","10002","110","100"
"37","10","10003","185","100"
"41","10","10004","388","101"
"46","10","10005","603","100"
"51","10","10006","696","100"
"54","10","10007","478","100"
"58","10","10008","240","101"
"62","10","10009","371","100"
"67","10","10010","253","100"
"71","10","10011","408","100"
"75","10","10012","342","100"
"78","10","10013","549","101"
"82","10","10014","696","100"
"87","10","10015","468","100"
"92","10","10016","641","100"
"96","10","10017","701","100"
"101","10","10018","531","100"
"105","10","10019","387","100"
"108","10","10020","315","100"
"112","10","10021","241","100"
"117","10","10022","316","100"
"120","10","10023","741","100"
"125","10","10024","1007","100"
"129","10","10025","730","101"
"133","10","10026","647","100"
"137","10","10027","836","100"
"140","10","10028","1087","100"
"143","10","10029","818","100"
"147","10","10030","558","100"
"152","10","10031","228","101"
"155","10","10032","569","100"
"159","10","10033","724","101"
"162","10","10034","367","101"
"165","10","10035","9","100"
"170","10","10036","101","100"
"173","10","10037","509","101"
"178","10","10038","214","100"
"183","10","10039","511","400"
"188","10","10040","477","100"
"192","10","10041","739","100"
"197","10","10042","485","101"
"202","10","10043","670","100"
"205","10","10044","339","100"
"210","10","10045","193","100"
"215","10","10046","376","101"
"219","10","10047","719","100"
"224","10","10048","1012","100"
"227","10","10049","1199","100"
"232","10","10050","870","100"
"237","10","10051","521","100"
"240","10","10052","632","100"
"244","10","10053","263","100"
"247","10","10054","180","101"
"252","10","10055","295","100"
"255","10","10056","594","200"
"259","10","10057","252","100"
"262","10","10058","623","100"
"265","10","10059","219","101"
"270","10","10060","379","100"
"273","10","10061","218","101"
"277","10","10062","478","100"
"281","10","10063","415","100"
"284","10","10064","700","100"
"289","10","10065","411","100"
"292","10","10066","326","100"
"296","10","10067","763","101"
"300","10","10068","591","100"
"304","10","10069","837","300"
"307","10","10070","432","100"
"310","10","10071","379","100"
"314","10","10072","31","101"
"317","10","10073","216","100"
"321","10","10074","412","100"
"326","10","10075","183","101"
"330","10","10076","57","100"
"335","10","10077","204","100"
"340","10","10078","486","100"
"345","10","10079","858","100"
"349","10","10080","584","101"
"352","10","10081","178","100"
"357","10","10082","448","100"
"361","10","10083","793","100"
"364","10","10084","1102","101"
"369","10","10085","975","100"
"374","10","10086","1132","100"
"379","10","10087","922","101"
"383","10","10088","752","100"
"386","10","10089","457","100"
