50f7f0f8fd75d1eeeded08e599e087bfab261eabda4c21b99a2d785a5d7b3fdd,e9945584cff320319dd3448735b1cacb23f13b2142ec45074f4df81fccb8faa4,8460b2f0f6587b7808786d8bfba0b0696332cb52a8c4395ca1c71027b1b079fa,e5a5abcf62e37ff7ce21e1f448ba996afef28cbddc13f718b5316d6832bc1577,3b897f7e8e1034f090ecfe5e01875f4e89b90a94ed85ebcaebee2a91cb8c1502,976cf6d3205e20997473c0270898214be33cf13ebc5b2d3f80084a631f825812,e6c44f66f34fc8f3c94f709af4fdb006741935bda2d64f054181af9377f526fa,d589a8d3dc4ecd9533cbda887db28cb21fba138c8c9a27148a4715c524fd244c,c95498f966927db923f42492e415f4057c5bb573544b749a1ef1b6c28a4757ff,c099c504e2c1e222fed32475a03cd4557aefca486b8be1ecf95f0b344d8e4f90,2010c987b8d7694640a4fe81c26981f1c79769a65eda056ab732e57cbdf602db
"-300","1007001","2","svd_idle_normal","113511","2.08","-750","0","5","1007001001","100"
"-300","1007001","1","svd_idle_normal","113411","2.08","750","1","5","1007001002","100"
"0","1007001","3","svd_white_loop","333","1","0","0","5","1007001003","0"
"0","1007001","333","","1","0","1","0","6","1007001004","1"
"","1007001","113511","","2","","0","","7","1007001005","0"
"0","1007001","113511","","-750","","0.5","","2","1007001006","-300"
"0","1007001","113411","","1","0","1","0","6","1007001007","1"
"0.8","1007001","1","","11","0","-40","","31","1007001008","-140"
"","1007001","11","","2","","0","","34","1007001009","0"
"","1007001","113411","","6","","0","","7","1007001010","0"
"0","1007001","113411","","750","","0.5","","2","1007001011","-300"
"1","1007001","4","","14","0","-40","","31","1007001012","-250"
"1","1007001","5","","15","0","-40","","31","1007001013","250"
"","1007001","1","","","","","","93","1007001014",""
"0.4","1007001","333","","1","0.8","1","0","6","1007001015","1"
"1","1007001","113511","","svd_idle_see_pre","0.2","svd_idle_see","0","3","1007001016","0"
"0","1007001","113411","","640","","1.1","","2","1007001017","-300"
"0","1007001","113511","","-600","","1.1","","2","1007001018","-300"
"","1007001","1","","","","","","93","1007001019",""
"","1007001","11","","1","","","","32","1007001020",""
"","1007001","0","","","","","","91","1007001021",""
"80","1007001","113511","","240","","0","","94","1007001022","260"
"","1007001","11","","0","","","","32","1007001023",""
"","1007001","113511","","svd_run","0.2","","","3","1007001024","1"
"","1007001","113511","","0","","0","","7","1007001025","1.2"
"0","1007001","113511","","-250","","1.2","","2","1007001026","-300"
"","1007001","113411","","svd_run","0.2","","","3","1007001027","1"
"","1007001","113411","","0","","0","","7","1007001028","1.2"
"0","1007001","113411","","250","","1.2","","2","1007001029","-300"
"1","1007001","113411","","1","0.2","1","0","6","1007001030","1"
"","1007001","1.2","","","","","","93","1007001031",""
"","1007001","0","","","","","","91","1007001032",""
"","1007001","113511","","svd_kime_eriko","0.2","","","3","1007001033","0"
"","1007001","113411","","svd_kime_shizuru","0.2","","","3","1007001034","0"
"","1007001","1.4","","","","","","93","1007001035",""
"","1007001","14","","1","","","","32","1007001036",""
"","1007001","15","","1","","","","32","1007001037",""
"","1007001","0.6","","","","","","93","1007001038",""
"","1007001","113411","","svd_idle_joy1","0.2","","","3","1007001039","1"
"","1007001","113511","","svd_talk_wish","0.2","","","3","1007001040","1"
"","1007001","vo_svd","","vo_svd_0121","","0","","21","1007001041","0"
"0","1007001","113511","1","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","0","0","0","11","1007001042","6"
"","1007001","0","","","","","","91","1007001043",""
"","1007001","113511","","svd_idle_wish","0.2","","","3","1007001044","1"
"","1007001","113411","","svd_talk_joy1","0.2","","","3","1007001045","1"
"","1007001","vo_svd","","vo_svd_0122","","0","","21","1007001046","0"
"0","1007001","113411","1","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","0","0","0","11","1007001047","8"
"","1007001","0","","","","","","91","1007001048",""
"","1007001","113411","","svd_idle_joy1","0.2","","","3","1007001049","1"
"","1007001","113511","","svd_talk_thinking","0.2","","","3","1007001050","1"
"","1007001","vo_svd","","vo_svd_0123","","0","","21","1007001051","0"
"0","1007001","113511","1","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","0","0","0","11","1007001052","6"
"","1007001","0","","","","","","91","1007001053",""
"","1007001","113511","","svd_idle_thinking","0.2","","","3","1007001054","1"
"1","1007001","113411","","svd_surprise","0.2","svd_talk_anger","0.2","3","1007001055","0"
"","1007001","vo_svd","","vo_svd_0124","","0","","21","1007001056","0"
"0","1007001","113411","1","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","0","0","0","11","1007001057","8"
"","1007001","3","","","","","","93","1007001058",""
"1","1007001","113411","","svd_jump","0.2","svd_talk_joy1","0.4","3","1007001059","0"
"","1007001","1007001057","","","","","","91","1007001060",""
"","1007001","113411","","svd_idle_joy1","0.2","","","3","1007001061","1"
"","1007001","","","","","","","102","1007001062",""
"","1007001","14","","0","","","","32","1007001063",""
"","1007001","15","","0","","","","32","1007001064",""
"","1007001","1","","","","","","93","1007001065",""
"","1007001","113511","","7","0","","0","12","1007001066","1"
"","1007001","113511","","svd_talk_normal","0.2","","","3","1007001067","1"
"","1007001","3","","","","","","93","1007001068",""
"","1007001","113511","","svd_idle_normal","0.2","","","3","1007001069","1"
"","1007001","113411","","10","0","","0","12","1007001070","1"
"1","1007001","113411","","svd_talk_normal","0.2","","","3","1007001071","1"
"","1007001","3","","","","","","93","1007001072",""
"1","1007001","113411","","svd_idle_normal","0.2","","","3","1007001073","1"
"","1007001","113511","","7","0","","0","12","1007001074","1"
"","1007001","113511","","svd_talk_memory","0.2","","","3","1007001075","1"
"","1007001","3","","","","","","93","1007001076",""
"","1007001","113511","","svd_idle_memory","0.2","","","3","1007001077","1"
"","1007001","113411","","10","0","","0","12","1007001078","1"
"1","1007001","113411","","svd_talk_memory","0.2","","","3","1007001079","1"
"","1007001","3","","","","","","93","1007001080",""
"1","1007001","113411","","svd_idle_memory","0.2","","","3","1007001081","1"
"","1007001","1007001066","","","","","","101","1007001082",""
"0","1007001","333","","1","1","1","0","6","1007001083","1"
"","1007001","113511","","1","","","","4","1007001084",""
"","1007001","113511","","svd_run","0.2","","","3","1007001085","1"
"0","1007001","113511","","-750","","0.8","","2","1007001086","-300"
"","1007001","113411","","0","","","","4","1007001087",""
"","1007001","113411","","svd_run","0.2","","","3","1007001088","1"
"0","1007001","113411","","750","","0.8","","2","1007001089","-300"
"","1007001","0.6","","","","","","93","1007001090",""
"0","1007001","113511","","1","0.2","1","0","6","1007001091","1"
"0","1007001","113411","","1","0.2","1","0","6","1007001092","1"
"","1007001","0","","","","","","91","1007001093",""
"-300","1007002","2","svd_idle_normal","113511","2.08","-650","0","5","1007002001","100"
"-300","1007002","1","svd_idle_normal","113411","2.08","650","1","5","1007002002","100"
"0","1007002","3","svd_white_loop","333","1","0","0","5","1007002003","0"
"0","1007002","333","","1","0","1","0","6","1007002004","1"
"0","1007002","113511","","1","0","1","0","6","1007002005","1"
"0","1007002","113411","","1","0","1","0","6","1007002006","1"
"","1007002","1","","","","","","93","1007002007",""
"0.4","1007002","333","","1","0.8","1","0","6","1007002008","1"
"","1007002","113511","","svd_run","0.2","","","3","1007002009","1"
"0","1007002","113511","","-250","","1.2","","2","1007002010","-300"
"1","1007002","113511","","1","0.4","1","0","6","1007002011","1"
"","1007002","1.2","","","","","","93","1007002012",""
"","1007002","0","","","","","","91","1007002013",""
"","1007002","113511","","svd_idle_normal","0.1","","","3","1007002014","1"
"","1007002","0.6","","","","","","93","1007002015",""
"","1007002","113511","","svd_talk_memory","0.2","","","3","1007002016","1"
"","1007002","vo_svd","","vo_svd_0221","","0","","21","1007002017","0"
"0","1007002","113511","1","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","0","0","0","11","1007002018","6"
"","1007002","0","","","","","","91","1007002019",""
"","1007002","113511","","svd_idle_memory","0.2","","","3","1007002020","1"
"","1007002","113411","","svd_run","0.2","","","3","1007002021","1"
"0","1007002","113411","","250","","1.2","","2","1007002022","-300"
"1","1007002","113411","","1","0.4","1","0","6","1007002023","1"
"","1007002","1.2","","","","","","93","1007002024",""
"","1007002","113411","","svd_idle_joy1","0.1","","","3","1007002025","1"
"","1007002","0.3","","","","","","93","1007002026",""
"","1007002","113411","","svd_talk_memory","0.2","","","3","1007002027","1"
"","1007002","vo_svd","","vo_svd_0222","","0","","21","1007002028","0"
"0","1007002","113411","1","弟弟賣力滑動手腳的樣子……\n真可愛呀……","0","0","0","11","1007002029","6"
"","1007002","0","","","","","","91","1007002030",""
"","1007002","113411","","svd_idle_memory","0.2","","","3","1007002031","1"
"","1007002","113511","","svd_talk_memory","0.2","","","3","1007002032","1"
"","1007002","vo_svd","","vo_svd_0223","","0","","21","1007002033","0"
"0","1007002","113511","1","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","0","0","0","11","1007002034","6"
"","1007002","0","","","","","","91","1007002035",""
"","1007002","113511","","svd_idle_memory","0.2","","","3","1007002036","1"
"","1007002","113411","","svd_talk_worry","0.2","","","3","1007002037","1"
"","1007002","vo_svd","","vo_svd_0224","","0","","21","1007002038","0"
"0","1007002","113411","1","惠理子……\n那樣好像有點太過火了……","0","0","0","11","1007002039","6"
"","1007002","0","","","","","","91","1007002040",""
"","1007002","113411","","svd_idle_worry","0.2","","","3","1007002041","1"
"","1007002","113511","","svd_talk_thinking","0.2","","","3","1007002042","1"
"","1007002","vo_svd","","vo_svd_0225","","0","","21","1007002043","0"
"0","1007002","113511","1","看來靜流是不需要呢。\n那我就一人獨吞吧……","0","0","0","11","1007002044","6"
"","1007002","0","","","","","","91","1007002045",""
"","1007002","113511","","svd_idle_thinking","0.2","","","3","1007002046","1"
"","1007002","113411","","4","0","","0","12","1007002047","0"
"","1007002","113411","","svd_surprise","0.2","","","3","1007002048","0"
"","1007002","1","","","","","","93","1007002049",""
