8cb5e617a811b0bf15c9cca68fc8e7bf8026acbb3aacfb7c6bfe0903bc5aa6c7,0c4b5ca8194a796daacd7deebf87568d65df97d7601de25c10c40b14afa8a700,7cc6dc0a3f425c3472cba3026f24217f33d71ab73edd4ae7c81012fabb54ee6d,0f6e2f16799898865fe79ae933cf27a2b98dd0ce7d1a6cffc1953124bb4e29a5,57f9aaf4871616b6af6327b6a3cb0c8b583c1aba454d4f9abc27662a10a0841d,7286c6686e39618ff48beb367ee78a1a3c3cb36372ebf9c35183acb745456f45,6eab9961fb2419f6e77cac15437953f4b18fe7cb661c0c6758b93ab5c8992363,911107bdaaf616ed0b50180fcc79e3bb9a26d4c0c1cfed6ed0a60f646eacecd9,e979a32e76c7282ba3bd6845a969015e708f66459ec3aa8fbbc038d3e2c67da0,94155c32c38000f8539baa7c5401ef49d69e2934039be6d8ef83714c2bf9d08c,32f09ed7cd445f7584f3e237336cb58332b31af50b26f0ac7568bd98ad0b7fc1,2956819be5f539433ca1708e6b89cd1cbdae6efa32ebc46a0b930b856992772b,3b49bf650df65b619cd3b58d74cd9dd51614ce32b142c7ab3247df91649a3dfa,5448ea91ab17c6b7439cb4489be2b7d83d1d915bbad2dd0c854dad33a8fb6545,a3895dff9767518c6c4ce8d3575a9e6a79463a8efdebcee99f00640956175c2f,940297ae180365bf0dc003aff8c38af3537263f1a4a24ed1acd2f26c7a6f11d8,7da6161b0aef03c39ea5cca37fe0f259f31a84ee019946c554bba1de8592dbf4,3bd96f0b6ad903c20eb00f2d9b0fc957b923153b68ec539a7e212b3c36dc96b6,796df312491806c475072a7a7ffb568f956b6aca5b08256a6d5b1a43412e1060
"1","20004","0","94002","50","0","0","0","2","50","80","0","1002200","2000000","2","0","23001","12","1"
"2","20004","0","94002","40","0","0","0","2","100","80","0","1002200","1600000","2","0","23001","12","51"
"3","20004","0","94002","40","0","0","0","2","200","60","0","1002200","1400000","2","0","23001","12","101"
"4","20004","0","94002","35","0","0","0","2","500","60","0","1002200","1200000","2","0","23001","12","201"
"5","20004","0","94002","35","0","0","0","2","1000","40","0","1002200","1000000","2","0","23001","12","501"
"6","20004","0","94002","30","0","0","0","2","1500","40","0","1002200","800000","2","0","23001","12","1001"
"7","20004","0","94002","25","0","0","0","2","2000","40","0","1002200","600000","2","0","23001","12","1501"
"8","20003","0","94002","25","0","0","0","2","3000","80","0","1002200","600000","2","0","23001","12","2001"
"9","20003","0","94002","20","0","0","0","2","5000","60","0","1002200","400000","2","0","23001","12","3001"
"10","20003","0","94002","15","0","0","0","2","10000","40","0","1002200","300000","2","0","23001","12","5001"
"11","20003","0","94002","10","0","0","0","2","100000","20","0","1002200","200000","2","0","23001","12","10001"
"12","20003","0","94002","5","0","0","0","2","200000","12","0","1002200","100000","2","0","23001","12","100001"
"13","20003","0","94002","5","0","0","0","2","300000","8","0","1002200","80000","2","0","23001","12","200001"
"14","20003","0","94002","5","0","0","0","2","400000","5","0","1002200","60000","2","0","23001","12","300001"
"15","20003","0","94002","5","0","0","0","2","-1","3","0","1002200","50000","2","0","23001","12","400001"
