a76ccb6df707df56c9777724244d3284481a3baebe41250d8118d325d3288112,ee0bd5280180eb3b67fc85238419e984e8ab9ea515f1522b2a941de0d91ac501,aa1e603e157e7d341bc9740ae9d5021ccf8da8a8e09927130569ecfb8f5d123f,5c61bc9672123d6d10545274a2531cbe013b8326ea4b8ed9739954415b6b095a,4afb6850825c5801e9177b5466613fab214b3ecec69f8d8a20b24b21b08e3289,6eeeadd6baa842b78f03b2c7152f4fe14e5ab72c0ba5b4a623fc6c7acbed8257,e081bf1ad0f566d8c5f1cb86da1377407efce8e0215068913bac120721544a1d,6b0ae20cbae5bd5e3cca92d4a3d1e984c45f11d928f5918f45ff5369426ec7d0,56abfb062f69d80455cf7bc816e314f73a6de73315a80788484dc71103dff59b,ed2f3603e0abed758f094124d118a92a2d034e00aad656cf213302aca71c8bcb,b6ed14284ffedd62c632320df877d137ea08a33851454965029a3893f4ac1db4
"1.65","1001","taq_karin_idle","1","100","118511","1","72","1","1","-194"
"","1002","","1","0","vo_minigame_1009_top_001","21","0","","vo_minigame_1009",""
"0","1003","0","1","8","有準備獎品喔，\n請好好加油吧♪\n","11","0","0","118511","0"
"0.2","1004","","1","1","taq_karin_talk_normal","3","","","118511",""
"","1005","","1","","","91","","","1003",""
"0.2","1006","","1","1","taq_karin_idle","3","","","118511",""
"1.65","2001","taq_karin_idle","2","100","118511","1","72","1","1","-194"
"","2002","","2","0","vo_minigame_1009_top_002","21","0","","vo_minigame_1009",""
"0","2003","0","2","8","這會考驗\n大家的知職喔。","11","0","0","118511","0"
"0.2","2004","","2","1","taq_karin_talk_thinking","3","","","118511",""
"","2005","","2","","","91","","","2003",""
"0.2","2006","","2","1","taq_karin_idle","3","","","118511",""
"1.65","3001","taq_karin_idle","3","100","118511","1","72","1","1","-194"
"","3002","","3","0","vo_minigame_1009_top_003","21","0","","vo_minigame_1009",""
"0","3003","0","3","8","這世上還有很多\n我們不知道的事。\n","11","0","0","118511","0"
"0.2","3004","","3","1","taq_karin_talk_surprise","3","","","118511",""
"","3005","","3","","","91","","","3003",""
"0.2","3006","","3","1","taq_karin_idle","3","","","118511",""
"1.65","4001","taq_karin_idle","4","100","118511","1","72","1","1","-194"
"","4002","","4","0","vo_minigame_1009_top_004","21","0","","vo_minigame_1009",""
"0","4003","0","4","8","不曉得答案時\n可以試著憑直覺。\n","11","0","0","118511","0"
"0.2","4004","","4","1","taq_karin_talk_normal2","3","","","118511",""
"","4005","","4","","","91","","","4003",""
"0.2","4006","","4","1","taq_karin_idle","3","","","118511",""
"1.65","5001","taq_karin_idle","5","100","118511","1","72","1","1","-194"
"","5002","","5","0","vo_minigame_1009_top_005","21","0","","vo_minigame_1009",""
"0","5003","0","5","7","大家齊心協力\n朝向全題答對\n努力吧♪","11","0","0","118511","0"
"0.2","5004","","5","1","taq_karin_talk_joy3","3","","","118511",""
"","5005","","5","","","91","","","5003",""
"0.2","5006","","5","1","taq_karin_idle","3","","","118511",""
