4131cddcc548254c783b09484e7c64d9cf8dcbed128f2b671e731b166b38b38c,01ba97fffc3d8b614f6e9810b82ebd863389535fa2b4573436b5e5a1f7a9d3a5,23646d635dfd1e9102e99c6d6c29962d66162fbec6ea2db631da159e1aa451fc,1a9ac209521c6634b97510e1e8f34d75a7784496c4ab26031ceb4e2ab49aabe4,9ab15e3d4926cd8a14db79b0bf9011db3d3ab8208a6ab415d91377b9b4192738,e336d4c80b55211c0910368bfea6aeb413b6c2f750cdc893b55f9a2a3d69ae5a,a3e703f052d3d9ec8e9965c3aae775ff26d9af157437b03e3f2d078269f46205,3a2a0f9b55808ec8c018503d429cfa7dab895a0716d1797c2191f1405e3c067b,2d943ead34d11e26948c01a1c5fe2bd865ed611285b475eaa06914296514a4cf,e116335c39e339b454efd1ebe7037e0d2c4cb570177d435052083bf388ecf070,b54fab128aef7ca0f50c4ac4919e5a2d5184f8002ea0fb9be118597a705bb2d1,5d582ecde475298a95a574f4870893612caebb139b0b1fd6ebead34ef11020bc
"1","10140101","103","游泳圈游泳（黃）","0","10","2","107511","10140","0","0","0"
"1","10140102","102","游泳圈游泳（藍）","0","15","2","107611","10140","0","0","0"
"1","10140103","103","游泳圈游泳（黃）","0","10","1","107711","10140","0","0","0"
"1","10140106","102","游泳圈游泳（藍）","0","10","2","108011","10140","0","0","0"
"1","10140107","101","游泳圈游泳（粉）","0","10","2","110011","10140","0","0","0"
"1","10140108","101","游泳圈游泳（粉）","0","10","1","110111","10140","0","0","0"
"1","10140109","103","游泳圈游泳（黃）","0","3","1","110311","10140","0","0","0"
"1","10140110","102","游泳圈游泳（藍）","0","10","2","110411","10140","0","0","0"
"1","10140111","102","游泳圈游泳（藍）","0","10","2","110511","10140","0","0","0"
"1","10140112","101","游泳圈游泳（粉）","0","50","2","110611","10140","0","0","0"
"1","10140113","102","游泳圈游泳（藍）","0","5","1","113111","10140","0","0","0"
"1","10140114","102","游泳圈游泳（藍）","0","5","1","113211","10140","0","0","0"
"1","10140115","102","游泳圈游泳（藍）","0","5","1","113311","10140","0","0","0"
"1","10140116","102","游泳圈游泳（藍）","0","10","2","113411","10140","0","0","0"
"1","10140117","102","游泳圈游泳（藍）","0","10","2","113511","10140","0","0","0"
"1","10140118","102","游泳圈游泳（藍）","0","10","2","113611","10140","0","0","0"
"1","10140119","102","游泳圈游泳（藍）","0","5","1","115711","10140","0","0","0"
"1","10140120","101","游泳圈游泳（粉）","0","10","2","117011","10140","0","0","0"
