590adad80bf8a7e762a584bf2becd92ec5bf86c83d887a826659aaa8fd955350,3d1ca6dee08d062982fabfc0b9841101c94f0d63aa64b7abf46a2fcb9fc4d6ac,89834a47f5482761bee9b911b246db448d8957b730b2bf940cbccbea7dddd6ae,7288df0c2f927cef1d1b40e9ecbebc883e498f1bce7a517e273eddc4337b0cc4,33752f97b5e4307a3408b4929fee6a5173f3c141d7294eaf5f7aba2d8261ac78,357331e908841abcfd8bc7b1a81de83984c12feed7cf6da9dcab4d27e650029d,fe8c9387578321287bf2f845d50c41baee6d15f4debefe71be3246a7a2042168,5774388bcc1c459f4aaaacd7e4ff77d50f1165a6be2eec3c0a8b5535f0ce8dd6,5540bb64e04b4d5155f950a3c92534f5bd0e2f12f9c1928ee9fb6be124acd497
"2","1","100101","2","3","2","6","3","1"
"1","3","100201","1","2","1","5","3","2"
"1","1","100301","2","3","3","7","2","3"
"2","1","100401","2","3","2","13","2","3"
"2","2","100501","3","1","2","18","3","2"
"1","1","100601","3","2","2","25","3","2"
"2","3","100701","1","2","3","26","3","2"
"2","3","100801","1","1","3","40","2","3"
"1","1","100901","3","3","3","34","2","2"
"1","3","101001","1","2","1","8","3","2"
"3","2","101101","1","2","2","56","3","2"
"3","1","101201","2","3","2","43","1","2"
"1","1","101301","3","1","2","33","3","3"
"1","3","101401","2","1","1","11","2","2"
"1","3","101501","1","2","1","42","2","3"
"3","2","101601","1","1","2","46","3","3"
"3","1","101701","2","1","2","10","3","2"
"1","3","101801","2","1","1","45","2","3"
"2","2","102001","2","3","1","12","3","1"
"1","1","102101","2","2","1","30","3","3"
"3","1","102201","2","2","1","24","1","3"
"2","1","102301","3","3","2","31","3","1"
"3","3","102501","1","1","1","29","2","2"
"2","3","102601","1","2","1","51","3","1"
"2","2","102701","1","3","3","36","1","3"
"2","2","102801","1","1","1","28","2","3"
"2","2","102901","1","2","1","52","3","2"
"1","2","103001","2","1","2","39","3","3"
"2","3","103101","1","3","3","27","2","1"
"2","3","103201","1","3","2","19","1","2"
"1","2","103301","2","3","2","48","3","1"
"2","2","103401","3","2","1","20","1","2"
"2","3","103601","3","1","3","14","1","2"
"2","1","103701","3","1","3","17","2","3"
"1","3","103801","3","2","3","49","2","1"
"3","2","104001","3","2","1","44","1","1"
"2","3","104201","2","1","3","53","2","2"
"3","1","104301","1","3","3","9","2","2"
"1","3","104401","2","3","3","23","2","1"
"1","2","104501","3","2","1","38","2","2"
"3","3","104601","1","2","2","21","2","1"
"3","1","104701","3","1","3","15","2","2"
"3","1","104801","2","2","3","22","1","3"
"2","2","104901","1","3","1","55","2","2"
"3","2","105001","2","1","1","47","3","2"
"3","3","105101","2","1","3","35","1","1"
"2","2","105201","1","2","2","50","3","2"
"2","1","105301","1","3","3","37","2","3"
"3","2","105401","1","2","2","54","3","1"
"1","2","105501","3","3","1","41","2","1"
"3","1","105601","1","2","3","32","3","2"
"2","1","105701","2","2","1","67","3","2"
"2","2","105801","1","2","2","1","3","2"
"1","3","105901","2","2","1","2","2","2"
"3","2","106001","3","1","3","3","2","1"
"2","1","106101","2","3","2","58","3","2"
"2","1","106301","2","3","1","68","3","1"
"2","1","106401","3","2","1","4","3","2"
"2","1","106501","3","1","3","61","3","2"
"2","3","106601","3","1","2","62","3","1"
"1","2","106701","2","1","3","60","2","2"
"2","1","106801","3","1","1","57","1","2"
"1","3","107001","2","2","3","59","1","1"
"2","1","107101","2","2","3","16","1","3"
"1","2","109201","2","2","1","70","2","2"
"3","2","109301","1","2","2","72","3","2"
"3","1","109401","2","1","3","71","2","3"
"3","1","110801","2","2","1","64","2","2"
"2","2","110901","1","1","2","65","2","3"
"1","3","111001","2","1","3","63","3","1"
"3","2","111401","3","2","2","69","2","1"
"3","3","118001","2","1","2","66","1","2"
