dd4268a45b88e1130182f46cc63568455f0004744a0eedc7c8a6d1a75642a45b,165c821a1d9e611ec3e9391e6756295a4097c6c44199fbaa8ef1ab21aaf9af4e,7db015f8d636f4590f42895fc0393d2b93f448f1370194cfd21d62eb3fb714b4,1bf5af2e3684c335091526ba51332a6fcf293c03ed7b114b669a7af59b358846,b1c5d4eecdfa0015f2cf3753184483573accba0eb205722108f353bb799920ed,b2d49d76deefeb9388052db18abf54d6487fe0c1acd91b240c579e214bed243f,2580e584fafaf87092788947808845f6e9cbd454423b4cea2f4a89af34e178b1,a6cf5d59bb1e50e9822310a78f3e8b369ac16d95c717e6903b8150727652937a,70bf4865e85960850f0c7354406ae49fbe49d40845149c83330854ed6582243c,fe3d34432083a238c1a0802d9842316f5bbe147e520d8b38dbf3a59c6441b516,2121a21824f9a98b9fb93d7c4d7c2cf35fad3132aed68520257bbc2b70a77cd3,a356ffd47884044ebf305600ca4e9cc93418115c8e186c8182cc5d030fb38753,2710d6bb111aa6ea58ce112fa099d1e580d494085e2462a1e83b1ff3539504b3,f806a77df33a8daae41593c559c231fbf0919affaf3d417acf5af7396ad83c49,5475410774f87b687d36f012f65952cd74da5f2f63f1fd79b76c74f9c2711571,cb40145e2672e0abad41039872f7c4ef9232d2c480c3a93bc6267ccefc23ea58,3a621729329eed680b9d0987ff5e9021caf4a0a3c4a7f3064cb68968aa341910,c7fe314f1c99b20cef6ff79a194cf320abd5ab9cd3d2bcff3cdd301e667822c9,482cc218539226912404fa055c0ab81cfd3cbf2e9d4a20b109fcc5e67cbc8f5b
"","0","5010321","5","0","0","10010","2","0","0","0","90","1.5","610010004","1","610010401","0","0","0"
"","0","5010322","5","108","0","10010","3","0","0","0","90","1.5","610010005","2","610010402","0","0","0"
"","0","0","5","0","0","10010","1","0","0","0","90","1.5","610010006","3","0","0","0","0"
"","0","5011322","5","0","0","10011","1","0","0","0","90","1.5","610011004","1","0","0","70","5011321"
"","0","5011323","5","0","0","10011","1","0","0","0","90","1.5","610011005","2","0","0","40","0"
"","0","0","5","0","0","10011","1","0","0","0","90","1.5","610011006","3","0","0","0","0"
"","0","5012321","5","0","3","10012","2","0","0","600","90","1.5","610012004","1","610012401","1","0","0"
"","0","5012322","5","0","0","10012","1","0","0","0","90","1.5","610012005","2","0","1","51","0"
"","0","0","5","0","0","10012","1","0","0","0","90","1.5","610012006","3","0","1","0","0"
"","50","5013321","5","0","3","10013","2","0.9","0","600","90","1.5","610013004","1","610013401","1","0","0"
"","84","5013322","5","0","0","10013","1","1","0","0","90","1.5","610013005","2","0","0","50","0"
"","84","0","5","0","0","10013","1","1","0","0","90","1.5","610013006","3","0","0","0","0"
"","1","5015321","5","0","3","10015","2","0.9","0","600","90","1.5","610015004","1","610015401","1","0","0"
"","-50","5015322","5","0","0","10015","1","1.3","0","0","90","1.5","610015005","2","0","1","50","0"
"","-50","0","5","0","0","10015","1","1.3","0","0","90","1.5","610015006","3","0","1","0","0"
"","50","5017321","5","0","3","10017","2","0.9","0","600","90","1.5","610017004","1","610017401","1","0","0"
"","84","5017322","5","0","0","10017","1","1","0","0","90","1.5","610017005","2","0","1","50","0"
"","84","0","5","0","0","10017","1","1","0","0","90","1.5","610017006","3","0","1","0","0"
"","-50","5019322","5","200","0","10019","4","1.25","0","0","90","1.5","610019004","1","610019401","1","0","5019321"
"","-50","5019323","5","0","0","10019","1","1.25","0","0","90","1.5","610019005","2","0","1","50","0"
"","-50","0","5","0","0","10019","1","1.25","0","0","90","1.5","610019006","3","0","1","0","0"
"","0","5021322","5","0","0","10021","1","1","0","0","90","1.5","610021004","1","0","1","60","5021321"
"","0","5021323","5","30","0","10021","3","1","0","0","90","1.5","610021005","2","0","1","0","0"
