81707e9e2344a55a59fd167ebbdb6d1725d2e053f8c7c4fa9957353b47931b76,67892b1847d36e9da2f76aba8bb6862aae11d01f321e4f27cb1aeabf3a1840ef,a26c0271b21167105c83604758348bebff09061647bbbe671197f2225f116799,54f05940f7af27c5317c81b46362082001f995425e5105346834198b6c59f85f,41ea23efaf4008c40c776e01306cef1ed62354fc300315ef1e789e4341170d5b,e9f2da13e6ded0663423b5b2ac2236efd060c1fd73c33c08ca35ddf8d0a5c2fa,c837aa43ad89ebd6288301b0aa70a78d8a39c659ddd94fedcb62db8e752edb09,dea19d1fe376aa3d7fc7a78853ac54d14172d545c2dd5d81798bd175abf43aa4,8f72d76a363ce71395c95aec282cc4716ee1c962d293d28b960e6f8eab89a66c,a21c7b4a473f80739ea82d6f710858e866319095eb5c9df29bc854e42a46249f
"序幕","令人懷念的往日結晶","10110","0","0","5110601","0","0","10138104","0"
"尾狗刀的懷想　其一","誰才是隊長！","10110","91002","30","5110602","1","8","10138104","0"
"尾狗刀的懷想　其二","想獲勝的理由","10110","91002","30","5110603","1","8","10138105","0"
"克莉絲提娜的懷想　其一","善於傾聽的誓約女君","10110","91002","30","5110604","1","8","10138108","0"
"大吾的懷想　其一","隱藏的真正實力……？","10110","91002","30","5110605","1","8","10138109","0"
"拉比林斯達的懷想　其一","寫作朋友，讀作對手","10110","91002","30","5110606","1","8","10138110","0"
"真軌的懷想","惡與正義的放聲大笑","10110","91002","30","5110607","1","8","10138112","0"
"拉基拉基的懷想　其一","所謂的公主騎士","10110","91002","30","5110608","1","8","10138113","0"
"尾狗刀的懷想　其三","遙想未來的日子","10110","91002","30","5110609","1","8","10138114","0"
"拉基拉基的懷想　其二","跳躍王的懲罰","10111","91002","30","5111602","1","8","10139103","0"
"克莉絲提娜的懷想　其二","兩人一起絕對能做到","10111","91002","30","5111603","1","8","10139105","0"
"大吾的懷想　其二","踩虎尾","10111","91002","30","5111604","1","8","10139108","0"
"拉比林斯達的懷想　其二","最可疑的七冠是誰","10111","91002","30","5111605","1","8","10139109","0"
"似似花的懷想","過於簡單的問題","10111","91002","30","5111606","1","8","10139110","0"
"尾狗刀的懷想　其四","魔物使如是說","10111","91002","30","5111607","1","8","10139113","0"
"尾狗刀的懷想　其五","惡徒們追尋的未來","10111","91002","30","5111608","1","8","10139113","0"
"終幕","超越過去，創造回憶","10111","9000222","1","5111609","0","16","0","1"
