0d48af850cfdb9232829098f691bb489d775b12f5cbb52dbd5bbd5a79a679290,a449c2131cca8e94bd58f70f67fc4c3b4d38a598b0e57062bd5a5da318d5013e,02855a81c7692f9498c4222db22c87030d5651ba0b62683c7c65dda81f2b61bc,2495828c0dac7e5edd5a79509644622bcd19a21ad9899fe6cfac635f4940f837,5e11ea570827a51c34d7b819442d133de3a00072d8bb6cd537c3e9b34e7dd714,f1d4beae52917285f720ee56ed3b5449fb97555fc2d371fd04f32a5794246a3b,ebd94347d6ce6a35f2ff255d8888a22effb9bcdfa2b41d5729f19f0bded08657,02af7d1bd25aec4cc21998ff562a3572bd7a8ef2ec71ec54a0f0b850062df502,49a0a31296435755e5f589f3836b01f205a0688fdb58e35bf46dd40ad257fd46,c1b2b9cbc96d9007e69352622ebc05b56e22f5afa176adbac5dc2afd9b9d930a,229311fb5c4848a0834ba8345148c61eb4e2744acf347fb73621143561e6aba9
"25021","25014","2","91002","1","8","8","10","31","284001001","2"
"25021","25014","2","91002","2","8","8","10","31","284001002","2"
"25021","25014","2","91002","3","8","8","10","32","284001003","2"
"25021","25014","2","91002","4","8","8","10","32","284001004","2"
"25021","25014","2","91002","5","8","8","10","33","284001005","2"
"25021","25014","2","91002","6","8","9","10","33","284001006","2"
"25021","25014","2","91002","7","8","9","10","34","284001007","2"
"25021","25014","2","91002","8","8","9","10","35","284001008","2"
"25021","25014","2","91002","9","8","9","10","35","284001009","2"
"25021","25014","2","91002","10","8","10","30","37","284001010","2"
"25021","25014","2","91002","11","8","10","10","41","284001011","2"
"25021","25014","2","91002","12","8","11","10","43","284001012","2"
"25021","25014","2","91002","13","8","11","10","46","284001013","2"
"25021","25014","2","91002","14","8","12","10","48","284001014","2"
"25021","25014","2","91002","15","8","12","10","50","284001015","2"
"25021","25014","2","91002","16","8","13","10","53","284001016","2"
"25021","25014","2","91002","17","8","14","10","55","284001017","2"
"25021","25014","2","91002","18","8","14","10","58","284001018","2"
"25021","25014","2","91002","19","8","15","10","60","284001019","2"
"25021","25014","2","91002","20","8","15","30","62","284001020","2"
"25021","25014","2","91002","21","8","16","10","68","284001021","2"
"25021","25014","2","91002","22","8","16","10","70","284001022","2"
"25021","25014","2","91002","23","8","16","10","72","284001023","2"
"25021","25014","2","91002","24","8","17","10","75","284001024","2"
"25021","25014","2","91002","25","8","18","10","77","284001025","2"
"25021","25014","2","91002","26","8","18","10","79","284001026","2"
"25021","25014","2","91002","27","8","19","10","82","284001027","2"
"25021","25014","2","91002","28","8","19","10","84","284001028","2"
"25021","25014","2","91002","29","8","19","10","86","284001029","2"
"25021","25014","2","91002","30","8","20","30","89","284001030","2"
"25021","25014","2","91002","31","8","20","10","94","284001031","2"
"25021","25014","2","91002","32","8","21","10","96","284001032","2"
"25021","25014","2","91002","33","8","21","10","99","284001033","2"
"25021","25014","2","91002","34","8","22","10","101","284001034","2"
"25021","25014","2","91002","35","8","22","10","103","284001035","2"
"25021","25014","2","91002","36","8","23","10","106","284001036","2"
"25021","25014","2","91002","37","8","23","10","108","284001037","2"
"25021","25014","2","91002","38","8","24","10","111","284001038","2"
"25021","25014","2","91002","39","8","25","10","113","284001039","2"
"25021","25014","2","91002","40","8","25","30","115","284001040","2"
"25021","25014","2","91002","41","8","26","10","121","284001041","2"
"25021","25014","2","91002","42","8","27","10","123","284001042","2"
"25021","25014","2","91002","43","8","28","10","125","284001043","2"
"25021","25014","2","91002","44","8","28","10","128","284001044","2"
"25021","25014","2","91002","45","8","29","10","130","284001045","2"
"25021","25014","2","91002","46","8","30","10","132","284001046","2"
"25021","25014","2","91002","47","8","30","10","135","284001047","2"
"25021","25014","2","91002","48","8","31","10","137","284001048","2"
"25021","25014","2","91002","49","8","31","10","139","284001049","2"
"25021","25014","2","91002","50","8","31","30","142","284001050","2"
"25021","25014","2","91002","51","8","32","10","144","284001051","2"
"25021","25014","2","91002","52","8","32","10","146","284001052","2"
"25021","25014","2","91002","53","8","32","10","149","284001053","2"
"25021","25014","2","91002","54","8","33","10","152","284001054","2"
"25021","25014","2","91002","55","8","33","10","155","284001055","2"
"25021","25014","2","91002","56","8","33","10","157","284001056","2"
"25021","25014","2","91002","57","8","34","10","160","284001057","2"
"25021","25014","2","91002","58","8","34","10","163","284001058","2"
"25021","25014","2","91002","59","8","34","10","166","284001059","2"
"25021","25014","2","91002","60","8","35","30","169","284001060","2"
"25021","25014","2","91002","61","8","35","10","171","284001061","2"
"25021","25014","2","91002","62","8","35","10","174","284001062","2"
"25021","25014","2","91002","63","8","36","10","177","284001063","2"
"25021","25014","2","91002","64","8","36","10","180","284001064","2"
"25021","25014","2","91002","65","8","36","10","182","284001065","2"
"25021","25014","2","91002","66","8","37","10","185","284001066","2"
"25021","25014","2","91002","67","8","37","10","187","284001067","2"
"25021","25014","2","91002","68","8","37","10","190","284001068","2"
"25021","25014","2","91002","69","8","38","10","193","284001069","2"
"25021","25014","2","91002","70","8","38","30","196","284001070","2"
