116a681aa3d74f7cad72d09158b632cdbd78bc2a2e5c62e9035e5518b52b9633,c66396578443b873f96066603f228e00179dedaef8f90754d60511e99e26fefc,aa85ac65eb9ac9d74236ce4e7960ffdc742142ca883e984c07d7ffe8482280fb,8f96cf6509301e30f1525f4b285b65224015ae534710b6c2b02d5cbae25c8ad7,7dd06d0b57b52c5936bea0f1a3911dd98f54cc59e1824f57da862be8a88450d7,a2212c75b9b4c7937705fea301aee863e19f662679a5e7a09abd3e17fb3e2541,936c318fb19c8061aa372dd8ef9cfb45ec62db4d4fd13a10d8088757dcbcb357,0942c8974b44eaf5e2f4acdea225b769bbeb4f3e3567529eaf756268baeb60c8,f3f7cbf4abbc1e70e6a0f78e9362028a0b3fb54022dd62563c0267b10dd6fd2a,872887c06e9c441f8ec39e3159769f645bd773bcc6d88d3ff85858bfff003501,d53eeb47bc747b501afa273238d8b99ac7481b0dbb0b06bab18ddfa8b45285e9,001d60d28938617e25618fd2bea417f5e8837518cb0dc3be36df2a727578b913,7e82158b86cfae1e1be9a1f6fde5970ca39ff3d5c6f51446cfc2c027be3eff12,522b67b4461b4cb214dacd9f5f960f4d758aadd901aff357cc574379bee514bc,473346ecbecfabe798832df3e20222d32716d52afdcb9065a13f1e425d2fc02b,1c01a282f3480771ea896f23b45413ec67aa5a9e6395478c2d13aa606d0d15ee,3ec7ea743ad2bd0fc163c6313f6dc5c0bb9a08cd50683bac8fdf12def0c81fa6,0c3f571d484f5d30527d9e82dd601fdd79d5a888e813696d10836dd60c3f24c3,86d4277234267ed391b3223b7edb1097446847369de79c2a2739fddf5a97b45c,9af4bd37f77c5f323b4ae9ff0df6891f0a65229d97e15bb6e03f7ca0a981e92b,1ce905314c01132ca2750f3f081570d82819da2e0051cd16b9c2d5904a345c4d
"NONE","SummerEnemyC","0","BeachJumpOverTrap","NONE","1000","0","AccelBoardA","0","0","NONE","1800","NONE","SpeedTerritoryA","SummerEnemyA","0","3100","1000","600","NONE","2500"
"NONE","SpeedTerritoryA","0","AccelBoardA","NONE","800","0","AccelBoardA","0","0","NONE","1300","NONE","WaterMelon","SummerEnemyB","0","3000","1001","500","NONE","2000"
"NONE","SpeedTerritoryA_NoColl","0","BeachTrap_NoCall","NONE","1000","0","SummerEnemyA_NoColl","0","0","NONE","1300","NONE","EnemyB_NoColl","Balloon","0","2000","1002","400","NONE","1600"
"NONE","EnemyB","0","AccelBoardA","NONE","1500","0","AccelBoardA","0","0","NONE","2300","NONE","BeachJumpOverTrap","BeachJumpOverTrap","0","3300","1003","700","NONE","3000"
"NONE","BeachJumpOverTrap","0","NONE","NONE","1300","0","SummerEnemyA","0","0","NONE","1900","NONE","SpeedTerritoryA","BeachJumpOverTrap","0","0","1004","800","NONE","2700"
"NONE","SpeedTerritoryA","0","SummerEnemyB","NONE","1500","0","SummerJumpOverEnemyC","0","0","NONE","2000","NONE","AccelBoardA","BeachJumpBoard","0","3300","1005","300","NONE","2600"
"NONE","BeachTrap","0","AccelBoardA","NONE","1300","0","BeachTrap","0","0","BeachTrap","1800","NONE","BeachJumpOverTrap","SummerEnemyA","3700","3000","1006","700","NONE","2500"
"NONE","BeachJumpOverTrap","0","BeachJumpOverTrap","NONE","1300","0","SummerEnemyB","0","0","NONE","1800","NONE","SummerEnemyB","AccelBoardA","0","3100","1007","500","NONE","2400"
"NONE","SummerEnemyB","0","BeachJumpOverTrap","NONE","1100","0","BeachJumpBoard","0","0","SummerEnemyB","2300","NONE","AccelBoardA","AccelBoardA","3700","3400","1008","500","NONE","2700"
"NONE","SummerEnemyA_NoColl","0","BeachJumpOverTrap","NONE","1000","0","BeachTrap_NoCall","0","0","SpeedTerritoryA","2000","NONE","BeachJumpOverTrap","Balloon","3700","3300","1009","400","NONE","2900"
"NONE","BeachJumpOverTrap","0","BeachJumpOverTrap","NONE","1400","0","SpeedTerritoryA","0","0","NONE","2200","NONE","EnemyB","BeachJumpOverTrap","0","3500","1010","400","NONE","3000"
"NONE","BeachJumpBoard","0","SummerEnemyA","NONE","900","0","SpeedTerritoryA","0","0","AccelBoardA","1500","NONE","BeachJumpOverTrap","SummerEnemyD","3300","2800","1011","400","NONE","2400"
"NONE","SpeedTerritoryA_NoColl","0","EnemyB","NONE","1200","0","SpeedTerritoryA_NoColl","0","0","NONE","2200","NONE","BeachJumpBoard","Balloon","0","3750","1012","300","NONE","2850"
"NONE","BeachTrap","0","BeachTrap","NONE","1400","0","AccelBoardA","0","0","NONE","2100","NONE","SummerEnemyD","SpeedTerritoryA","0","3300","1013","900","NONE","2600"
"NONE","BeachTrap","0","BeachJumpOverTrap","NONE","1400","0","SpeedTerritoryA","0","3500","AccelBoardA","1800","NONE","SummerJumpOverEnemyB","WaterMelon","3000","2600","1014","400","SummerJumpOverEnemyB","2200"
"NONE","SpeedTerritoryA_NoColl","0","SummerEnemyB","NONE","1100","0","SummerEnemyA_NoColl","0","0","NONE","1900","NONE","BeachTrap_NoCall","Balloon","0","3700","1015","600","NONE","2500"
"NONE","AccelBoardA","0","NONE","NONE","1400","0","EnemyB","0","0","NONE","2300","NONE","BeachTrap","AccelBoardA","0","0","1016","600","NONE","3300"
"NONE","WaterMelon","0","BeachTrap","NONE","1200","0","EnemyB","0","0","NONE","1600","NONE","AccelBoardA","AccelBoardA","0","3300","1017","400","NONE","2500"
"NONE","Balloon","0","SummerEnemyA_NoColl","NONE","900","0","BeachTrap","0","0","EnemyB_NoColl","1100","NONE","EnemyB_NoColl","BeachTrap","2900","2400","1018","600","NONE","1900"
"NONE","BeachTrap","0","AccelBoardA","NONE","1200","0","BeachTrap","0","0","BeachTrap","2000","NONE","SummerEnemyA","BeachTrap","3800","3000","1019","500","NONE","2500"
"NONE","BeachTrap","0","BeachTrap","NONE","900","0","BeachJumpBoard","0","3700","SummerEnemyD","1900","NONE","BeachTrap","AccelBoardA","3100","2700","1020","400","SummerEnemyD","2300"
"NONE","SummerEnemyA_NoColl","0","AccelBoardA","NONE","700","0","Balloon","0","0","NONE","1550","NONE","BeachTrap_NoCall","EnemyB","0","3400","1021","400","NONE","2400"
"NONE","BeachTrap","0","SpeedTerritoryA","NONE","1200","0","BeachTrap","0","0","NONE","1800","NONE","AccelBoardA","SummerEnemyB","0","3400","1022","800","NONE","2500"
"NONE","SummerJumpOverEnemyC","0","BeachTrap","NONE","1000","0","BeachTrap","0","0","BeachTrap","1500","NONE","WaterMelon","SummerEnemyC","3500","3000","1023","500","NONE","2000"
"NONE","SummerEnemyA_NoColl","0","EnemyB_NoColl","NONE","600","0","Balloon","0","3700","BeachTrap","1300","NONE","SpeedTerritoryA_NoColl","SummerEnemyB","3200","2300","1024","400","SummerJumpOverEnemyC","1800"
"NONE","AccelBoardA","0","AccelBoardA","NONE","1300","0","AccelBoardA","0","0","NONE","2000","NONE","AccelBoardA","EnemyB","0","3400","1025","900","NONE","2700"
"NONE","WaterMelon","0","NONE","NONE","800","0","AccelBoardA","0","0","NONE","1500","NONE","BeachJumpBoard","EnemyB","0","0","1026","400","NONE","2500"
"NONE","Balloon","0","SummerEnemyA_NoColl","NONE","630","0","BeachTrap","0","0","BeachJumpBoard","700","NONE","EnemyB_NoColl","SpeedTerritoryA","3100","2600","1027","400","NONE","1700"
"NONE","SummerEnemyD","0","AccelBoardA","NONE","1400","0","AccelBoardA","0","0","NONE","2300","NONE","BeachTrap","SpeedTerritoryA","0","3200","1028","600","NONE","2700"
"NONE","SpeedTerritoryA","0","NONE","NONE","1000","0","BeachTrap","0","0","NONE","1700","NONE","WarpGateA","SummerEnemyC","0","0","1029","500","NONE","2500"
"NONE","AccelBoardA","0","BeachTrap","NONE","1500","0","AccelBoardA","0","0","SpeedTerritoryA","2000","NONE","BeachTrap","WaterMelon","3500","2800","1030","500","NONE","2500"
"NONE","SpeedTerritoryA_NoColl","0","SummerEnemyD","NONE","1200","0","SpeedTerritoryA_NoColl","0","0","AccelBoardA","2200","NONE","BeachTrap","Balloon","3500","3200","1031","350","NONE","2900"
"NONE","SummerEnemyA","0","NONE","NONE","1500","0","SummerEnemyA","0","0","NONE","3000","NONE","NONE","AccelBoardA","0","0","1032","700","NONE","0"
"NONE","SummerEnemyA","0","NONE","NONE","1400","0","AccelBoardA","0","0","NONE","2200","NONE","SpeedTerritoryA","BeachTrap","0","0","1033","700","NONE","3100"
"NONE","SummerJumpOverEnemyC","0","SummerJumpOverEnemyA","NONE","1000","0","BeachJumpOverTrap","0","0","SpeedTerritoryB","2000","NONE","SummerJumpOverEnemyD","BeachTrap","3500","3000","1034","500","NONE","2500"
"NONE","BeachTrap","0","EnemyB_NoColl","NONE","800","0","SummerEnemyC","0","3100","BeachTrap_NoCall","1200","NONE","Balloon","BeachJumpOverTrap","2700","2300","1035","400","EnemyB_NoColl","1500"
"NONE","BeachTrap","0","NONE","NONE","1200","0","SpeedTerritoryA","0","0","NONE","2700","NONE","NONE","AccelBoardA","0","0","1036","500","NONE","0"
"NONE","BeachTrap","0","NONE","NONE","1000","0","AccelBoardA","0","0","NONE","2000","NONE","AccelBoardA","SummerEnemyD","0","0","1037","500","NONE","3000"
"NONE","AccelBoardA","0","AccelBoardA","NONE","1000","0","WaterMelon","0","0","AccelBoardA","2200","NONE","EnemyB","SpeedTerritoryB","3500","3000","1038","500","NONE","2700"
"NONE","WarpGateA","0","NONE","NONE","1700","0","BeachTrap","0","0","NONE","2500","NONE","NONE","SpeedTerritoryA","0","3100","1039","800","NONE","2400"
"NONE","SummerJumpOverEnemyA","0","WarpGateA","NONE","1000","0","SummerEnemyC","0","0","NONE","1400","NONE","SummerJumpOverEnemyA","EnemyB","0","2500","1040","500","NONE","1800"
"NONE","AccelBoardA","0","AccelBoardA","NONE","1500","0","BeachTrap","0","0","NONE","2000","NONE","SummerEnemyC","BeachTrap","0","3300","1041","1000","NONE","2800"
"NONE","AccelBoardA","0","SummerJumpOverEnemyA","NONE","900","0","BeachTrap","0","0","AccelBoardA","1300","NONE","WaterMelon","BeachTrap","3300","2700","1042","500","NONE","1800"
"NONE","AccelBoardA","0","BeachTrap","NONE","1100","0","SummerEnemyB","0","0","NONE","1500","NONE","SummerEnemyC","AccelBoardA","0","2700","1043","500","NONE","2200"
"NONE","BeachJumpBoard","0","NONE","NONE","1400","0","SummerEnemyB","0","0","NONE","2300","NONE","SpeedTerritoryB","AccelBoardA","0","0","1044","500","NONE","3300"
"NONE","AccelBoardA","0","NONE","NONE","1900","0","AccelBoardA","0","0","NONE","2300","NONE","AccelBoardA","EnemyB","0","0","1045","1280","NONE","2700"
"NONE","AccelBoardA","0","BeachJumpBoard","NONE","900","0","AccelBoardA","0","0","NONE","1300","NONE","EnemyB","AccelBoardA","0","2500","1046","400","NONE","2000"
"NONE","WarpGateA","0","NONE","NONE","1500","0","AccelBoardA","0","0","NONE","2400","NONE","NONE","SpeedTerritoryB","0","0","1047","700","NONE","0"
"NONE","BeachTrap","0","NONE","NONE","1600","0","AccelBoardA","0","0","NONE","2500","NONE","BeachTrap","SummerEnemyD","0","0","1048","550","NONE","3100"
