5940519f5ddde2bb734025e1dac8ef2811f8db112ee231ccd249ac0a0f0d0ead,d040bd1ff1326e3269e0188e86bfb1067c49cbebf7a1b1f79e10a3e9ae5b5e15,dd5c84fb3f5d77e69c78787244c5258d665459530168aef52251283d6a2e5701,c2de7396b20a9904bf90851e7607e046bf55da6f9b0e82efe0e27ea892fb590c,a9fbcc838393db20632273ec36403409e98391a047b9eaa67ded35fddd4a41b6,c4b4e4879d0e14d6217c8e54699947654634a3bbd5b10c952a2aeaab7d1048a6
"1","10008001","10008103","10008","1","0"
"1","10008002","10008104","10008","2","0"
"1","10008003","10008105","10008","3","0"
"1","10008004","10008107","10008","4","0"
"1","10008005","10008111","10008","5","0"
"2","10008006","0","10008","201","0"
"201","10008201","10008105","10008","101","0"
"201","10008202","10008107","10008","102","0"
"201","10008203","10008111","10008","103","0"
"202","10008204","10008115","10008","111","0"
"101","10008301","0","10008","105601","0"
"101","10008302","10008103","10008","100901","0"
"101","10008303","10008104","10008","101301","0"
"101","10008304","10008105","10008","105601","0"
"101","10008305","10008107","10008","101301","0"
"101","10008306","10008111","10008","100901","0"
"102","10008307","0","10008","105601","0"
"2","10010001","0","10010","201","0"
"1","10010002","10010112","10010","2","0"
"1","10010003","10010115","10010","3","0"
"1","10010004","10010103","10010","4","0"
"1","10010005","10010105","10010","5","0"
"1","10010006","10010107","10010","6","0"
"1","10010007","10010109","10010","7","0"
"211","10010201","10010112","10010","101","0"
"211","10010202","10010115","10010","0","0"
"501","10010501","10010110","10010","101461","101471"
"501","10010502","10010110","10010","101462","101472"
"501","10010503","10010110","10010","101463","101473"
"3","10010531","1001004","10010","211","0"
"4","10012001","1001201","10012","1","0"
"4","10012002","1001202","10012","2","0"
"4","10012003","1001203","10012","3","0"
"4","10012004","1001204","10012","4","0"
"5","10012301","1001201","10012","101","0"
"5","10012302","1001202","10012","101","0"
"5","10012303","1001203","10012","101","0"
"6","10012401","0","10012","501","0"
"3","10012531","1001204","10012","211","0"
"3","10013531","1001304","10013","211","0"
"3","10015531","1001504","10015","211","0"
"1","10017001","10017102","10017","1","0"
"1","10017002","10017108","10017","2","0"
"1","10017003","10017115","10017","3","0"
"101","10017301","0","10017","105801","0"
"101","10017302","10017102","10017","109901","0"
"102","10017303","0","10017","109901","0"
"3","10017531","1001704","10017","211","0"
"501","10021001","10021112","10021","101921","101931"
"501","10021002","10021112","10021","101922","101932"
"501","10021003","10021112","10021","101923","101933"
"501","10021004","10021112","10021","100011","100351"
"501","10021005","10021112","10021","100012","100352"
"501","10021006","10021112","10021","100013","100353"
"501","10021007","10021112","10021","100014","100354"
"501","10021008","10021112","10021","100015","100355"
"501","10021009","10021112","10021","100016","100356"
"501","10021010","10021112","10021","100017","100357"
"501","10021011","10021112","10021","100018","100358"
"501","10021012","10021112","10021","100019","100359"
"3","10039531","1003904","10039","211","0"
"1","10053001","10053102","10053","1","0"
"1","10053002","10053108","10053","2","0"
"1","10053003","10053115","10053","3","0"
"101","10053301","0","10053","105801","0"
"101","10053302","10053102","10053","109901","0"
"102","10053303","0","10053","109901","0"
"3","10053531","1005304","10053","211","0"
"1","10084001","10084102","10084","1","0"
"1","10084002","10084112","10084","2","0"
"1","10084003","10084115","10084","3","0"
"1","10085001","10085102","10085","1","0"
"1","10085002","10085108","10085","2","0"
"1","10085003","10085115","10085","3","0"
"1","10112001","10112102","10112","1","0"
"1","10112002","10112112","10112","2","0"
"1","10112003","10112115","10112","3","0"
"1","10113001","10113102","10113","1","0"
"1","10113002","10113108","10113","2","0"
"1","10113003","10113115","10113","3","0"
"1","10153001","10153102","10153","1","0"
"1","10153002","10153108","10153","2","0"
"1","10153003","10153115","10153","3","0"
"101","10153301","0","10153","105801","0"
"101","10153302","10153102","10153","109901","0"
"102","10153303","0","10153","109901","0"
"3","10153531","1015304","10153","211","0"
"1","20008001","20008103","20008","1","0"
"1","20008002","20008104","20008","2","0"
"1","20008003","20008105","20008","3","0"
"1","20008004","20008107","20008","4","0"
"1","20008005","20008111","20008","5","0"
"2","20008006","0","20008","201","0"
"201","20008201","20008105","20008","101","0"
"201","20008202","20008107","20008","102","0"
"201","20008203","20008111","20008","103","0"
"202","20008204","20008115","20008","111","0"
"101","20008301","0","20008","105601","0"
"101","20008302","20008103","20008","100901","0"
"101","20008303","20008104","20008","101301","0"
"101","20008304","20008105","20008","105601","0"
"101","20008305","20008107","20008","101301","0"
"101","20008306","20008111","20008","100901","0"
"102","20008307","0","20008","105601","0"
"2","20010001","0","20010","201","0"
"1","20010002","20010110","20010","1","0"
"1","20010003","20010112","20010","2","0"
"1","20010004","20010115","20010","3","0"
"1","20010005","20010103","20010","4","0"
"1","20010006","20010105","20010","5","0"
"1","20010007","20010107","20010","6","0"
"1","20010008","20010109","20010","7","0"
"211","20010201","20010112","20010","101","0"
"211","20010202","20010115","20010","0","0"
"501","20010501","20010110","20010","101461","101471"
"501","20010502","20010110","20010","101462","101472"
"501","20010503","20010110","20010","101463","101473"
"3","20010531","2001004","20010","211","0"
"4","20012001","2001201","20012","1","0"
"4","20012002","2001202","20012","2","0"
"4","20012003","2001203","20012","3","0"
"4","20012004","2001204","20012","4","0"
"5","20012301","2001201","20012","101","0"
"5","20012302","2001202","20012","101","0"
"5","20012303","2001203","20012","101","0"
"6","20012401","0","20012","501","0"
"3","20012531","2001204","20012","211","0"
"3","20014531","2001404","20014","211","0"
"501","20016001","20016112","20016","101921","101931"
"501","20016002","20016112","20016","101922","101932"
"501","20016003","20016112","20016","101923","101933"
"501","20016004","20016112","20016","100011","100351"
"501","20016005","20016112","20016","100012","100352"
"501","20016006","20016112","20016","100013","100353"
"501","20016007","20016112","20016","100014","100354"
"501","20016008","20016112","20016","100015","100355"
"501","20016009","20016112","20016","100016","100356"
"501","20016010","20016112","20016","100017","100357"
"501","20016011","20016112","20016","100018","100358"
"501","20016012","20016112","20016","100019","100359"
"1","20046001","20046102","20046","1","0"
"1","20046002","20046112","20046","2","0"
"1","20046003","20046115","20046","3","0"
"1","20047001","20047102","20047","1","0"
"1","20047002","20047108","20047","2","0"
"1","20047003","20047115","20047","3","0"
