3d290bfa0b7b922546b0f0db934d3196feeabcb445cf77d81f5fadfa5e1ae7e2,deb3be2e104cb4f45ae9ad35aee2fb73d2278460e82e767717345913758a4c7e,a7995d8525507339e7f11615c5783b7da101a80a3222005210bb65006469516f,39ce075fe82765cf7578adc84b477dfda3d0618b34ba11c1c5a14d1b4a58fbcb,8c52bbcd6a04645dcd6e23b202aff924d13235b372c51c3b1629717b5b1f86f9,4048a46d70c4e2d3fa629362fa5a676c53a6d14835e05e6b24815271a46b3f09
"2","200","","100","1","0"
"300","200","","101","2","2"
"100207","201","","200","200","7"
"100206","100900","","200","201","6"
"302","301","","300","300","0"
"100301","302","","301","301","0"
"303","100910","","200","302","1"
"100201","100910","","200","303","2"
"0","0","201","0","100201","0"
"0","0","206","0","100206","0"
"0","0","207","0","100207","0"
"0","0","301","0","100301","0"
"0","0","1","300","100900","0"
"0","0","1","0","100901","0"
"0","0","1,2000","0","100910","0"
