56f0e352da867763730c08c3e6a41bd624b42e7e81cb2f31ab85dc2a56aabff9,e3c1bcfccadcdab01e8709e11cec3d5e368221668303a58373d444a4c2cfb4ed,4e8a199fbd5f4fb0f4cbc9979f0cd615e8345921bf71b9678ab090e162048b3b,5489180349ecd72893cadc1fbff93eb86bdd866308b945743052d724d5c29626
"111","50","700","0"
"113","50","700","0"
"131","50","800","0"
"211","50","700","0"
"213","50","700","0"
"231","50","800","0"
"311","50","700","0"
"312","50","460","-25"
"313","50","700","0"
"331","50","700","0"
"411","50","700","0"
"412","50","700","0"
"413","50","700","0"
"414","0","600","0"
"415","50","460","0"
"416","50","460","0"
"417","50","700","0"
"418","50","700","0"
"419","50","700","0"
"421","50","700","0"
"511","50","700","30"
"512","50","700","30"
"611","50","700","100"
"711","50","700","100"
"712","50","800","0"
"713","50","800","0"
"714","50","800","0"
"715","50","800","0"
"716","50","800","0"
"717","50","700","100"
"718","50","700","100"
"811","50","500","50"
"812","50","1200","0"
"813","50","800","0"
"814","60","800","0"
"815","60","800","0"
"911","50","600","-65"
"912","50","1200","0"
"913","50","800","0"
"914","50","800","0"
"915","55","980","-40"
"916","55","980","-40"
"1011","50","800","0"
"1012","50","800","0"
"1013","50","800","0"
"1031","50","800","0"
"1111","50","800","0"
"1112","50","800","0"
"1131","50","800","0"
"1211","50","590","-60"
"1212","50","460","0"
"1213","50","460","0"
"1214","50","460","0"
"1215","50","600","-15"
"1231","50","800","0"
"1331","50","700","-50"
"1411","50","800","0"
"1412","50","800","0"
"1413","50","800","0"
"1421","50","800","0"
"1511","50","700","100"
"1512","50","700","100"
"1514","50","700","100"
"1515","50","700","100"
"1516","50","700","100"
"1521","50","700","100"
"1611","150","700","-50"
"1612","150","700","-50"
"1613","150","700","-50"
"1614","50","800","0"
"1615","150","700","-50"
"1711","50","800","0"
"1811","50","800","0"
"1911","50","800","0"
"2011","50","800","0"
"2111","50","800","0"
"2211","50","800","0"
"2311","50","800","0"
"2411","50","800","0"
"2415","50","800","0"
"2511","15","970","15"
"2512","50","800","0"
"2513","20","1100","0"
"2514","20","1100","0"
"2611","0","455","0"
"2612","50","800","0"
"2711","50","525","-45"
"2712","50","525","-45"
"2713","50","800","0"
"2811","125","1190","-30"
"2812","125","1190","-30"
"2911","0","460","0"
"2912","50","800","0"
"2913","50","800","0"
"2914","50","800","0"
"2915","50","800","0"
"2931","50","600","0"
"3011","0","460","0"
"3012","50","800","0"
"3013","50","800","0"
"3031","50","600","0"
"3111","0","460","0"
"3112","50","800","0"
"3113","50","800","0"
"3114","50","800","0"
"3131","50","600","0"
"3211","0","460","-20"
"3311","50","600","-40"
"3411","50","460","-30"
"3511","50","700","-60"
"3512","50","800","0"
"3911","50","800","-30"
"4011","30","800","0"
"4111","30","800","0"
"4211","50","600","0"
"4311","50","800","0"
"4312","50","800","0"
"4411","50","800","0"
"4511","60","700","10"
"4512","60","700","10"
"4513","60","700","10"
"4611","50","460","0"
"4711","70","650","-30"
"4811","70","620","0"
"4911","50","800","0"
"5011","50","800","0"
"5012","50","800","0"
"5013","50","800","0"
"5111","50","800","0"
"5112","50","800","0"
"5211","50","800","0"
"5212","50","800","0"
"5413","50","600","0"
"5511","50","800","0"
"5512","50","800","0"
"5611","50","700","0"
"5612","50","800","0"
"5613","50","590","-60"
"5614","50","460","0"
"5615","50","700","0"
"5616","50","700","0"
"5711","50","800","0"
"5712","50","800","0"
"5811","50","800","0"
"5812","50","800","0"
"5911","50","800","0"
"5912","50","800","0"
"6011","50","800","0"
"6012","75","530","0"
"6111","50","700","0"
"6211","70","790","0"
"6311","50","750","-135"
"6312","50","750","-120"
"6411","50","900","0"
"6511","50","670","-50"
"6632","70","800","0"
"6732","70","800","0"
"6832","70","800","0"
