6e3d0a0406b42f887d92eb72156bbec4238935cf8d4a2b5bc0e526c8ca369f19,8d6bcad773e3f9dd0a471c5d64bfeac606064f440553776a8ed234ab32643f6f,fdcd6191dc0ae89a142aa47814f64240c18cfec4973ef9f2dd674f90e19451be,752acbf3e985248d6b8bc1d2d05546692bdd8a36ec7ce3bb480e35f987b21a92,e12417783831df71755b2786a23299a1a4fd9e5a59738153e2a4646455f7475d,d292c0b1a842dde66ba889b26d134922db5051abfec0f652500f4a9de8be244c,03a31cef8f54fe5a6cb68b31812b949889540ca4165861745a6072647aabe41f,084661a1f30a4834cc1659114c9252d443d5092e188e8a52c7549debb5a1a7cc,dde0a3a1cc3e055c1d174c1e4217112cd86fb1a842a14a95df72b2f0de4feb5d,7552999090fafa28f7680e24d1fab43f12c5c7df363a0895f5429c0a5891c0de,c47e1504f111a1780311a8d665c218fc5b2855ecd13a5a6ffa1091c888b8180d,93206c3324abd83eb33f0594fd04f5e99cbae040682f5fd35cd7291613d6b4c5,0938b36ffadb8cd28bc1f213d506888be3255958130a9a149e86eb7b9e65522e,dec3dea9140b66fc370997db5a35903a8136019168bd265f5f880852e5062ad7,96341aeecfd5fef8c3cfa8c3d05cb5dd7eba9812d02e92de24464720d82fabfd,2e133a23f0ff106182fc5c4bae1aa196f10448cfcbe5e225daf9749d2913684d,d9e9e078834d1461f39ce318d6e84a40cf7ed1755af547bdaae0f14bf5b8e748,60dcaa7ae5603218167155f814c75205684dc3b84c66a2ea9e24404886a422d1
"150","20","0","12","1","8","0","0","20003","2","1","150000","94002","91002","2","5","5","22003"
"145","15","0","12","6","8","0","0","20003","2","2","100000","94002","91002","2","9","2","22003"
"140","11","0","12","10","8","0","0","20003","2","3","80000","94002","91002","2","19","5","22002"
"130","10","0","12","20","8","0","0","20003","2","4","80000","94002","91002","2","29","5","22002"
"120","9","0","12","30","8","0","0","20003","2","5","70000","94002","91002","2","39","4","22002"
"110","8","0","12","40","8","0","0","20003","2","6","70000","94002","91002","2","49","4","22002"
"100","7","0","12","50","8","0","0","20003","2","7","60000","94002","91002","2","99","3","22002"
"80","2","0","12","100","8","0","0","20003","2","8","40000","94002","91002","2","499","2","22002"
"50","7","0","12","500","8","0","0","20002","2","9","20000","94002","91002","2","999","1","22002"
"20","4","0","12","1000","8","0","0","20002","2","10","16000","94002","91002","2","4999","3","22001"
"15","3","0","12","5000","8","0","0","20002","2","11","9000","94002","91002","2","9999","2","22001"
"10","8","0","12","10000","8","0","0","20001","2","12","4000","94002","91002","2","11999","1","22001"
"5","7","0","12","12000","8","0","0","20001","2","13","3000","94002","91002","2","13999","1","22001"
"4","6","0","12","14000","8","0","0","20001","2","14","2000","94002","91002","2","14999","1","22001"
"3","5","0","12","15000","8","0","0","20001","2","15","1800","94002","91002","2","30000","1","22001"
