7c42860b83fdf00c3e01f596841df16e5cc316243669a218f56d1d35430685a1,2b476d47bd00d9a7494e1bb30cb950a964a50e5b55f26df6bb676b0adc309ee3,eebf202d86d4a75e9be5747a58b54ccfae2f28bd1118e961c45384b8a5ce90fe,e30bc19c9ae30e3f1ca764144a6b01bd6ee4af9b315715a085536f5c7c5b2f6b,04db6edf24d81c409dfcae3a81ccdc5e6dca51b2908fb1c933bac4d434ae5d8d
"1","90","111","770110101","770110101"
"1","90","111","770110201","770110201"
"1","90","111","770110301","770110301"
"1","90","111","770110401","770110401"
"1","90","111","770110501","770110501"
"1","90","111","770110601","770110601"
"1","90","111","770110701","770110701"
"1","90","111","770110801","770110801"
"1","90","111","770110901","770110901"
"1","90","111","770111001","770111001"
"1","90","111","770111101","770111101"
"1","90","111","770111201","770111201"
"1","90","111","770111301","770111301"
"1","90","111","770111401","770111401"
"1","90","111","770111501","770111501"
"1","90","111","770111601","770111601"
"1","90","111","770111701","770111701"
"1","90","111","770111801","770111801"
"1","90","111","770111901","770111901"
"1","90","111","770112001","770112001"
"1","90","111","770112101","770112101"
"1","90","111","770112201","770112201"
"1","90","111","770112301","770112301"
"1","90","111","770112401","770112401"
"1","90","111","770112501","770112501"
"1","90","111","770112601","770112601"
"1","90","111","770112701","770112701"
"1","90","111","770112801","770112801"
"1","90","111","770112901","770112901"
"1","90","111","770113001","770113001"
"1","90","111","770113101","770113101"
"1","90","111","770113201","770113201"
"1","90","111","770113301","770113301"
"1","90","111","770113401","770113401"
"1","90","111","770113501","770113501"
"1","90","111","770113601","770113601"
"1","90","611","770113701","770113701"
"1","90","711","770113701","770113702"
"1","90","811","770113701","770113703"
"1","90","911","770113701","770113704"
"1","85","1011","770113701","770113705"
"1","90","611","770113801","770113801"
"1","90","711","770113801","770113802"
"1","90","811","770113801","770113803"
"1","90","911","770113801","770113804"
"1","85","1011","770113801","770113805"
"1","90","611","770113901","770113901"
"1","90","711","770113901","770113902"
"1","90","811","770113901","770113903"
"1","90","911","770113901","770113904"
"1","85","1011","770113901","770113905"
"1","90","611","770114001","770114001"
"1","90","711","770114001","770114002"
"1","90","811","770114001","770114003"
"1","90","911","770114001","770114004"
"1","85","1011","770114001","770114005"
"1","90","611","770114101","770114101"
"1","90","711","770114101","770114102"
"1","90","811","770114101","770114103"
"1","90","911","770114101","770114104"
"1","85","1011","770114101","770114105"
"1","90","611","770114201","770114201"
"1","90","711","770114201","770114202"
"1","90","811","770114201","770114203"
"1","90","911","770114201","770114204"
"1","85","1011","770114201","770114205"
"1","90","611","770114301","770114301"
"1","90","711","770114301","770114302"
"1","90","811","770114301","770114303"
"1","90","911","770114301","770114304"
"1","85","1011","770114301","770114305"
"1","90","611","770114401","770114401"
"1","90","711","770114401","770114402"
"1","90","811","770114401","770114403"
"1","90","911","770114401","770114404"
"1","85","1011","770114401","770114405"
"1","90","611","770114501","770114501"
"1","90","711","770114501","770114502"
"1","90","811","770114501","770114503"
"1","90","911","770114501","770114504"
"1","85","1011","770114501","770114505"
"1","90","611","770114601","770114601"
"1","90","711","770114601","770114602"
"1","90","811","770114601","770114603"
"1","90","911","770114601","770114604"
"1","85","1011","770114601","770114605"
"1","90","611","770114701","770114701"
"1","90","711","770114701","770114702"
