01e4900985783fec2444bb5fb4098a751bacfbf4d62e109e38de539a4fa9d3bd,28e395c1fa7aec141d2a54cee1b2026a64e5518f5f5cef9737004f028eee8f23
"999999999","1"
"5","2"
"3","3"
"1","4"
"1","5"
"2","6"
"3","7"
"999999999","8"
"999999999","9"
"9","10"
"2","11"
"4","12"
"6","13"
"7","14"
"2","100"
"300","101"
"600","102"
"1200","103"
"2400","104"
"4800","105"
"9999","106"
"500","201"
"500","202"
"500","203"
"500","204"
"500","205"
"100","211"
"100","212"
"100","213"
"100","214"
"100","215"
"100","221"
"200","222"
"100","223"
"1000","224"
"1500","225"
