38efea266b81b3b569b83f477b2a916716034695a050ca00b73f2978ca10012a,47084074ba5cba481481179a92c050c8b4ab4da0f301af6a251710930923fee0,3544857c146b3dfa589c313586907428f4917ab10d7849dcbe417eefb9e9d1fb
"1","114601","1"
"2","114701","2"
"3","115601","3"
"4","115801","5"
"5","116801","6"
"6","117401","7"
"7","117801","8"
"8","119201","9"
"9","120801","10"
"10","121201","12"
"11","122101","13"
"12","122401","14"
"13","122801","15"
"14","123501","16"
"15","124101","17"
"16","124701","20"
"17","124901","21"
"18","125701","22"
"19","126701","24"
"20","127001","25"
"21","128301","27"
"22","128801","28"
