2cc241f3adc5995d50a8d75626bb298b4fb32296795f89aa49396cf02e4893c4,bd10980f474eed905ed21a65cbe39e6023a1eb75f6da5588022a308eac5fbce1,a4a56c4de55cdbca083aa9eacacfea20baf5683dd4cd973397a7f7a083894377,fc95cf52fe53ad77bdeb415e3939e8351c9de1673c30c1dd962317a11b8d5c6d,7971014d3f7f86dd015f02feb0da4bf14280173b3034d01aff15a8dc6ac785df,a9ecb738ecc24420b9f510558ec755251b035a45943fd924086a19facfceb897,7568b68e02e84fc895e702d4b62dfcdc186a9114df03bde71a41a6ad5a696c59,4b7f9741ea46ef875517f5db16b488433fb15d80f3f44f80ec2813cfbd32724d,f314abb11c5c83f99405dc6d08f27d4c5ad52fe46ab4ababa9f7a91c37f9de0b,6badbc8bad2d89686d2cac7e9c92c7e2a1e387f51f8dac8a53c3535676ac567c,9618adfee632a4fe05eecadb485056edbe9747905742368d8911126a5025c5b3
"101","-100","115","-150","111831","101001","nop_idle_joy1","0","1.5","1","1"
"101","100","114","-150","120731","101002","nop_idle_normal_joy","1","1.5","1","1"
"101","-215","111","-127","120831","101003","nop_idle_arm_crossed","0","1.5","1","1"
"101","215","110","-127","111931","101004","nop_idle_normal","1","1.5","1","1"
"101","-330","113","-150","120931","101005","nop_idle_thinking","0","1.5","1","1"
"101","330","112","-150","112031","101006","nop_idle_normal","1","1.5","1","1"
"102","-100","115","-150","108731","102001","nop_idle_joy1","0","1.5","1","1"
"102","100","114","-150","108831","102002","nop_idle_joy_normal","1","1.5","1","1"
"102","-215","111","-127","108931","102003","nop_idle_normal","0","1.5","1","1"
"103","-100","113","-135","102011","103001","nop_idle_joy1","0","1.5","1","1"
"103","-215","115","-150","100411","103002","nop_idle_normal","0","1.5","1","1"
"103","100","114","-143","103631","103003","nop_idle_wish","1","1.5","1","1"
"104","-100","115","-150","101231","104001","nop_idle_normal","0","1.5","1","1"
"104","100","114","-150","104011","104002","nop_idle_normal","1","1.5","1","1"
"104","-215","111","-127","101511","104003","nop_idle_normal","0","1.5","1","1"
"105","-100","113","-135","103111","105001","nop_idle_normal","0","1.5","1","1"
"105","100","111","-135","102211","105002","nop_idle_sad","1","1.5","1","1"
"105","-215","115","-150","100711","105003","nop_05_miyako_idle_normal","0","1.5","1","1"
"105","215","112","-150","100611","105004","nop_idle_joy1","1","1.5","1","1"
"105","-25","114","-135","2051","105005","nop_skull_idle","1","1.5","1","5"
"106","-215","115","-150","104731","106001","nop_idle_arm_crossed","0","1.5","1","1"
"106","215","114","-150","107131","106002","nop_idle_arm_crossed","1","1.5","1","1"
"106","-100","111","-135","103731","106003","nop_idle_normal","0","1.5","1","1"
"106","100","110","-135","100511","106004","nop_idle_joy1","1","1.5","1","1"
"107","-100","115","-150","102831","107001","nop_idle_normal","0","1.5","1","1"
"107","100","114","-150","102111","107002","nop_idle_normal","1","1.5","1","1"
"107","-215","111","-127","102511","107003","nop_idle_normal","0","1.5","1","1"
"107","215","110","-127","102311","107004","nop_idle_normal","1","1.5","1","1"
"108","-100","115","-150","101011","108001","nop_idle_joy_normal","0","1.5","1","1"
"108","100","114","-150","104331","108002","nop_idle_arm_crossed","1","1.5","1","1"
"108","-215","111","-127","101711","108003","nop_idle_joy1","0","1.5","1","1"
"108","215","110","-127","101431","108004","nop_idle_normal","1","1.5","1","1"
"109","-100","115","-150","103311","109001","nop_idle_joy1","0","1.5","1","1"
"109","-215","111","-127","105211","109002","nop_idle_joy_normal","0","1.5","1","1"
"109","100","114","-150","102611","109003","nop_idle_sad2","1","1.5","1","1"
"109","215","110","-127","103811","109004","nop_idle_normal","1","1.5","1","1"
"110","-100","115","-150","103231","110001","nop_idle_joy1","0","1.5","1","1"
"110","215","110","-127","103411","110002","nop_10_yukari_02","1","1.5","1","1"
"110","215","111","-127","11","110003","nop_10_yukari_02","1","1.5","1","5"
"110","100","114","-150","104811","110004","nop_idle_doya","1","1.5","1","1"
"110","-215","111","-127","104611","110005","nop_idle_joy_normal","0","1.5","1","1"
"111","-100","115","-150","100911","111001","nop_11_anna_idle_arm_crossed","0","1.5","1","1"
"111","100","114","-150","101311","111002","nop_idle_joy_normal","1","1.5","1","1"
"111","-215","111","-127","102711","111003","nop_11_eriko_idle_wish","0","1.5","1","1"
