4e5e38d07c34e1bbd984f7919ba72ac8e83650d2f4432cc650496609571f3cd4,1d9ec850c9907ffb2aecaebbb6f9a4beb745cbe2e1804ea128d2adaead5d38e9,1e490c5d0a183603377fb41920fdd2e05dd4c8044b285ab7a66442d18340d592,4b90e5540c73bf4d61604e4e969dd1da65730139ff8982cc710f7f9436a07644,f5196172ddb636dd55d9b74b01748e4fb3a91137d54f8559fb73eac7b115123d,7a548d410f92fc2d216291f82f3f3886cd88b7f719376fca0f64685adfae2157,280ebd69d7be04c3b2adf0d31b5087f12d43f6d0b5c34e974c08cb45fec75f59,fab20b89549538f0af8b4a21217f0e662edfdb8952d3ca0b662cc5b9909abbf3,017138528b47fd90cac13442fb3adc6fed3e740455075da90efd88b705d47d31,2b3b3b90559e2f725638882aac82320e8ccea50c62d733be7e5d38915170bd46,24b99001962fae6365b47056ecb93a4be45aedc3699c7e2a9cf05051dd8c1128,ac56ebf813275880fe45ccd2ee7a24c479f4f244b7d97f385de73761d56e0cbc,c1a19f489c16b3a0c14f1a83e0f26f478e50983f155ecafb17defb94b19b3288
"任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","2025/03/01 16:00:00","2030/01/01 14:59:59","3001100","-416.5","2","0","130011","3001","倭","100","2.1","1"
"雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","2025/03/01 16:00:00","2030/01/01 14:59:59","3001101","-416.5","2","0","130011","3001","倭","101","5.68","4"
"什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","2025/03/01 16:00:00","2030/01/01 14:59:59","3001102","-416.5","1","0","130011","3001","倭","102","0","1"
"咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","2025/03/01 16:00:00","2030/01/01 14:59:59","3002100","-416.5","1","0","130211","3002","布武機","100","0","1"
"好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","2025/03/01 16:00:00","2030/01/01 14:59:59","3002101","-416.5","1","0","130211","3002","布武機","101","0","1"
"嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變疑分子呢～ｗ","2025/03/01 16:00:00","2030/01/01 14:59:59","3002102","-416.5","2","0","130211","3002","布武機","102","8.53","5"
"什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","2025/03/01 16:00:00","2030/01/01 14:59:59","3002103","-416.5","1","0","130211","3002","布武機","103","5.67","7"
"雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","2025/03/01 16:00:00","2030/01/01 14:59:59","3002104","-416.5","1","0","130211","3002","布武機","104","0","1"
"我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","2025/03/01 16:00:00","2030/01/01 14:59:59","3002300","-416.5","3","0","130211","3004","布武機","300","0","3"
"很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","2025/03/01 16:00:00","2030/01/01 14:59:59","3002400","-416.5","7","0","130211","3005","布武機","301","0","7"
"呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","2025/03/01 16:00:00","2030/01/01 14:59:59","3003200","-416.5","1","0","130211","3003","布武機","200","4.4","2"
"哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","2025/03/01 16:00:00","2030/01/01 14:59:59","3003201","-416.5","7","0","130211","3003","布武機","201","0","7"
"哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","2025/03/01 16:00:00","2030/01/01 14:59:59","3003202","-416.5","2","0","130211","3003","布武機","202","5.6","1"
