8eef1b34420310410c27429a222b252282d32be813c07ae9dff5534a27955ebb,26cfe3e5c8ee172cdffc894f25573b8d1eaa6c4d5dfd7132cb67e42dc206decc,2e096d7ce7a8b736fb4958ed851096978fa4ee110516f09180b8e3510dd38ae6,af644aa47b0545486a269f06b2e3a2f57b0d3faf77dc7835f314a27087438d58,c51cab436f177151f83cf825be1f44e5750c30522116ad626f0ef8979fc2ccec,bd54747c02b7de0d4af8df103c894e21991bb6e0b84c9383f47f25d4d33dd766
"60000001","10011001","4","1","6","101011"
"60000002","10011001","4","1","6","101071"
"60000003","10011001","4","1","6","101101"
"60000004","10011001","4","1","7","101131"
"60000005","10011001","4","1","6","101161"
"60000006","10011001","4","1","6","101191"
"60000007","10011001","4","1","7","101251"
"60000008","10011001","4","1","7","101281"
"60000009","10011001","4","1","7","101371"
"60000010","10011001","4","1","7","101401"
"60000011","10011001","4","1","7","101431"
"60000012","10011001","4","1","7","101521"
"60000013","10011001","4","1","7","101551"
"60000014","10011001","4","1","7","101581"
"60000015","10011001","4","1","7","101611"
"60000016","10011002","4","1","2","102011"
"60000017","10011002","4","1","2","102013"
"60000018","10011002","4","1","2","102014"
"60000019","10011002","4","1","2","102041"
"60000020","10011002","4","1","2","102071"
"60000021","10011002","4","1","2","102101"
"60000022","10011002","4","1","2","102131"
"60000023","10011002","4","1","2","102162"
"60000024","10011002","4","1","2","102163"
"60000025","10011002","4","1","2","102191"
"60000026","10011002","4","1","2","102192"
"60000027","10011002","4","1","2","102221"
"60000028","10011002","4","1","2","102222"
"60000029","10011002","4","1","2","102251"
"60000030","10011002","4","1","3","102252"
"60000031","10011002","4","1","3","102281"
"60000032","10011002","4","1","3","102461"
"60000033","10011002","4","1","3","102551"
"60000034","10011002","4","1","3","102552"
"60000035","10011002","4","1","3","102581"
"60000036","10011002","4","1","3","102582"
"60000037","10011002","4","1","3","102611"
"60000038","10011002","4","1","3","102612"
"60000039","10011002","4","1","3","122282"
"60000040","10011002","4","1","3","122311"
"60000041","10011002","4","1","3","122312"
"60000042","10011002","4","1","3","122341"
"60000043","10011002","4","1","3","122342"
"60000044","10011002","4","1","3","122371"
"60000045","10011002","4","1","3","122372"
"60000046","10011002","4","1","3","122401"
"60000047","10011002","4","1","3","122431"
