c496eb6aa8784f9bff721ced44424f256799a0acbd5ca2af74508ce6c57f2d8f,5bf900bca334518ee4f953990482f7b240ea19f7795c27d5cd0419899f8087ca,3ce1d6bf0dc119c223af4e82acdd4dc84d2d7b31bf5b878dcdf2a0a5b9cc893c,f26b50f193a7f9d60f021d6466b5e954afffeb6e417a509e71e73ed709b134c8,9700c364a3ec44aeca49b6a8903f9c52c137645bfdb6306302a319a418f4dd0f,2d2fafbcc949ddc6eaf6b56605161971b7e0649fffce9bcdabd9379a11edac44,1d0229ce0e9cf54b6101f543e8c773372133efc1233597ddb9169e098dbb6d60,7577781fd77abffec35d237576900341fcea6adca815876c37f394148e9d868f,dbefb3172f91cd5e3435021e1ce4d3ce3ff95ac3d0ccb4a75bce4271f573bd3f,2214a4ea35e0c859d939e5826754060d118f5a4b2bf6d76a0b1687e1190948e4,9d614650155dfc645b692e673b8beb8c111da8a2e47393465a8eae50f3ec2728
"1","1","5152061","382","1","1.55","110311","idle_normal","61001","110","-280"
"1","1","5152061","145","0","1.55","131911","idle_normal","61002","106","-210"
"1","1","5152061","-50","0","1.55","102311","joy_idle_normal","61003","107","-225"
"1","1","5152061","-245","0","1.55","102111","wish_idle","61004","108","-240"
"1","1","5152061","-440","0","1.55","107711","idle_normal","61005","109","-255"
"1","1","5152061","40","0","1.45","122811","doya_idle","61006","103","-105"
"1","1","5152061","-160","0","1.45","122911","idle_normal","61007","104","-120"
"1","1","5152061","-355","0","1.45","122711","idle_normal","61008","105","-135"
"13","110311","5152061","","","","210","","61009","",""
"13","131911","5152061","","","","206","","61010","",""
"13","107711","5152061","","","","209","","61011","",""
"13","122711","5152061","","","","205","","61012","",""
"13","122811","5152061","","","","203","","61013","",""
"13","122911","5152061","","","","204","","61014","",""
"13","102111","5152061","","","","208","","61015","",""
"13","102311","5152061","","","","207","","61016","",""
"5","2","5152061","-110","0","0.75","2","empty","61017","210","160"
"5","3","5152061","352","0","1","3","empty","61018","210","-45"
"31","1","5152061","0","","1","1","","61019","0","1"
"31","2","5152061","0","","0","2","","61020","0","1"
"31","3","5152061","0","","1","3","","61021","0","1"
"31","11","5152061","0","","0","11","","61022","0","1"
"91","0","5152061","","","","0","","61023","",""
"37","3","5152061","","","","telop_1","","61024","",""
"102","0","5152061","","","","0","","61025","0",""
"93","1","5152061","","","","0","","61026","",""
"3","110311","5152061","callout_loop","0","0.2","callout_in","","61027","0","1"
"93","0.1","5152061","","","","0","","61028","",""
"21","vo_rag","5152061","0","","","vo_rag_6001","","61029","0",""
"3","3","5152061","","","0","1001_in","","61030","0",""
"93","1.9","5152061","","","","1","","61031","",""
"3","3","5152061","","","0","1001_mid","","61032","0",""
"92","","5152061","","","","","","61033","",""
"3","3","5152061","","","0","1001_out","","61034","0",""
"93","0.2","5152061","","","","0","","61035","",""
"3","110311","5152061","","","0.3","doya_idle_joy1R","","61036","1",""
"3","102311","5152061","gutsB_talk_joy","0","0.2","gutsB_in_joy","","61037","0","1"
"3","102111","5152061","","","0.2","wish_talk","","61038","1",""
"3","131911","5152061","idle_normal_joy","0","0.2","hello_2","","61039","0","1"
"3","107711","5152061","","","0.2","sad_talk_joy","","61040","1",""
"3","122811","5152061","handsup_loop","0","0.2","handsup_in","","61041","0","1"
"3","122911","5152061","","","0.2","leanforward_joy","","61042","1",""
"3","122711","5152061","","","0.2","talk_normal","","61043","1",""
"21","vo_rag","5152061","0","","","vo_rag_6002","","61044","0",""
"2","3","5152061","0","","","-110","","61045","142","0"
"3","3","5152061","","","0","1002_in","","61046","0",""
"93","1.9","5152061","","","","1","","61047","",""
"3","3","5152061","","","0","1002_mid","","61048","0",""
"92","","5152061","","","","","","61049","",""
"3","3","5152061","","","0","1002_out","","61050","0",""
"3","102311","5152061","","","0.2","gutsB_idle","","61051","1",""
"3","102111","5152061","","","0.2","wish_idle","","61052","1",""
"3","131911","5152061","","","0.2","idle_normal","","61053","1",""
"3","107711","5152061","","","0.2","sad_idle_normal","","61054","1",""
"3","122811","5152061","","","0.2","cool_idle","","61055","1",""
"3","122911","5152061","","","0.2","idle_normal_joy1R","","61056","1",""
"3","122711","5152061","","","0.2","wish_idle","","61057","1",""
"3","110311","5152061","gutsB_talk","0","0.2","gutsB_in","","61058","0","1"
"21","vo_rag","5152061","0","","","vo_rag_6003","","61059","0",""
"11","110311","5152061","1","15","0","大朋友也很有精神，非常好！\n馬上開始做體操吧！","0","61060","7","1"
"91","0","5152061","0","","","","","61061","0",""
"25","bgm_MC175B","5152061","","","","bgm_MC175B","","61062","",""
"32","2","5152061","","","","1","","61063","",""
"3","110311","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61064","0","1"
"21","vo_rag","5152061","0","","","vo_rag_6004","","61065","0",""
"11","110311","5152061","1","0","0","首先把雙手朝向天空\n用力伸出去──！","1.7","61066","7","0"
"93","0.1","5152061","","","","0","","61067","",""
"3","131911","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61068","0","1"
"3","102311","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61069","0","1"
"3","102111","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61070","0","1"
"3","107711","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61071","0","1"
"3","122811","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61072","0","1"
"3","122911","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61073","0","1"
"3","122711","5152061","kids_gungun_loop","0","0.2","kids_gungun_in","","61074","0","1"
"93","5.2","5152061","","","","0","","61075","",""
"91","61066","5152061","0","","","","","61076","0",""
"21","vo_rag","5152061","0","","","vo_rag_6005","","61077","0",""
"11","102311","5152061","1","60","13","用力、用力！\n啊哈哈，盡情活動身體真開心呢！","2.3","61078","8","0"
"93","7.8","5152061","","","","0","","61079","",""
"91","61078","5152061","0","","","","","61080","0",""
"3","110311","5152061","","","0.3","kids_furifuri","","61081","1",""
"21","vo_rag","5152061","0","","","vo_rag_6006","","61082","0",""
"11","110311","5152061","1","17","21","接著是讓腰部左右擺動！\n動作要可愛，而且要有節奏感喔！","1.7","61083","7","0"
"93","0.1","5152061","","","","0","","61084","",""
"3","131911","5152061","","","0.3","kids_furifuri","","61085","1",""
"3","102311","5152061","","","0.3","kids_furifuriB","","61086","1",""
"3","102111","5152061","","","0.3","kids_furifuri","","61087","1",""
"3","107711","5152061","","","0.3","kids_furifuriB","","61088","1",""
"3","122811","5152061","","","0.3","kids_furifuri","","61089","1",""
"3","122911","5152061","","","0.3","kids_furifuriB","","61090","1",""
"3","122711","5152061","","","0.3","kids_furifuri","","61091","1",""
"93","7.3","5152061","","","","0","","61092","",""
"91","61083","5152061","0","","","","","61093","0",""
"21","vo_rag","5152061","0","","","vo_rag_6007","","61094","0",""
"11","102111","5152061","1","60","0","左右左右～感覺越來越有趣了呢♪","0.5","61095","8","0"
"93","5.2","5152061","","","","0","","61096","",""
"91","61095","5152061","0","","","","","61097","0",""
"3","131911","5152061","","","0.2","joy_idle","","61098","1",""
"3","102311","5152061","","","0.2","joy_idle","","61099","1",""
"3","102111","5152061","","","0.2","joy_idle","","61100","1",""
"3","107711","5152061","","","0.2","joy_idle","","61101","1",""
"3","122811","5152061","","","0.2","joy_idle","","61102","1",""
"3","122911","5152061","","","0.2","joy_idle","","61103","1",""
"3","122711","5152061","","","0.2","joy_idle","","61104","1",""
"3","110311","5152061","kids_jump_sideHair_out","0","0.2","kids_jump_in_saren","","61105","0","0"
"21","vo_rag","5152061","0","","","vo_rag_6008","","61106","0",""
"11","110311","5152061","1","0","0","最後大家一起大大地……跳躍──！","1","61107","7","0"
"93","0.1","5152061","","","","0","","61108","",""
"3","131911","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61109","0","1"
"3","102311","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61110","0","1"
"3","102111","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61111","0","1"
"3","107711","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61112","0","1"
"3","122811","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61113","0","1"
"3","122911","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61114","0","1"
"3","122711","5152061","kids_jump_mid","0","0.2","kids_jump_in","","61115","0","1"
"93","4.1","5152061","","","","0","","61116","",""
"91","61107","5152061","0","","","","","61117","0",""
"37","2","5152061","","","","finish","","61118","",""
"23","se_10058300","5152061","","","","se_10058300_kids_finish","","61119","0",""
"3","131911","5152061","","","0","kids_jump_out","","61120","0",""
"3","102311","5152061","","","0","kids_jump_out","","61121","0",""
"3","102111","5152061","","","0","kids_jump_out","","61122","0",""
"3","107711","5152061","","","0","kids_jump_sideHair_out","","61123","0",""
"3","122811","5152061","","","0","kids_jump_out","","61124","0",""
"3","122911","5152061","","","0","kids_jump_out","","61125","0",""
"3","122711","5152061","","","0","kids_jump_sideHair_out","","61126","0",""
"21","vo_rag","5152061","0","","","vo_rag_6009","","61127","0",""
"3","2","5152061","","","0","1009_in","","61128","0",""
"93","0.4","5152061","","","","1","","61129","",""
"3","2","5152061","","","0","1009_mid","","61130","0",""
"92","","5152061","","","","","","61131","",""
"3","2","5152061","","","0","1009_out","","61132","0",""
"93","0.2","5152061","","","","0","","61133","",""
"3","131911","5152061","idle_normal","0.2","0","kids_jump_end","","61134","0","1"
