9df691a2e5b6dcc6dbfac7ffe2668aac7592b639eaff28036e604f0919bc1138,5f43e5c2990f3ea0712c777d85a9e828bde36c469f6e8620467cd70fec36761b,6530cc158c41ae6386a93171bd29b7e90937c04cb932bd52ec3be6cbfd080773,e793135a58cec69724b2d2111461a9eebef1421e381e6e599627249fbe332d63,9185a863a8760e59c5a6785b183d48659c61d4e63eba1570735694bf65697ac0
"94002","12","8000000","1","1001"
"90005","2","40","2","1001"
"94002","12","8000000","3","1002"
"90005","2","50","4","1002"
"94002","12","8000000","5","1003"
"90005","2","60","6","1003"
"94002","12","8000000","7","1004"
"90005","2","70","8","1004"
"91002","8","150","9","1005"
"94002","12","8000000","10","1005"
"90005","2","80","11","1005"
"94002","12","8000000","12","1006"
"90005","2","90","13","1006"
"91002","8","300","14","1007"
"94002","12","8000000","15","1007"
"90005","2","100","16","1007"
"94002","12","8000000","17","2001"
"94002","12","8000000","18","2002"
"94002","12","8000000","19","2003"
"94002","12","8000000","20","2004"
"94002","12","8000000","21","2005"
"94002","12","8000000","22","2006"
"94002","12","8000000","23","2007"
"94002","12","8000000","24","2008"
"94002","12","8000000","25","2009"
"94002","12","8000000","26","2010"
"94002","12","8000000","27","2011"
"94002","12","8000000","28","2012"
"94002","12","8000000","29","2013"
"94002","12","8000000","30","2014"
"94002","12","8000000","31","2015"
"94002","12","8000000","32","7001"
"90005","2","5","33","7001"
"94002","12","8000000","34","7002"
"90005","2","5","35","7002"
"94002","12","8000000","36","7003"
"90005","2","5","37","7003"
"94002","12","8000000","38","7004"
"90005","2","10","39","7004"
"94002","12","8000000","40","7005"
"90005","2","10","41","7005"
"94002","12","8000000","42","7006"
"90005","2","10","43","7006"
"94002","12","8000000","44","7007"
"90005","2","15","45","7007"
"94002","12","8000000","46","7008"
"90005","2","15","47","7008"
"94002","12","8000000","48","7009"
"90005","2","15","49","7009"
"94002","12","8000000","50","7010"
"90005","2","20","51","7010"
"94002","12","8000000","52","7011"
"90005","2","20","53","7011"
"94002","12","8000000","54","7012"
"90005","2","20","55","7012"
"94002","12","8000000","56","7013"
"90005","2","25","57","7013"
"94002","12","8000000","58","7014"
"90005","2","25","59","7014"
"94002","12","8000000","60","7015"
"90005","2","25","61","7015"
"94002","12","8000000","62","7016"
"90005","2","30","63","7016"
"94002","12","8000000","64","7017"
"90005","2","30","65","7017"
"94002","12","8000000","66","7018"
"90005","2","30","67","7018"
"94002","12","8000000","68","7019"
"90005","2","35","69","7019"
"94002","12","8000000","70","7020"
"90005","2","35","71","7020"
"94002","12","8000000","72","7021"
"90005","2","35","73","7021"
"94002","12","8000000","74","7022"
"90005","2","40","75","7022"
"94002","12","8000000","76","8001"
"90008","2","1000","77","8001"
"94002","12","8000000","78","8002"
"90008","2","1250","79","8002"
"94002","12","8000000","80","8003"
"90008","2","1500","81","8003"
"94002","12","8000000","82","8004"
"90008","2","1750","83","8004"
"94002","12","8000000","84","8005"
"90008","2","2000","85","8005"
"94002","12","8000000","86","8006"
"90008","2","2250","87","8006"
"94002","12","8000000","88","8007"
"90008","2","2500","89","8007"
"80001","2","50","90","9001"
"80002","2","50","91","9002"
"80003","2","50","92","9003"
"80004","2","50","93","9004"
"80005","2","50","94","9005"
