ddf92fe2dc0c2774821efaf284043e4be394f8f85e5346d7b1b16ca56b3f2cfa,3775dd8cd71a8c104c42ddd70e75a419c086f7917a37ef73eaa9abec65d4bb67,dd7b32bb64f197943d4218cd2611d623fcaadb1a39fc490d7186e6414f7c4139,3e548f2950a5340f89c7e98158f8d00459ca339d65cd815d1a4eded8b7c69a16,c8ce24e7e7c9122456fefc28f6f39d0d99a957d33e4cb42d974ab7d4b22503a1
"1","1","3","0","111011101"
"1","1","3","0","111021101"
"1","1","3","0","133011101"
"1","1","5","0","133011201"
"1","1","3","0","133020101"
"1","1","3","1","133020201"
"1","1","3","0","133030101"
"1","2","3","0","133030201"
"1","3","3","0","133030301"
"1","1","3","1","133030401"
"1","2","3","1","133030501"
"1","3","3","1","133030601"
"1","1","3","0","133040101"
"1","1","3","1","133040201"
"1","1","3","2","133040301"
"1","1","3","3","133040401"
"1","1","3","0","133051101"
"1","1","5","0","133051201"
"2","1","3","0","134010101"
"2","3","3","0","134010201"
"1","1","3","0","134021101"
"1","1","5","0","134021201"
"2","1","4","0","140010101"
"2","1","1","1","140010201"
"2","1","1","0","140010301"
"1","3","1","0","140020101"
