aa680e39a730d85db873658e2749f984f9358203108d73a3129e4ac0da3e905a,fe65def47d74777e076bb9c9c99b56e30ebf947494a7522abf4fd3cb46c32f69,6d2ce83e605500bdf00ab7c8d3543e2bebdc18a04efe8cde040d4987da888cf2,bda6f604edb077d0b4b99a9cdaa8672f4a60a796e89fd892de1f7c21cf2084a8,8bb73df11af0203ad2a0f4e23d29c7ed0b3793f0e012293065b3209c826eebe7
"990001","1","-7","-4.5","30010001"
"990001","1","12","-21.5","30010003"
"990001","1","-3","-21.5","30010004"
"1","1","-5.8","-21.6","30010007"
"1","1","-4.4","-21.6","30010008"
"1","1","-16.7","-8.6","30010029"
"1","1","-7","-13","30010038"
"990002","1","-5.5","2.9","30010047"
"1","1","-8.9","-17.6","30010055"
"1","1","-6.6","-19","30010056"
"1","1","-5","-18.4","30010060"
"3","1","0.6","-20.4","30010061"
"3","1","-3.9","-17.2","30010062"
"1","1","-4.1","-14.9","30010063"
"1","1","2.2","-17","30010066"
"1","1","2.2","-18.5","30010068"
"1","1","2.2","-15.4","30010070"
"3","1","-9.6","-21.7","30010071"
"1","1","-11.9","-21.6","30010073"
"3","1","-12","-20","30010074"
"3","1","-1.9","-21.7","30010077"
"3","1","-4.9","-13.8","30010079"
"2","1","-17","-3.6","30010081"
"2","1","-15","-4.7","30010083"
"3","1","-13.9","-16.8","30010085"
"3","1","-7.1","-11.5","30010089"
"2","1","-8.1","-8.7","30010091"
"2","1","-5.7","-8.7","30010094"
"2","1","-16.3","-4.7","30010100"
"2","1","-13.8","-0.2","30010104"
"2","1","-13.9","2.3","30010106"
"2","1","-15.2","1","30010107"
"2","1","-16.6","2.1","30010109"
"2","1","-16.5","-0.1","30010110"
"2","1","-20","-2","30010112"
"2","1","-20","-0.8","30010113"
"2","1","-20","2","30010115"
"2","1","-20","3.7","30010116"
"3","1","-19.9","0.6","30010117"
"3","1","-18.2","-2.9","30010119"
"3","1","-19.5","-3","30010120"
"991002","1","-15","-2.5","30010125"
"991001","1","-16.7","-2.5","30010126"
"991001","1","-8.5","-21.4","30010130"
"3","1","-18.4","4.8","30010134"
"3","1","-17","5.8","30010136"
"2","1","-17.1","6.9","30010137"
"3","1","-17","8","30010138"
"2","1","-17","9.5","30010139"
"2","1","-13.5","5.3","30010145"
"2","1","-12.1","5.3","30010146"
"3","1","-15.5","8.7","30010147"
"2","1","-14.3","8.8","30010148"
"3","1","-13","8.8","30010149"
"2","1","-12.3","10.2","30010150"
"2","1","-10.8","8.4","30010152"
"2","1","-10.7","10.2","30010155"
"1","1","-6.2","-16.1","30010156"
"2","1","-7.3","6.8","30010160"
"3","1","-6.4","7.9","30010161"
"1","1","-6","6.4","30010162"
"3","1","-6","2","30010163"
"1","1","-6","4.6","30010164"
"1","1","-2.8","3","30010166"
"1","1","-2.2","5.3","30010168"
"3","1","-0.5","5.3","30010169"
"1","1","-4.9","-12.2","30010170"
"3","1","-4.9","-10.9","30010171"
"1","1","-3.8","8","30010173"
"2","1","-2.6","8.7","30010174"
"1","1","-1.5","8","30010175"
"2","1","-0.3","8.7","30010176"
"1","1","0.9","7.9","30010177"
"2","1","-1.9","3.3","30010178"
"2","1","-1.6","-0.8","30010181"
"1","1","1","0.4","30010182"
"2","1","2.4","0.4","30010183"
"1","1","3.6","0.4","30010184"
"1","1","6.4","1.3","30010186"
"3","1","8","1.3","30010187"
"1","1","9.5","1.3","30010188"
"2","1","5.4","4.9","30010189"
"1","1","6.4","5.8","30010190"
"2","1","7.5","4.9","30010191"
"2","1","8.6","5.8","30010192"
"1","1","3.8","5.7","30010193"
"3","1","11.1","0.4","30010194"
"2","1","14","0.2","30010195"
"3","1","15","1.4","30010196"
"2","1","14.1","2.4","30010197"
"1","1","15.1","3.5","30010198"
"2","1","14","4.3","30010199"
"1","1","12","6.3","30010200"
"2","1","10.3","6.3","30010201"
"1","1","12.1","-2.8","30010202"
"3","1","9.1","-1.7","30010203"
"1","1","9","-3","30010204"
"3","1","9","-4.7","30010205"
"2","1","15.9","-1.7","30010206"
"2","1","16.8","-3.2","30010207"
"2","1","15.8","-4.5","30010208"
"3","1","13.1","-2.8","30010209"
"1","1","10.2","-8.8","30010210"
"2","1","10.1","-7.5","30010211"
"1","1","10","-5.9","30010212"
"3","1","15.1","-8.7","30010213"
"3","1","16.2","-7.6","30010214"
"3","1","15.3","-6.3","30010215"
"1","1","15.9","-10.4","30010216"
"3","1","16.9","-11.6","30010217"
"1","1","15.9","-13","30010218"
"2","1","11.1","-11.6","30010219"
"3","1","11.1","-10.1","30010220"
"3","1","13.9","-14.3","30010221"
"1","1","15","-15.5","30010222"
"3","1","14.3","-17.3","30010223"
"1","1","15","-18.4","30010224"
"1","1","11.1","-17.8","30010225"
"3","1","11.1","-18.9","30010226"
"1","1","11","-21.6","30010227"
"2","1","9.7","-21.6","30010228"
"1","1","8.5","-21.6","30010229"
"1","1","7","-21.6","30010230"
"3","1","5.5","-21.7","30010231"
"1","1","4","-21.7","30010232"
"3","1","2.2","-20.4","30010233"
"2","1","6","-19.3","30010234"
"2","1","5.3","-18.2","30010235"
"2","1","6","-16.8","30010236"
"1","1","2.2","-11.8","30010237"
"1","1","7","-9.5","30010238"
"3","1","5.9","-9","30010239"
"1","1","4.9","-9.5","30010240"
