427e4f592def1a2120b72ee123e7351965d8e39e1f7190d87f0aa492bc5b01f0,b975068115593f5ab9e5ce13046ae007d947c4a88d8b6b34751b00ccda34b803,ff63ca2ee022d3f9b1b9004654b5b064c6ce0465a5941fef130dd828dbead2b3,6de6ad221aebaf67864eb59fee77da2b5cb6074a6b0e7e26e7c6d785876d79a8,b798c2ea8abf9c6aaaf81d5b40ad7fceaf8d20d60a72ee7abfc52787e2f1b128,c2591a2e30fb6ee36139cf6f7bd4219cafb27f1b97159e114d407ad7818d8440,3448966eb82b829157d17924fa5ae1378eaefb9fd237c5442777b7ea4d18c862,2e055eed31748fafbc632a08e2a556c667d16ee3c9cf9a70e41854ca11938035,b2c3c60369621a8af27ef352f5aa26e40071e97057988ffae3c1ddba3550370d,0f4aa4a52483cff2e845b485336929005195855e3955e81180e2f7243b9a9d76,3458e754470630061756b6db1783a719884ca4bace39068f0ec165d58595bb4f,45c6123f53544048905e4dd7c94fa101f68062e41ee8063a2a26e7bde913739c,31f8ca6bcad031f62968a9cda654e758b77ebb4da6ae920e8a2d0d70d7a07723,518d194ffae4c1555c56cf7f933d3d194f7fa814c3f35defc904b3d021eacfa5,3a9d54d1c9b9b80073ddcc6196119198580e98be8085255f93362d859ed2fe0f
"1","0","0","2","20011","40001","0","7","20012","1","0","0","0","1","2001"
"1","0","0","2","20021","40001","0","7","20022","1","0","0","0","1","2002"
"1","0","0","2","20031","40001","0","7","20032","1","0","0","0","1","2003"
"1","0","0","2","20041","40001","0","7","20042","1","0","0","0","1","2004"
"1","0","0","2","20051","40001","0","7","20052","1","0","0","0","1","2005"
"1","0","0","2","20061","40001","0","7","20062","1","0","0","0","1","2006"
"1","0","0","2","20071","40001","0","7","20072","1","0","0","0","1","2007"
"1","0","0","2","20081","40001","0","7","20082","1","0","0","0","1","2008"
"1","0","0","2","20091","40001","0","7","20092","1","0","0","0","1","2009"
"1","0","0","2","20101","40001","0","7","20102","1","0","0","0","1","2010"
"1","0","0","2","20111","40001","0","7","20112","1","0","0","0","1","2011"
"1","0","0","2","20121","40001","0","7","20122","1","0","0","0","1","2012"
"1","0","0","2","20131","40001","0","7","20132","1","0","0","0","1","2013"
"1","0","0","2","20141","40001","0","7","20142","1","0","0","0","1","2014"
"1","0","0","2","20151","40001","0","7","20152","1","0","0","0","1","2015"
"1","0","0","2","20161","40001","0","7","20162","1","0","0","0","1","2016"
"1","0","0","2","20171","40001","0","7","20172","1","0","0","0","1","2017"
"1","0","0","2","20181","40001","0","7","20182","1","0","0","0","1","2018"
"1","0","0","2","20191","40001","0","7","20192","1","0","0","0","1","2019"
"1","0","0","2","20201","40001","0","7","20202","1","0","0","0","1","2020"
"1","0","0","2","20211","40001","0","7","20212","1","0","0","0","1","2021"
"1","0","0","2","20221","40001","0","7","20222","1","0","0","0","1","2022"
"1","0","0","2","20231","40001","0","7","20232","1","0","0","0","1","2023"
"1","0","0","2","20241","40001","0","7","20242","1","0","0","0","1","2024"
"1","0","0","2","20251","40001","0","7","20252","1","0","0","0","1","2025"
"1","0","0","2","20261","40001","0","7","20262","1","0","0","0","1","2026"
"1","0","0","2","20271","40001","0","7","20272","1","0","0","0","1","2027"
"1","0","0","2","20281","40001","0","7","20282","1","0","0","0","1","2028"
"1","0","0","1","30011","40001","0","7","30012","1","40","0","0","1","3001"
"5","0","0","1","30021","40001","0","7","30022","1","40","0","0","1","3002"
"6","0","0","1","30031","40001","0","7","30032","1","40","0","0","1","3003"
"6","0","0","1","30041","40001","0","0","30042","1","-58","0","0","2","3004"
"1","0","0","1","30051","40001","0","-20","30052","1","-42","0","0","1","3005"
"5","0","0","1","30061","40001","0","-20","30062","1","-42","0","0","1","3006"
"1","0","0","1","30071","40001","0","40","30072","1","0","0","0","1","3007"
"5","0","0","1","30081","40001","0","40","30082","1","0","0","0","1","3008"
"6","0","0","1","30091","40001","0","40","30092","1","0","0","0","1","3009"
"1","0","0","1","40011","40001","0","0","40012","2","0","0","0","1","4001"
"5","0","0","1","40021","40001","0","0","40022","2","0","0","0","1","4002"
"1","0","0","1","40051","40001","0","0","40052","2","0","0","0","1","4005"
"5","0","0","1","40061","40001","0","0","40062","2","0","0","0","1","4006"
"6","0","0","1","40071","40001","0","0","40072","2","0","0","0","2","4007"
"6","0","0","1","40091","40004","0","0","40092","2","0","0","0","2","4009"
"1","0","0","1","40101","40004","0","0","40102","2","0","0","0","1","4010"
"5","0","0","1","40111","40004","0","0","40112","2","0","0","0","1","4011"
"6","0","0","1","40121","40001","0","0","40122","2","0","0","0","1","4012"
"1","0","0","1","40131","40004","0","0","40132","2","0","0","0","1","4013"
"5","0","0","1","40141","40004","0","0","40142","2","0","0","0","1","4014"
"6","0","0","1","40151","40001","0","0","40152","2","0","0","0","1","4015"
"1","0","0","1","40161","40004","0","0","40162","2","0","0","0","1","4016"
"5","0","0","1","40171","40004","0","0","40172","2","0","0","0","1","4017"
"6","0","0","1","40181","40001","0","0","40182","2","0","0","0","1","4018"
