af133e6d320cae8a47fbce4364a1ffd3a0dddd2f1c6ef4ebbd67a90f161c5a32,58614c135920ef5a1924092364c6890d89f41e528021e196da9fc9097497ce86,6dc235b77fd676ccbfe746f4263726c8278ddbcc2e0df6975e057a589b2e592e,945ed3ea92c3a97f1f57cc36a5c870d645978a10cd4f9f1dc1c47496036a99b6,c0d5664d6515140b8e5a5b658ab00478a8bc851bdd673e953e3f9f76f52957dd,399d1b9c1f0e575a0535cb6b345ca5f360ecfff92109c3dadf6d93785a168437,1c3fbbe812a47270fafdee0a349aca804796c0133ad7afddd82bc0c8e3754e50,752c1b6c30014c4df0781e4657a26af12e1173228b163412f73800fcf2386094,f1442e778dc42b149fdd1eaf247f3b9bc1f62fbd86e22665757e91ac1b916299,e7c7d39fa70c927e245761d670ef6d199ea88b1c0f5a7c84a12d70d480eb4ff9,466c7b877350e99d6608268790cdfe3d1a86354d4970f8cb66ace3d9f0423e2f,46cf4b35c3d75503b009c0d1faf509fc8580c048274ef8776e1d24791bd9633d
"1","0","104","2","0","1","0","11041","4","0","101","0"
"2","0","14","3","0","2","0","10141","2","0","201","1"
"3","0","103","2","0","3","0","11031","2","0","301","2"
"4","0","102","1","0","4","0","11021","1","0","401","3"
"5","0","104","2","0","5","0","11041","4","0","501","4"
"6","0","1","3","0","6","0","10011","1","0","601","5"
"7","0","101","4","0","7","0","11011","3","0","701","6"
"8","0","100","3","0","8","0","11001","1","0","801","7"
"9","0","104","2","0","9","0","11041","4","0","901","8"
"10","0","1","3","0","10","0","10011","2","0","1001","9"
"11","0","51","4","0","11","0","10511","1","0","1101","10"
"12","0","52","3","0","12","0","10521","2","0","1201","11"
"13","0","104","2","0","13","0","11041","4","0","1301","12"
"14","0","103","1","0","14","0","11031","1","0","1401","13"
"15","0","102","2","0","15","0","11021","1","0","1501","14"
"16","0","1","3","0","16","0","10011","1","0","1601","15"
"17","0","104","2","0","17","0","11041","4","0","1701","16"
"18","0","50","3","0","18","0","10501","2","0","1801","17"
"19","0","101","4","0","19","0","11011","3","0","1901","18"
"20","0","100","3","0","20","0","11001","2","0","2001","19"
"21","0","104","2","0","21","0","11041","4","0","2101","20"
"22","0","1","1","0","22","0","10011","3","0","2201","21"
"23","0","100","3","0","23","0","11001","2","0","2301","22"
"24","0","101","2","0","24","0","11011","2","0","2401","23"
"25","0","104","3","0","25","0","11041","4","0","2501","24"
"26","0","50","4","0","26","0","10501","3","0","2601","25"
"27","0","52","3","0","27","0","10521","3","0","2701","26"
"28","0","50","1","0","28","0","10501","1","0","2801","27"
"29","0","104","2","0","29","0","11041","4","0","2901","28"
"30","0","51","1","0","30","0","10511","3","0","3001","29"
"31","0","100","2","0","31","0","11001","2","0","3101","30"
"32","0","101","3","0","32","0","11011","1","0","3201","31"
"33","0","104","4","0","33","0","11041","4","0","3301","32"
"34","0","100","3","0","34","0","11001","3","0","3401","33"
"35","0","104","2","0","35","0","11041","4","0","3501","34"
"36","0","103","3","0","36","0","11031","2","0","3601","35"
"37","0","102","2","0","37","0","11021","1","0","3701","36"
"38","0","50","1","0","38","0","10501","2","0","3801","37"
"39","0","102","3","0","39","0","11021","3","0","3901","38"
"40","0","104","4","0","40","0","11041","4","0","4001","39"
"41","0","100","3","0","41","0","11001","1","0","4101","40"
"42","0","52","2","0","42","0","10521","3","0","4201","41"
"43","0","104","1","0","43","0","11041","4","0","4301","42"
"44","0","103","2","0","44","0","11031","1","0","4401","43"
"45","0","104","1","0","45","0","11041","4","0","4501","44"
"46","0","101","3","0","46","0","11011","3","0","4601","45"
"47","0","102","4","0","47","0","11021","1","0","4701","46"
"48","0","104","2","0","48","0","11041","4","0","4801","47"
"49","0","103","3","0","49","0","11031","2","0","4901","48"
"50","0","104","2","0","50","0","11041","4","0","5001","49"
"51","0","101","1","0","51","0","11011","2","0","5101","50"
"52","0","102","2","0","52","0","11021","3","0","5201","51"
"53","0","104","3","0","53","0","11041","4","0","5301","52"
"54","0","52","4","0","54","0","10521","1","0","5401","53"
"55","0","103","3","0","55","0","11031","3","0","5501","54"
"56","0","104","4","0","56","0","11041","4","0","5601","55"
"57","0","100","2","0","57","0","11001","1","0","5701","56"
"58","0","101","3","0","58","0","11011","3","0","5801","57"
"59","0","103","4","0","59","0","11031","2","0","5901","58"
"60","0","104","3","0","60","0","11041","4","0","6001","59"
"61","0","102","1","0","61","0","11021","1","0","6101","60"
"62","0","50","2","0","62","0","10501","3","0","6201","61"
"63","0","104","1","0","63","0","11041","4","0","6301","62"
"64","0","103","2","0","64","0","11031","2","0","6401","63"
"65","0","102","3","0","65","0","11021","1","0","6501","64"
"66","0","104","2","0","66","0","11041","4","0","6601","65"
"67","0","52","3","0","67","0","10521","1","0","6701","66"
"68","0","102","2","0","68","0","11021","2","0","6801","67"
"69","0","104","4","0","69","0","11041","4","0","6901","68"
"70","0","103","3","0","70","0","11031","2","0","7001","69"
"71","0","101","2","0","71","0","11011","3","0","7101","70"
"72","0","100","3","0","72","0","11001","2","0","7201","71"
"73","0","104","1","0","73","0","11041","4","0","7301","72"
"74","0","103","1","0","74","0","11031","1","0","7401","73"
"75","0","102","3","0","75","0","11021","3","0","7501","74"
"76","0","50","4","0","76","0","10501","1","0","7601","75"
"77","0","104","3","0","77","0","11041","4","0","7701","76"
"78","0","101","2","0","78","0","11011","2","0","7801","77"
"79","0","100","3","0","79","0","11001","3","0","7901","78"
"80","0","104","2","0","80","0","11041","4","0","8001","79"
"81","0","52","1","0","81","0","10521","3","0","8101","80"
"82","0","101","2","0","82","0","11011","1","0","8201","81"
"83","0","50","4","0","83","0","10501","3","0","8301","82"
"84","0","103","3","0","84","0","11031","1","0","8401","83"
"85","0","104","2","0","85","0","11041","4","0","8501","84"
"86","0","100","3","0","86","0","11001","2","0","8601","85"
"87","0","102","2","0","87","0","11021","2","0","8701","86"
"88","0","103","1","0","88","0","11031","2","0","8801","87"
"89","0","104","3","0","89","0","11041","4","0","8901","88"
"90","0","102","2","0","90","0","11021","1","0","9001","89"
"91","0","104","3","0","91","0","11041","4","0","9101","90"
"92","0","50","4","0","92","0","10501","3","0","9201","91"
"93","0","104","3","0","93","0","11041","4","0","9301","92"
"94","0","102","2","0","94","0","11021","1","0","9401","93"
"95","0","103","2","0","95","0","11031","2","0","9501","94"
"96","0","104","3","0","96","0","11041","4","0","9601","95"
