80850f50591e0c7191699f4ee9b97e98b36ee06fc95dcb7c4288f1045c4c0c4c,3f6a531e644d548597237b515fccb9e7d33517005b5670f06bfc7621e8bb2d25,adf9f8aa98e435e66f6de6fa1e6d8de4a9846b84145a37ac0467837002f4f636,91dd0ecbe16b50e413b795d8c42cdafec1c273906bec24e0443271fb4fda73fa,9c724b664939c263d174a19e7618bdc115019c934c45564027aa4573550f119a
"13000001","1","101","25","1"
"40001","1","102","26","1"
"99012","1000","103","28","1"
"13000002","1","201","25","2"
"40002","1","202","26","2"
"99012","1000","203","28","2"
"13000009","1","701","25","7"
"40003","1","702","26","7"
"99012","1000","703","28","7"
"13000008","1","1101","25","11"
"40004","1","1102","26","11"
"99012","1000","1103","28","11"
"13000003","1","1501","25","15"
"40005","1","1502","26","15"
"99012","1000","1503","28","15"
