610f6df9bb56fbce21ed11b85a34448c21a450dd9311926578d38ba722d86c0a,0e3048d666781681412f18ff064a9e02d1185222794c5c1638a7807812c3f710,c0ed60cd565418032ff2a75aa9c1b3f21a49582078f98757f15e2e40188bbaba,192fd8856406bfc0a01caf14ddff84f32e239d8968e27a302a933143ef811b43,1e05d76a9c3655e2a7768ba1f44f108f0301c5afa86d9a438b6e379fdc035e34,ed457e949a35f80c94a5f555d1ce5309409c29408c08c50cd44e009003cb3649,ddc8b682d24411c748a69a3dea38578ba7ef9f98d1f199007a0deef55d59803e,4204aad6014f8e523307710df548952349b0cd7bf0b57fc4a52bd7e53ec686de,a258a365a946edb2a49fb0b0c9b82dc567e8509175981e5aab934b23e488dc7e,1691f7520790d0249792c3efff512407801497be35f366ba70f24e179a04c220,e23559860ced0404e0028513041ca3c83509c5aa57ac0ce5369b54f6c21501ff,e9967334a6604cf4de350cde3341e4f2cc449896f973062725233332a9f345d9,39b976a29792b8c8430687da9c8eda94735c43fd6ee483ccf49d407f14cc8b41,b63653004ae8a725cd9c41635c2d0d737e49a21061247316530ba142fbbd5418,8a1272f1af4dc8656639ec913a7b36c66d0f58d89d6e853187a26159f002028a
"924072001","前哨冒險","92407020","25","96","1","924070100","0","6","8","90","92407","0","924073001","92407010"
"924072002","前哨冒險","92407030","25","96","2","924070200","0","6","8","90","92407","92407010","924073002","92407020"
"924072003","前哨冒險","0","25","96","3","924070300","0","6","8","90","92407","92407020","924073003","92407030"
"924082001","前哨冒險","92408020","25","540","1","924080100","0","25","25","90","92408","0","924083001","92408010"
"924082002","前哨冒險","92408030","25","540","2","924080200","0","25","25","90","92408","92408010","924083002","92408020"
"924082003","前哨冒險","0","25","540","3","924080300","0","25","25","90","92408","92408020","924083003","92408030"
"924092001","前哨冒險","92409020","25","540","1","924090100","0","25","25","90","92409","0","924093001","92409010"
"924092002","前哨冒險","92409030","25","540","2","924090200","0","25","25","90","92409","92409010","924093002","92409020"
"924092003","前哨冒險","0","25","540","3","924090300","0","25","25","90","92409","92409020","924093003","92409030"
"924102001","前哨冒險","92410020","25","540","1","924100100","0","25","25","90","92410","0","924103001","92410010"
"924102002","前哨冒險","92410030","25","540","2","924100200","0","25","25","90","92410","92410010","924103002","92410020"
"924102003","前哨冒險","0","25","540","3","924100300","0","25","25","90","92410","92410020","924103003","92410030"
